Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Rafer Alston,23,27,361,27,95,3,14,3,4,5,23,70,12,0,29,29,60,.284,.214,.750
Chucky Atkins,25,82,1626,314,741,57,163,97,133,20,126,306,52,3,142,137,782,.424,.350,.729
William Avery,20,59,484,56,181,18,63,24,36,8,40,88,14,2,42,60,154,.309,.286,.667
Jonathan Bender,19,24,130,23,70,2,12,16,24,4,21,3,1,5,7,18,64,.329,.167,.667
Calvin Booth,23,11,143,16,46,0,0,10,14,15,32,7,3,14,6,23,42,.348,0.0,.714
Lazaro Borrell,27,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,.444,.000,.545
Cal Bowdler,22,46,423,49,115,0,1,24,38,22,85,14,14,9,21,46,122,.426,.000,.632
Ryan Bowen,24,52,589,46,117,1,9,38,53,75,114,20,39,13,14,95,131,.393,.111,.717
Ira Bowman,26,11,20,2,2,0,0,1,2,0,2,1,1,0,1,0,5,1.000,0.0,.500
A.J. Bramlett,23,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,.190,0.0,0.0
Elton Brand,20,81,2999,630,1306,0,2,367,536,348,810,155,66,132,228,259,1627,.482,.000,.685
Greg Buckner,23,48,923,111,233,10,26,43,63,56,174,55,38,20,36,148,275,.476,.385,.683
Rodney Buford,22,34,386,62,151,7,29,16,22,10,48,21,10,8,9,44,147,.411,.241,.727
Anthony Carter,24,79,1859,201,509,3,23,93,124,48,199,378,93,5,173,167,498,.395,.130,.750
John Celestand,22,16,185,15,45,2,9,5,6,1,11,20,7,0,16,22,37,.333,.222,.833
Vonteego Cummings,23,75,1793,265,655,49,151,127,169,57,184,247,91,13,132,174,706,.405,.325,.751
Baron Davis,20,82,1523,182,433,25,111,97,153,48,165,309,97,19,140,201,486,.420,.225,.634
Derrick Dial,24,8,95,17,46,3,12,3,5,14,26,5,1,1,6,10,40,.370,.250,.600
Obinna Ekezie,24,39,351,41,88,0,0,43,64,34,92,8,9,4,26,61,125,.466,0.0,.672
Evan Eschmeyer,24,31,373,38,72,0,0,15,30,40,108,21,8,21,21,84,91,.528,0.0,.500
Jeff Foster,23,19,86,13,23,0,1,17,25,12,32,5,5,1,2,18,43,.565,.000,.680
Steve Francis,22,77,2776,497,1117,107,310,287,365,152,409,507,118,29,306,231,1388,.445,.345,.786
Devean George,22,49,345,56,144,16,47,27,41,29,75,12,10,4,21,54,155,.389,.340,.659
Dion Glover,21,30,446,66,171,12,45,51,70,15,38,27,15,4,28,28,195,.386,.267,.729
Adrian Griffin,25,72,1927,175,413,16,57,119,158,128,372,177,116,15,93,222,485,.424,.281,.753
Richard Hamilton,21,71,1373,254,605,28,77,103,133,38,129,108,28,6,84,142,639,.420,.364,.774
Chris Herren,24,45,597,45,124,24,67,27,40,12,52,111,15,2,42,74,141,.363,.358,.675
Derek Hood,23,2,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.0,0.0
Rick Hughes,26,21,224,35,72,0,1,12,26,24,49,9,3,1,14,30,82,.486,.000,.462
Jermaine Jackson,23,7,73,1,11,0,1,5,8,1,11,4,3,0,7,7,7,.091,.000,.625
Tim James,23,4,23,5,14,0,0,1,3,3,4,2,0,3,2,1,11,.357,0.0,.333
Harold Jamison,23,12,74,7,20,0,0,4,18,16,21,4,2,1,4,17,18,.350,0.0,.222
DeMarco Johnson,24,5,37,3,9,0,0,0,0,3,7,0,1,0,3,5,6,.333,0.0,0.0
Jumaine Jones,20,33,138,22,58,2,4,11,18,16,38,5,6,5,14,10,57,.379,.500,.611
