Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Ken Austin,22,7,28,6,13,0,0,0,0,2,3,1,1,1,3,7,12,.462,0.0,0.0
Thurl Bailey,22,81,2009,302,590,0,0,88,117,115,464,129,38,122,105,193,692,.512,0.0,.752
Randy Breuer,23,57,472,68,177,0,0,32,46,48,109,17,11,38,35,98,168,.384,0.0,.696
Wallace Bryant,24,29,317,52,133,0,0,14,33,37,80,13,9,11,16,48,118,.391,0.0,.424
Howard Carter,22,55,688,145,316,5,19,47,61,38,86,71,19,4,42,81,342,.459,.263,.770
Carlos Clark,23,31,127,19,52,0,2,16,18,7,17,17,8,1,12,13,54,.365,.000,.889
Leroy Combs,23,48,446,81,163,0,3,56,91,19,56,38,23,18,46,49,218,.497,.000,.615
Russell Cross,22,45,354,64,112,0,0,38,91,35,82,22,12,7,19,58,166,.571,0.0,.418
Darren Daye,23,75,1174,180,408,0,6,95,133,90,188,176,38,12,96,154,455,.441,.000,.714
Clyde Drexler*,21,82,1408,252,559,1,4,123,169,112,235,153,107,29,123,209,628,.451,.250,.728
Craig Ehlo,22,7,63,11,27,0,0,1,1,4,9,6,3,0,3,13,23,.407,0.0,1.000
Dale Ellis,23,67,1059,225,493,12,29,87,121,106,250,56,41,9,78,118,549,.456,.414,.719
Rod Foster,23,80,1424,260,580,22,84,122,155,39,120,172,54,9,108,193,664,.448,.262,.787
John Garris,24,33,267,52,102,0,0,27,34,35,77,10,8,6,11,40,131,.510,0.0,.794
Mike Gibson,23,32,229,21,55,0,0,11,17,29,66,9,5,7,14,30,53,.382,0.0,.647
Stewart Granger,22,56,738,97,226,4,13,53,70,8,55,134,24,0,57,97,251,.429,.308,.757
Sidney Green,23,49,667,100,228,0,0,55,77,58,174,25,18,17,60,128,255,.439,0.0,.714
Bob Hansen,23,55,419,65,145,0,8,18,28,13,48,44,15,4,35,62,148,.448,.000,.643
Derek Harper,22,82,1712,200,451,3,26,66,98,53,172,239,95,21,111,143,469,.443,.115,.673
Roy Hinson,22,80,1858,184,371,0,0,69,117,175,499,69,31,145,109,306,437,.496,0.0,.590
Charles Jones,26,1,3,0,1,0,0,1,4,0,0,0,0,0,0,1,1,.000,0.0,.250
Mark Jones,22,6,16,3,6,0,1,1,2,2,2,5,0,0,2,2,7,.500,.000,.500
Greg Kite,22,35,197,30,66,0,0,5,16,27,62,7,1,5,20,42,65,.455,0.0,.313
