Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Precious Achiuwa,21,61,737,124,228,0,1,56,110,73,208,29,20,28,43,91,304,.544,.000,.509
Ty-Shon Alexander,22,15,47,3,12,2,9,1,2,2,10,6,0,1,3,2,9,.250,.222,.500
Cole Anthony,20,47,1273,219,552,58,172,109,131,38,221,192,30,18,106,98,605,.397,.337,.832
Deni Avdija,20,54,1257,130,312,53,168,29,45,22,262,63,32,15,33,140,342,.417,.315,.644
Udoka Azubuike,21,15,57,4,9,0,0,8,10,4,13,0,1,4,3,9,16,.444,0.0,.800
LaMelo Ball,19,51,1469,293,672,92,261,125,165,63,302,313,81,18,145,136,803,.436,.352,.758
Desmond Bane,22,68,1519,234,499,117,271,40,49,31,210,118,41,16,59,125,625,.469,.432,.816
Saddiq Bey,21,70,1909,279,691,175,460,124,147,43,318,95,52,14,60,110,857,.404,.380,.844
Tyler Bey,22,18,71,7,22,1,4,3,5,8,19,3,0,1,3,6,18,.318,.250,.600
Keljin Blevins,25,17,75,5,20,2,8,0,0,3,10,4,2,0,5,8,12,.250,.250,0.0
Amida Brimah,26,5,29,5,8,0,0,3,3,2,8,1,0,5,4,4,13,.625,0.0,1.000
Armoni Brooks,22,20,520,78,192,60,157,7,12,10,68,30,12,5,22,34,223,.406,.382,.583
Elijah Bryant,25,1,32,6,13,1,5,3,3,2,6,3,0,1,4,4,16,.462,.200,1.000
Facundo Campazzo,29,65,1425,120,315,76,216,80,91,22,134,232,79,14,73,132,396,.381,.352,.879
Devin Cannady,24,8,74,11,28,6,16,6,7,0,5,1,5,1,2,9,34,.393,.375,.857
Vernon Carey Jr.,19,19,115,18,36,1,7,9,11,6,27,2,1,5,5,13,46,.500,.143,.818
Nate Darling,22,7,26,2,7,2,7,3,3,1,1,1,0,1,1,1,9,.286,.286,1.000
Gabriel Deck,25,10,212,32,67,2,15,18,22,16,40,24,8,0,6,9,84,.478,.133,.818
Mamadi Diakite,24,14,141,16,40,1,8,11,14,8,34,8,7,6,3,16,44,.400,.125,.786
Devon Dotson,21,11,50,11,21,1,7,0,0,2,5,7,4,0,0,3,23,.524,.143,0.0
Anthony Edwards,19,72,2314,505,1211,171,520,211,272,59,336,211,82,36,160,129,1392,.417,.329,.776
CJ Elleby,20,30,192,25,66,7,34,11,15,11,32,10,6,3,5,27,68,.379,.206,.733
Malik Fitts,23,3,11,1,3,1,2,0,0,0,3,0,0,0,0,3,3,.333,.500,0.0
Malachi Flynn,22,47,928,127,340,54,168,45,56,10,116,137,38,7,43,68,353,.374,.321,.804
Trent Forrest,22,30,302,32,71,5,26,19,19,11,44,45,9,4,21,22,88,.451,.192,1.000
Robert Franks,24,7,101,13,28,5,15,12,13,6,14,5,3,3,2,8,43,.464,.333,.923
Anthony Gill,28,26,218,30,60,7,24,13,16,16,51,11,10,4,8,27,80,.500,.292,.813
Freddie Gillespie,23,20,392,44,84,0,0,23,33,42,97,9,13,20,12,43,111,.524,0.0,.697
Josh Green,20,39,445,42,93,4,25,13,23,28,78,28,16,3,17,35,101,.452,.160,.565
Ashton Hagans,21,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Tyrese Haliburton,20,58,1746,292,619,121,296,48,56,39,173,309,77,28,92,83,753,.472,.409,.857
Josh Hall,20,21,336,30,99,4,37,22,44,6,59,28,4,1,25,37,86,.303,.108,.500
R.J. Hampton,19,51,888,136,313,27,87,55,82,29,179,87,21,10,53,61,354,.435,.310,.671
Jalen Harris,22,13,172,36,72,17,36,7,9,3,18,17,8,0,14,15,96,.500,.472,.778
Killian Hayes,19,26,670,71,201,20,72,14,17,6,69,138,27,10,83,57,176,.353,.278,.824
Nate Hinton,21,21,93,15,42,4,19,7,10,1,9,8,7,2,5,8,41,.357,.211,.700
Markus Howard,21,37,205,40,106,18,65,7,9,1,21,18,4,1,18,23,105,.377,.277,.778
Elijah Hughes,22,18,64,10,30,8,23,3,4,1,9,6,1,1,6,1,31,.333,.348,.750
Isaiah Joe,21,41,383,48,133,39,106,18,24,6,36,20,12,4,11,34,153,.361,.368,.750
Mason Jones,22,32,334,52,123,24,66,40,64,7,55,42,7,1,29,24,168,.423,.364,.625
Tre Jones,21,37,269,37,78,3,5,17,19,8,21,39,8,0,13,13,94,.474,.600,.895
Nathan Knight,23,33,279,37,100,6,33,44,55,27,72,8,9,10,15,22,124,.370,.182,.800
Anthony Lamb,23,24,415,46,118,23,71,18,21,27,70,23,6,5,19,34,133,.390,.324,.857
Saben Lee,21,48,781,99,210,8,23,61,89,20,97,174,32,13,55,76,267,.471,.348,.685
Kira Lewis Jr.,19,54,904,130,337,40,120,43,51,12,71,124,38,10,34,88,343,.386,.333,.843
Didi Louzada,21,3,56,3,13,2,8,0,0,1,3,3,2,0,3,5,8,.231,.250,0.0
Will Magnay,22,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,.000,.000,0.0
Théo Maledon,19,65,1778,226,614,105,313,101,135,25,211,227,56,11,141,126,658,.368,.335,.748
Karim Mané,20,10,88,3,13,1,2,4,5,1,14,4,0,2,3,10,11,.231,.500,.800
Nico Mannion,19,30,364,39,114,22,60,23,28,6,46,70,16,1,31,29,123,.342,.367,.821
Naji Marshall,23,32,700,82,209,29,83,53,75,15,148,88,26,10,38,58,246,.392,.349,.707
KJ Martin,20,45,1068,162,318,35,96,60,84,73,242,48,30,41,38,89,419,.509,.365,.714
Dakota Mathias,25,8,123,19,48,8,26,2,6,1,7,13,1,3,1,7,48,.396,.308,.333
Tyrese Maxey,20,61,935,198,429,31,103,61,70,11,104,120,26,13,41,79,488,.462,.301,.871
Skylar Mays,23,33,269,44,98,14,40,22,25,10,35,30,14,2,9,15,124,.449,.350,.880
Jaden McDaniels,20,63,1511,164,367,72,198,27,45,52,232,71,35,60,47,172,427,.447,.364,.600
Sean McDermott,24,18,158,13,33,5,22,8,8,6,19,4,2,3,4,8,39,.394,.227,1.000
Sam Merrill,24,30,233,32,72,21,47,4,4,6,30,21,8,1,10,17,89,.444,.447,1.000
Aaron Nesmith,21,46,669,78,178,40,108,22,28,28,127,23,15,9,23,87,218,.438,.370,.786
Zeke Nnaji,20,42,397,50,104,24,59,12,15,14,65,10,8,4,7,29,136,.481,.407,.800
Jordan Nwora,22,30,274,62,135,28,62,19,25,9,60,7,16,7,24,22,171,.459,.452,.760
Chuma Okeke,22,45,1133,135,324,49,141,30,40,42,181,101,48,22,38,48,349,.417,.348,.750
Onyeka Okongwu,20,50,601,96,149,0,3,36,57,62,163,18,23,33,29,100,228,.644,.000,.632
Isaac Okoro,20,67,2173,235,559,62,214,114,157,68,206,128,62,24,86,185,646,.420,.290,.726
Cameron Oliver,24,4,87,19,33,4,13,1,4,5,21,5,2,4,3,11,43,.576,.308,.250
Daniel Oturu,21,30,161,22,52,1,5,9,12,21,48,10,4,7,9,24,54,.423,.200,.750
Reggie Perry,20,26,211,32,78,4,21,10,13,27,73,14,6,6,15,40,78,.410,.190,.769
Aleksej Pokusevski,19,45,1090,139,408,58,207,31,42,30,212,97,20,42,99,58,367,.341,.280,.738
Jontay Porter,21,11,54,8,15,3,8,3,5,4,14,1,3,1,7,12,22,.533,.375,.600
Payton Pritchard,23,66,1268,184,418,102,248,40,45,33,158,120,37,9,53,104,510,.440,.411,.889
Immanuel Quickley,21,64,1243,229,580,118,303,155,174,25,137,127,30,12,58,114,731,.395,.389,.891
Jahmi'us Ramsey,19,13,94,15,38,5,19,5,5,2,10,6,4,1,3,8,40,.395,.263,1.000
Paul Reed,21,26,177,42,78,0,6,4,8,30,61,12,10,13,12,29,88,.538,.000,.500
Nick Richards,23,18,63,4,9,0,1,7,11,4,11,2,0,0,3,7,15,.444,.000,.636
Grant Riller,23,7,27,8,12,2,4,0,0,0,1,3,1,0,1,0,18,.667,.500,0.0
Jay Scrubb,20,4,84,14,36,2,9,5,5,2,14,1,4,0,7,5,35,.389,.222,1.000
Deividas Sirvydis,20,20,133,14,40,10,28,3,6,0,29,5,2,0,5,9,41,.350,.357,.500
Jalen Smith,20,27,156,22,50,4,17,5,7,7,37,4,1,5,7,16,53,.440,.235,.714
Cassius Stanley,21,24,93,13,43,3,13,7,9,8,20,1,1,2,1,14,36,.302,.231,.778
Lamar Stevens,23,40,499,62,136,4,25,37,51,24,96,25,17,13,23,53,165,.456,.160,.725
Isaiah Stewart,19,68,1455,226,409,21,63,64,92,159,453,59,39,86,67,184,537,.553,.333,.696
Jae'Sean Tate,25,70,2043,316,625,60,195,102,147,132,374,178,85,36,98,222,794,.506,.308,.694
Tyrell Terry,20,11,56,5,16,0,7,1,3,0,6,6,5,0,2,2,11,.313,.000,.333
Brodric Thomas,24,32,399,39,108,16,59,31,46,8,53,30,15,10,22,40,125,.361,.271,.674
Killian Tillie,22,18,182,19,57,10,33,9,11,6,24,8,5,8,2,20,57,.333,.303,.818
Xavier Tillman Sr.,22,59,1085,167,299,22,65,34,53,74,256,75,44,33,45,116,390,.559,.338,.642
Obi Toppin,22,62,683,104,209,26,85,19,26,26,138,29,17,15,23,55,253,.498,.306,.731
Devin Vassell,20,62,1056,123,303,52,150,43,51,24,174,56,43,18,22,88,341,.406,.347,.843
Greg Whittington,27,4,12,0,3,0,2,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
Patrick Williams,19,71,1983,255,528,54,138,91,125,66,327,99,64,46,98,126,655,.483,.391,.728
Dylan Windler,24,31,513,57,130,26,77,21,27,20,107,33,19,12,32,37,161,.438,.338,.778
Cassius Winston,22,22,98,14,33,8,17,5,6,0,9,12,2,1,5,8,41,.424,.471,.833
James Wiseman,19,39,836,191,368,12,38,54,86,55,226,26,11,36,60,121,448,.519,.316,.628
Robert Woodard II,21,13,45,8,20,1,6,3,8,4,16,2,0,3,1,4,20,.400,.167,.375
