Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Mark Acres,25,79,1151,108,203,0,0,71,111,105,270,42,29,27,54,198,287,.532,0.0,.640
Steve Alford,23,28,197,21,55,1,8,16,17,3,23,23,17,3,12,23,59,.382,.125,.941
Greg Anderson,23,82,1984,379,756,1,5,198,328,161,513,79,54,122,143,228,957,.501,.200,.604
Joe Arlauckas,22,9,85,14,43,0,0,6,8,6,13,8,3,4,4,16,34,.326,0.0,.750
Vincent Askew,21,14,234,22,74,0,0,8,11,6,22,33,10,6,12,12,52,.297,0.0,.727
Nate Blackwell,22,10,112,15,41,2,11,5,6,2,6,18,3,0,8,16,37,.366,.182,.833
Muggsy Bogues,23,79,1628,166,426,3,16,58,74,35,136,404,127,3,101,138,393,.390,.188,.784
Norris Coleman,26,29,431,66,191,1,2,20,36,36,81,13,11,6,16,51,153,.346,.500,.556
Dallas Comegys,23,75,1122,156,363,0,1,106,150,54,218,65,36,70,116,175,418,.430,.000,.707
Winston Crite,22,29,258,34,68,0,0,19,25,27,64,15,5,8,25,42,87,.500,0.0,.760
Billy Donovan,22,44,364,44,109,0,7,17,21,5,25,87,16,1,42,33,105,.404,.000,.810
Chris Dudley,22,55,513,65,137,0,0,40,71,74,144,23,13,19,31,87,170,.474,0.0,.563
Jim Farmer,23,30,157,26,69,0,6,9,10,9,18,16,3,1,22,18,61,.377,.000,.900
Tellis Frank,22,78,1597,242,565,0,1,150,207,95,330,111,53,23,109,267,634,.428,.000,.725
Kevin Gamble,22,9,19,0,3,0,1,0,0,2,3,1,2,0,2,2,0,.000,.000,0.0
Winston Garland,23,67,2122,340,775,13,39,138,157,68,227,429,116,7,167,188,831,.439,.333,.879
Armen Gilliam,23,55,1807,342,720,0,0,131,193,134,434,72,58,29,123,143,815,.475,0.0,.679
Horace Grant,22,81,1827,254,507,0,2,114,182,155,447,89,51,53,86,221,622,.501,.000,.626
Dave Henderson,23,22,351,47,116,0,1,32,47,11,35,34,12,5,40,41,126,.405,.000,.681
Dave Hoppen,23,39,642,84,183,0,1,54,62,58,174,32,13,6,37,87,222,.459,.000,.871
Dennis Hopson,22,61,1365,222,549,12,45,131,177,63,143,118,57,25,119,145,587,.404,.267,.740
Eddie Hughes,27,11,42,5,13,1,6,6,6,3,4,8,0,0,6,5,17,.385,.167,1.000
Mark Jackson,22,82,3249,438,1013,32,126,206,266,120,396,868,205,6,258,244,1114,.432,.254,.774
Michael Jackson,23,58,760,64,171,6,25,23,32,17,59,179,20,5,58,81,157,.374,.240,.719
Kannard Johnson,22,4,12,1,3,0,0,0,0,0,0,0,1,0,2,1,2,.333,0.0,0.0
Kevin Johnson,21,80,1917,275,596,5,24,177,211,36,191,437,103,24,146,155,732,.461,.208,.839
Bart Kofoed,23,36,225,18,48,2,7,8,13,4,15,23,6,1,18,42,46,.375,.286,.615
Ralph Lewis,24,50,310,27,87,0,1,29,48,17,51,14,13,4,19,36,83,.310,.000,.604
Reggie Lewis,22,49,405,90,193,0,4,40,57,28,63,26,16,15,30,54,220,.466,.000,.702
Brad Lohaus,23,70,718,122,246,3,13,50,62,46,138,49,20,41,59,123,297,.496,.231,.806
Derrick McKey,21,82,1706,255,519,11,30,173,224,115,328,107,70,63,108,237,694,.491,.367,.772
Reggie Miller*,22,82,1840,306,627,61,172,149,186,95,190,132,53,19,101,157,822,.488,.355,.801
Andre Moore,23,10,50,9,27,0,0,6,8,6,14,6,2,1,4,6,24,.333,0.0,.750
Ron Moore,26,14,59,9,29,0,0,6,8,2,8,1,5,0,4,21,24,.310,0.0,.750
Ronnie Murphy,23,18,89,14,49,1,4,7,11,5,11,6,5,1,8,14,36,.286,.250,.636
Tod Murphy,24,1,19,1,1,0,0,3,4,1,2,2,1,0,0,2,5,1.000,0.0,.750
Martin Nessley,22,44,336,20,52,0,0,8,18,23,82,16,8,12,23,89,48,.385,0.0,.444
Ken Norman,23,66,1435,241,500,0,10,87,170,100,263,78,44,34,103,123,569,.482,.000,.512
Scottie Pippen*,22,79,1650,261,564,4,23,99,172,115,298,169,91,52,131,214,625,.463,.174,.576
Olden Polynice,23,82,1080,118,254,0,2,101,158,122,330,33,32,26,81,215,337,.465,.000,.639
Richard Rellford,23,4,42,5,8,0,0,6,8,2,7,1,0,3,4,3,16,.625,0.0,.750
Scott Roth,24,26,201,30,74,2,11,22,30,7,28,16,12,0,11,37,84,.405,.182,.733
Brian Rowsom,22,4,16,0,6,0,0,6,6,1,5,1,1,0,1,3,6,.000,0.0,1.000
Kenny Smith,22,61,2170,331,694,12,39,167,204,40,138,434,92,8,184,140,841,.477,.308,.819
John Stroeder,29,41,271,29,79,0,2,20,30,24,71,20,3,12,24,48,78,.367,.000,.667
Mark Wade,22,11,123,3,20,0,2,2,4,3,15,34,7,1,13,13,8,.150,.000,.500
Milt Wagner,24,40,380,62,147,2,10,26,29,4,28,61,6,4,22,42,152,.422,.200,.897
Jamie Waller,23,9,91,16,40,0,2,10,18,9,13,3,4,1,11,13,42,.400,.000,.556
Duane Washington,23,15,156,18,42,2,4,16,20,5,22,34,12,0,9,23,54,.429,.500,.800
Chris Welp,24,10,132,18,31,0,0,12,18,11,24,5,5,5,9,25,48,.581,0.0,.667
Clinton Wheeler,28,59,513,62,132,0,0,25,34,19,40,103,36,2,52,37,149,.470,0.0,.735
Eric White,22,17,352,66,124,1,1,45,57,31,62,9,7,3,21,32,178,.532,1.000,.789
Tony White,22,49,581,111,249,0,6,39,54,12,31,59,20,2,47,57,261,.446,.000,.722
Reggie Williams,23,35,857,152,427,13,58,48,66,55,118,58,29,21,63,108,365,.356,.224,.727
Nikita Wilson,23,15,54,7,23,0,0,5,6,2,11,3,0,0,5,7,19,.304,0.0,.833
Ricky Wilson,23,24,420,43,110,10,26,29,40,2,27,69,23,3,25,40,125,.391,.385,.725
Rickie Winslow,23,7,45,3,13,0,1,1,2,3,7,2,1,0,4,9,7,.231,.000,.500
Joe Wolf,23,42,1137,136,334,3,15,45,54,51,187,98,38,16,76,139,320,.407,.200,.833
Phil Zevenbergen,23,8,58,15,27,0,0,0,2,4,13,3,3,1,4,12,30,.556,0.0,.000
