Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Ochai Agbaji,22,59,1209,165,386,81,228,56,69,43,121,67,16,15,41,99,467,.427,.355,.812
Patrick Baldwin Jr.,20,31,226,43,109,32,84,4,6,1,40,11,6,4,11,14,122,.394,.381,.667
Paolo Banchero,20,72,2430,479,1122,85,285,394,534,84,497,269,60,39,200,160,1437,.427,.298,.738
Dominick Barlow,19,28,408,46,86,0,4,18,25,46,102,24,10,19,15,56,110,.535,.000,.720
MarJon Beauchamp,22,52,701,96,243,47,142,27,37,38,115,35,21,7,45,71,266,.395,.331,.730
Buddy Boeheim,23,10,90,5,27,4,25,2,2,2,6,4,2,0,0,6,16,.185,.160,1.000
Jamaree Bouyea,23,5,71,6,14,2,6,1,2,1,6,4,4,2,4,6,15,.429,.333,.500
Malaki Branham,19,66,1550,269,611,77,255,58,70,28,181,127,33,7,76,115,673,.440,.302,.829
Christian Braun,21,76,1181,143,289,34,96,40,64,48,181,59,41,17,35,101,360,.495,.354,.625
Kendall Brown,19,6,40,4,7,0,1,1,2,2,6,3,4,0,2,9,9,.571,.000,.500
John Butler,20,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,.321,.229,.750
Jamal Cain,23,18,240,37,66,7,20,17,22,15,52,12,11,1,6,21,98,.561,.350,.773
Julian Champagnie,21,17,320,59,130,33,82,14,17,10,60,10,6,5,11,26,165,.454,.402,.824
Kennedy Chandler,20,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462
Max Christie,19,41,512,44,106,26,62,14,16,7,75,21,9,7,13,33,128,.415,.419,.875
Chance Comanche,26,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,.600,0.0,.250
Xavier Cooks,27,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,.607,.000,.400
Dyson Daniels,19,59,1042,87,208,27,86,26,40,36,188,134,43,11,57,99,227,.418,.314,.650
Johnny Davis,20,28,423,66,171,17,70,14,27,10,65,28,10,8,17,48,163,.386,.243,.519
JD Davison,20,12,66,8,19,2,7,1,2,2,9,11,2,2,4,5,19,.421,.286,.500
Darius Days,23,4,25,5,12,3,10,2,2,1,6,1,0,1,0,2,15,.417,.300,1.000
Moussa Diabaté,21,22,195,24,47,1,2,10,16,31,50,4,7,8,9,15,59,.511,.500,.625
Ousmane Dieng,19,39,569,76,181,26,98,15,23,19,105,46,14,7,26,42,193,.420,.265,.652
Jalen Duren,19,67,1670,258,398,0,2,96,157,229,595,75,44,59,92,182,612,.648,.000,.611
Tari Eason,21,82,1767,296,660,59,172,109,145,195,496,88,96,47,101,189,760,.448,.343,.752
Keon Ellis,23,16,71,7,16,6,12,4,7,4,8,6,5,1,1,10,24,.438,.500,.571
Simone Fontecchio,27,52,766,115,312,63,191,35,44,31,86,42,15,8,39,62,328,.369,.330,.795
Michael Foster Jr.,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jacob Gilyard,24,1,41,1,3,1,3,0,0,0,4,7,3,0,2,3,3,.333,.333,0.0
RaiQuan Gray,23,1,35,6,12,2,5,2,2,3,9,7,0,1,4,5,16,.500,.400,1.000
A.J. Green,23,35,345,53,125,44,105,4,4,6,45,22,6,0,9,31,154,.424,.419,1.000
AJ Griffin,19,72,1401,248,533,101,259,42,47,37,153,73,42,12,42,87,639,.465,.390,.894
Jordan Hall,21,9,83,9,28,3,15,7,9,3,12,11,1,0,7,6,28,.321,.200,.778
Jaden Hardy,20,48,708,146,333,63,156,65,79,11,89,65,17,7,46,64,420,.438,.404,.823
Ron Harper Jr.,22,9,48,8,16,3,9,1,1,3,7,4,0,1,0,3,20,.500,.333,1.000
Kevon Harris,25,34,457,47,107,16,43,31,41,28,70,16,17,5,21,53,141,.439,.372,.756
Caleb Houstan,20,51,812,66,182,46,136,15,18,34,99,30,12,7,18,63,193,.363,.338,.833
