Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tate Armstrong,22,66,716,131,280,0.0,0.0,22,27,24,68,74,23,0,58,42,284,.468,0.0,.815
Greg Ballard,23,76,936,142,334,0.0,0.0,88,114,102,266,62,30,13,64,90,372,.425,0.0,.772
Kent Benson,23,69,1288,220,473,0.0,0.0,92,141,89,295,99,69,54,119,177,532,.465,0.0,.652
Otis Birdsong,22,73,1878,470,955,0.0,0.0,216,310,70,175,174,74,12,145,179,1156,.492,0.0,.697
Phil Bond,23,7,21,2,6,0.0,0.0,0,0,1,4,2,1,0,2,1,4,.333,0.0,0.0
Jim Bostic,25,4,48,12,22,0.0,0.0,2,5,8,16,3,0,0,3,5,26,.545,0.0,.400
Alonzo Bradley,24,43,798,130,304,0.0,0.0,43,59,24,99,54,16,6,55,83,303,.428,0.0,.729
Mike Bratz,22,80,933,159,395,0.0,0.0,56,68,42,115,123,39,5,89,104,374,.403,0.0,.824
Wayman Britt,25,7,16,3,10,0.0,0.0,3,4,1,4,2,1,0,1,3,9,.300,0.0,.750
Kenny Carr,22,52,733,134,302,0.0,0.0,55,85,53,208,26,18,14,89,127,323,.444,0.0,.647
Bob Carrington,24,72,1653,253,589,0.0,0.0,130,171,70,174,117,65,23,118,205,636,.430,0.0,.760
Wesley Cox,23,43,453,69,173,0.0,0.0,58,100,42,143,12,21,10,36,82,196,.399,0.0,.580
Charlie Criss,29,77,1935,319,751,0.0,0.0,236,296,24,121,294,108,5,150,143,874,.425,0.0,.797
Mark Crow,23,15,154,35,80,0.0,0.0,14,20,14,27,8,5,1,12,24,84,.438,0.0,.700
Brad Davis,22,33,334,30,72,0.0,0.0,22,29,4,35,83,15,2,35,39,82,.417,0.0,.759
Walter Davis*,23,81,2590,786,1494,0.0,0.0,387,466,158,484,273,113,20,283,242,1959,.526,0.0,.830
Jacky Dorsey,23,11,88,12,31,0.0,0.0,10,16,11,30,5,2,3,6,17,34,.387,0.0,.625
T.R. Dunn,22,63,768,100,240,0.0,0.0,37,56,63,147,45,46,8,35,74,237,.417,0.0,.661
James Edwards,22,83,2405,495,1093,0.0,0.0,272,421,197,615,85,53,78,169,322,1262,.453,0.0,.646
Bo Ellis,23,78,1213,133,320,0.0,0.0,72,104,114,304,73,49,47,99,208,338,.416,0.0,.692
Al Fleming,23,20,97,15,31,0.0,0.0,10,17,13,30,7,0,5,16,16,40,.484,0.0,.588
Bayard Forrest,23,64,887,111,238,0.0,0.0,49,103,84,250,129,23,34,84,105,271,.466,0.0,.476
Mike Glenn,22,56,947,195,370,0.0,0.0,51,65,14,79,78,35,5,50,98,441,.527,0.0,.785
Glen Gondrezick,22,72,1017,131,339,0.0,0.0,83,121,92,250,83,56,18,82,181,345,.386,0.0,.686
Rickey Green,23,76,1098,143,375,0.0,0.0,54,90,49,116,149,58,1,79,95,340,.381,0.0,.600
Greg Griffin,25,36,422,61,169,0.0,0.0,23,36,44,103,24,16,0,39,56,145,.361,0.0,.639
Ernie Grunfeld,22,73,1261,204,461,0.0,0.0,94,143,70,194,145,54,19,98,150,502,.443,0.0,.657
Joe Hassett,22,48,404,91,205,0.0,0.0,10,12,14,36,41,21,0,34,45,192,.444,0.0,.833
Eddie Johnson,22,79,1875,332,686,0.0,0.0,164,201,51,153,235,100,4,168,232,828,.484,0.0,.816
Larry Johnson,23,4,38,3,13,0.0,0.0,0,2,1,5,7,5,2,3,3,6,.231,0.0,.000
Marques Johnson,21,80,2765,628,1204,0.0,0.0,301,409,292,847,190,92,103,175,221,1557,.522,0.0,.736
Eddie Jordan,23,73,1213,215,538,0.0,0.0,131,167,35,119,177,126,19,106,94,561,.400,0.0,.784
Bernard King*,21,79,3092,798,1665,0.0,0.0,313,462,265,751,193,122,36,311,302,1909,.479,0.0,.677
Toby Knight,22,80,1169,222,465,0.0,0.0,63,97,121,321,38,50,28,97,211,507,.477,0.0,.649
John Kuester,22,78,1215,145,319,0.0,0.0,87,105,19,114,252,58,1,97,143,377,.455,0.0,.829
Tom LaGarde,22,77,868,96,237,0.0,0.0,114,150,75,214,47,17,17,101,146,306,.405,0.0,.760
Mark Landsberger,22,62,926,127,251,0.0,0.0,91,157,110,301,41,21,6,69,78,345,.506,0.0,.580
Rich Laurel,23,10,57,10,31,0.0,0.0,4,4,6,10,3,3,1,4,10,24,.323,0.0,1.000
Ricky Marsh,23,60,851,123,289,0.0,0.0,23,33,16,75,90,29,19,50,111,269,.426,0.0,.697
Cedric Maxwell,22,72,1213,170,316,0.0,0.0,188,250,138,379,68,53,48,122,151,528,.538,0.0,.752
Larry Moffett,23,20,110,5,17,0.0,0.0,6,10,10,21,7,2,2,8,16,16,.294,0.0,.600
