Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Cory Alexander,22,60,560,63,155,26,66,16,25,9,42,121,27,2,68,94,168,.406,.394,.640
Jerome Allen,23,41,362,36,105,10,33,26,36,5,25,49,21,5,34,42,108,.343,.303,.722
John Amaechi,25,28,357,29,70,0,0,19,33,13,52,9,6,11,34,49,77,.414,0.0,.576
Ashraf Amaya,24,54,1104,121,252,0,1,97,149,114,303,33,22,10,57,151,339,.480,.000,.651
Brent Barry,24,79,1898,283,597,123,296,111,137,38,168,230,95,22,120,196,800,.474,.416,.810
Corey Beck,24,5,33,2,8,0,0,1,2,3,7,5,1,0,4,8,5,.250,0.0,.500
Mario Bennett,22,19,230,29,64,0,1,27,42,21,49,6,11,11,11,46,85,.453,.000,.643
Travis Best,23,59,571,69,163,8,25,75,90,11,44,97,20,3,63,80,221,.423,.320,.833
Melvin Booker,23,11,131,16,50,3,19,9,11,1,9,21,5,1,12,18,44,.320,.158,.818
Donnie Boyce,22,8,41,9,23,4,8,2,4,5,10,3,3,1,6,2,24,.391,.500,.500
Marques Bragg,25,53,369,54,120,0,0,23,41,38,79,8,17,8,26,71,131,.450,0.0,.561
Junior Burrough,23,61,495,64,170,0,0,61,93,45,109,15,15,10,40,74,189,.376,0.0,.656
Jason Caffey,22,57,545,71,162,0,1,40,68,51,111,24,12,7,48,91,182,.438,.000,.588
Chris Carr,21,60,590,90,217,11,42,49,60,27,102,43,10,5,40,77,240,.415,.262,.817
Randolph Childress,23,28,250,25,79,13,47,22,27,1,19,32,8,1,28,22,85,.316,.277,.815
Robert Churchwell,23,4,20,3,8,0,0,0,0,0,3,1,0,0,2,1,6,.375,0.0,0.0
Charles Claxton,25,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,.500,0.0,.000
John Coker,24,5,11,4,5,0,0,0,0,2,2,1,0,1,0,1,8,.800,0.0,0.0
Rastko Cvetković,25,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,.313,.000,.000
Sasha Danilović,25,19,542,83,184,34,78,55,72,12,46,47,15,3,37,49,255,.451,.436,.764
Mark Davis,22,57,571,55,149,4,13,74,116,56,125,47,40,22,68,92,188,.369,.308,.638
Andrew DeClercq,22,22,203,24,50,0,1,11,19,18,39,9,7,5,4,30,59,.480,.000,.579
Tyus Edney,22,80,2481,305,740,53,144,197,252,63,201,491,89,3,192,203,860,.412,.368,.782
Vincenzo Esposito,26,30,282,36,100,13,56,31,39,4,16,23,7,0,39,27,116,.360,.232,.795
Michael Finley,22,82,3212,465,976,61,186,242,323,139,374,289,85,31,133,199,1233,.476,.328,.749
Sherell Ford,23,28,139,30,80,4,25,26,34,12,24,5,8,1,6,27,90,.375,.160,.765
Kevin Garnett*,19,80,2293,361,735,8,28,105,149,175,501,145,86,131,110,189,835,.491,.286,.705
Anthony Goldwire,24,42,621,76,189,33,83,46,60,8,43,112,16,0,63,79,231,.402,.398,.767
Thomas Hamilton,20,11,70,9,31,0,0,7,18,10,22,1,0,9,9,12,25,.290,0.0,.389
Alvin Heggs,28,4,14,3,5,0,0,2,3,1,2,0,0,0,0,0,8,.600,0.0,.667
Alan Henderson,23,79,1416,192,434,0,3,119,200,164,356,51,44,43,87,217,503,.442,.000,.595
Fred Hoiberg,23,15,85,8,19,1,3,15,18,4,9,8,6,1,7,12,32,.421,.333,.833
Darryl Johnson,30,11,28,5,12,0,1,2,2,2,2,1,0,0,1,3,12,.417,.000,1.000
Frankie King,23,6,20,3,11,0,1,1,3,1,2,2,2,0,2,4,7,.273,.000,.333
Jimmy King,22,62,868,110,255,5,34,54,77,43,110,88,21,13,60,76,279,.431,.147,.701
