Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Hassan Adams,22,61,495,75,135,0,1,24,36,35,77,13,17,4,22,47,174,.556,.000,.667
Maurice Ager,22,32,214,22,70,5,15,20,33,1,21,7,4,3,15,27,69,.314,.333,.606
LaMarcus Aldridge,21,63,1392,241,479,0,2,83,115,144,312,24,22,73,43,186,565,.503,.000,.722
Lou Amundson,24,11,89,6,15,0,0,4,10,13,28,1,1,8,5,15,16,.400,0.0,.400
Hilton Armstrong,22,56,634,68,125,0,0,40,67,58,149,10,12,26,35,79,176,.544,0.0,.597
James Augustine,22,2,7,1,3,0,0,0,0,1,3,2,0,0,0,2,2,.333,0.0,0.0
Kelenna Azubuike,23,41,669,98,220,34,79,61,78,26,94,28,22,10,39,49,291,.445,.430,.782
Renaldo Balkman,22,68,1064,139,275,5,27,51,90,97,294,44,57,44,49,146,334,.505,.185,.567
J.J. Barea,22,33,191,28,78,6,21,16,24,7,25,24,1,1,14,19,78,.359,.286,.667
Andrea Bargnani,21,65,1629,267,625,100,268,117,142,52,255,50,32,53,107,180,751,.427,.373,.824
Will Blalock,23,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,.300,.200,1.000
Josh Boone,22,61,669,99,171,0,0,56,103,64,176,10,11,21,33,94,254,.579,0.0,.544
Cedric Bozeman,23,23,199,11,39,2,13,2,6,3,23,9,5,2,9,32,26,.282,.154,.333
Ronnie Brewer,21,56,675,102,193,0,9,56,83,37,75,24,37,6,24,44,260,.528,.000,.675
Andre Brown,25,38,271,42,74,0,1,9,15,26,74,2,6,4,29,26,93,.568,.000,.600
Dee Brown,22,49,450,32,98,6,28,24,37,8,40,83,22,7,31,51,94,.327,.214,.649
Shannon Brown,21,23,202,28,74,7,25,10,14,6,21,10,7,3,14,24,73,.378,.280,.714
Rodney Carney,22,67,1169,182,392,25,72,53,87,39,128,26,38,23,43,118,442,.464,.347,.609
Mardy Collins,22,52,777,87,228,13,47,48,82,28,104,83,32,3,57,75,235,.382,.277,.585
Will Conroy,24,7,52,0,3,0,0,0,4,3,7,9,0,0,2,7,0,.000,0.0,.000
Paul Davis,22,31,180,22,52,0,0,7,10,21,44,7,6,5,8,28,51,.423,0.0,.700
Yakhouba Diawara,24,64,1177,100,292,49,170,35,53,27,110,55,30,7,37,132,284,.342,.288,.660
Quincy Douby,22,42,359,48,126,12,50,11,15,11,37,15,15,4,15,21,119,.381,.240,.733
Jordan Farmar,20,72,1090,124,294,45,137,27,38,22,119,137,44,7,73,77,320,.422,.328,.711
Desmon Farmer,25,8,32,5,15,2,8,1,1,0,1,9,1,0,1,2,13,.333,.250,1.000
Randy Foye,23,82,1879,300,691,68,185,164,192,49,218,232,53,21,152,184,832,.434,.368,.854
Jorge Garbajosa,29,67,1909,222,529,66,193,57,78,48,330,125,78,15,64,90,567,.420,.342,.731
Rudy Gay,20,78,2103,321,760,52,143,152,209,93,348,100,71,74,140,192,846,.422,.364,.727
Mickaël Gelabale,23,70,1239,122,264,11,47,66,82,59,173,56,24,22,49,108,321,.462,.234,.805
Daniel Gibson,20,60,988,98,231,52,124,28,39,28,92,69,23,8,44,94,276,.424,.419,.718
Andreas Glyniadakis,25,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,.471,0.0,.500
Lynn Greer,27,41,432,61,141,18,52,27,32,2,27,53,17,1,18,32,167,.433,.346,.844
Mike Hall,22,2,13,1,4,0,0,0,0,1,2,1,0,0,0,1,2,.250,0.0,0.0
Walter Herrmann,27,48,936,174,330,53,115,41,53,28,139,26,17,7,32,76,442,.527,.461,.774
Robert Hite,23,12,136,19,60,5,23,8,12,4,16,8,3,2,6,8,51,.317,.217,.667
Ryan Hollins,22,27,185,20,36,0,0,24,40,11,31,1,4,7,16,40,64,.556,0.0,.600
Mile Ilić,22,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,.000,0.0,0.0
Ersan İlyasova,19,66,973,139,363,54,148,70,89,58,189,49,27,17,51,147,402,.383,.365,.787
Alexander Johnson,23,59,753,91,169,0,0,78,118,50,181,17,25,35,47,137,260,.538,0.0,.661
Bobby Jones,23,44,336,43,93,1,9,23,41,22,57,16,11,1,18,59,110,.462,.111,.561
Solomon Jones,22,58,666,65,128,0,1,59,75,49,136,11,11,42,25,124,189,.508,.000,.787
Tarence Kinsey,22,48,967,139,304,13,46,78,98,29,97,41,53,1,46,57,369,.457,.283,.796
