Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Alaa Abdelnaby,22,43,290,55,116,0,0,25,44,27,89,12,4,12,22,39,135,.474,0.0,.568
Mahmoud Abdul-Rauf,21,67,1505,417,1009,24,100,84,98,34,121,206,55,4,110,149,942,.413,.240,.857
Keith Askins,23,39,266,34,81,6,25,12,25,30,68,19,16,13,11,46,86,.420,.240,.480
Miloš Babić,22,12,52,6,19,0,0,7,12,6,9,4,1,1,5,7,19,.316,0.0,.583
Cedric Ball,22,7,26,3,8,0,0,2,2,5,11,0,0,2,2,5,8,.375,0.0,1.000
Lance Blanks,24,38,214,26,61,2,16,10,14,4,20,26,9,2,18,35,64,.426,.125,.714
Anthony Bonner,22,34,750,103,230,0,0,44,76,59,161,49,39,5,41,62,250,.448,0.0,.579
Dee Brown,22,82,1945,284,612,7,34,137,157,41,182,344,83,14,137,161,712,.464,.206,.873
Jud Buechler,22,74,859,94,226,1,4,43,66,61,141,51,33,15,26,79,232,.416,.250,.652
Matt Bullard,23,18,63,14,31,0,3,11,17,6,14,2,3,0,3,10,39,.452,.000,.647
Willie Burton,22,76,1928,341,773,4,30,229,293,111,262,107,72,24,144,275,915,.441,.133,.782
Rick Calloway,24,64,678,75,192,0,2,55,79,25,78,61,22,7,51,98,205,.391,.000,.696
Elden Campbell,22,52,380,56,123,0,0,32,49,40,96,10,11,38,16,71,144,.455,0.0,.653
Duane Causwell,22,76,1719,210,413,0,0,105,165,141,391,69,49,148,96,225,525,.508,0.0,.636
Cedric Ceballos,21,63,730,204,419,1,6,110,166,77,150,35,22,5,69,70,519,.487,.167,.663
Richard Coffey,25,52,320,28,75,0,1,12,22,42,79,3,6,4,5,45,68,.373,.000,.545
Derrick Coleman,23,74,2602,514,1100,13,38,323,442,269,759,163,71,99,217,217,1364,.467,.342,.731
Bimbo Coles,22,82,1355,162,393,6,34,71,95,56,153,232,65,12,98,149,401,.412,.176,.747
Anthony Cook,23,58,1121,118,283,0,3,71,129,134,326,26,35,72,50,100,307,.417,.000,.550
Tony Dawson,23,4,17,4,7,1,1,0,0,2,2,0,0,0,1,0,9,.571,1.000,0.0
Mario Elie,27,33,644,79,159,4,10,75,89,46,110,45,19,10,30,85,237,.497,.400,.843
A.J. English,23,70,1443,251,572,3,31,111,157,66,147,177,25,15,114,127,616,.439,.097,.707
Danny Ferry,24,81,1661,275,643,23,77,124,152,99,286,142,43,25,120,230,697,.428,.299,.816
Greg Foster,22,54,606,97,211,0,5,42,61,52,151,37,12,22,45,112,236,.460,.000,.689
Tate George,22,56,594,80,193,0,2,32,40,19,47,104,25,5,42,58,192,.415,.000,.800
Kendall Gill,22,82,1944,376,836,2,14,152,182,105,263,303,104,39,163,186,906,.450,.143,.835
Gerald Glass,23,51,606,149,340,2,17,52,76,54,102,42,28,9,41,76,352,.438,.118,.684
Dan Godfread,23,10,20,5,12,0,1,3,4,0,2,0,1,4,0,5,13,.417,.000,.750
Jim Grandholm,30,26,168,30,58,9,17,10,21,20,50,8,2,8,11,33,79,.517,.529,.476
Tony Harris,23,6,41,4,16,0,2,2,4,0,1,0,1,0,3,5,10,.250,.000,.500
Steve Henson,22,68,690,79,189,18,54,38,42,14,51,131,32,0,43,83,214,.418,.333,.905
Sean Higgins,22,50,464,97,212,3,19,28,33,18,63,35,8,1,49,53,225,.458,.158,.848
Tyrone Hill,22,74,1192,147,299,0,0,96,152,157,383,19,33,30,72,264,390,.492,0.0,.632
Dave Jamerson,23,37,202,43,113,5,19,22,27,9,30,27,6,1,20,24,113,.381,.263,.815
Henry James,25,37,505,112,254,24,60,52,72,26,79,32,15,5,37,59,300,.441,.400,.722
Les Jepsen,23,21,105,11,36,0,1,6,9,17,37,1,1,3,3,16,28,.306,.000,.667
Alec Kessler,24,78,1259,199,468,0,4,88,131,115,336,31,17,26,108,189,486,.425,.000,.672
Bo Kimble,24,62,1004,159,418,19,65,92,119,42,119,76,30,8,77,158,429,.380,.292,.773
Negele Knight,23,64,792,131,308,6,25,71,118,20,71,191,20,7,76,83,339,.425,.240,.602
Kurk Lee,23,48,265,19,71,3,15,25,28,7,30,34,11,2,20,39,66,.268,.200,.893
Marcus Liberty,22,76,1171,216,513,17,57,58,92,117,221,64,48,19,71,153,507,.421,.298,.630
Ian Lockhart,23,1,2,1,1,0,0,2,2,0,0,0,0,0,0,0,4,1.000,0.0,1.000
Tony Massenburg,23,35,161,27,60,0,0,28,45,23,58,4,4,9,13,26,82,.450,0.0,.622
Travis Mays,22,64,2145,294,724,72,197,255,331,54,178,253,81,11,159,169,915,.406,.365,.770
Terry Mills,23,55,819,134,288,0,4,47,66,82,229,33,35,29,43,100,315,.465,.000,.712
Chris Munk,23,11,29,3,7,0,0,7,12,5,14,1,1,2,5,5,13,.429,0.0,.583
Jerrod Mustaf,21,62,825,106,228,0,1,56,87,51,169,36,15,14,61,109,268,.465,.000,.644
Dan O'Sullivan,22,21,85,7,16,0,0,7,11,5,17,4,1,1,4,18,21,.438,0.0,.636
Alan Ogg,23,31,261,24,55,0,2,6,10,15,49,2,6,27,8,53,54,.436,.000,.600
Brian Oliver,22,73,800,111,272,5,18,52,71,18,80,88,34,4,50,76,279,.408,.278,.732
Gerald Paddio,25,70,1181,212,506,6,24,74,93,38,118,90,20,6,71,71,504,.419,.250,.796
Walter Palmer,22,28,85,15,45,0,1,10,15,6,21,6,3,4,6,20,40,.333,.000,.667
Gary Payton*,22,82,2244,259,575,1,13,69,97,108,243,528,165,15,180,249,588,.450,.077,.711
Kevin Pritchard,23,62,773,88,229,5,31,62,77,16,65,81,30,8,59,104,243,.384,.161,.805
