Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Darrell Allums,22,22,276,23,67,0,1,13,22,19,65,25,5,8,23,51,59,.343,.000,.591
Norman Black,23,3,28,3,10,0,0,2,8,0,2,2,1,0,1,2,8,.300,0.0,.250
Dave Britton,22,2,9,2,3,0,0,0,0,0,2,3,1,0,2,2,4,.667,0.0,0.0
Michael Brooks,22,82,2479,488,1018,0,6,226,320,210,442,208,99,31,163,234,1202,.479,.000,.706
Lewis Brown,25,2,5,0,3,0,0,2,5,1,2,0,0,0,1,2,2,.000,0.0,.400
Rickey Brown,22,45,580,83,162,0,0,16,21,52,166,21,9,14,31,103,182,.512,0.0,.762
Joe Barry Carroll,22,82,2919,616,1254,0,2,315,440,274,759,117,50,121,243,313,1547,.491,.000,.716
Butch Carter,22,54,672,114,247,3,10,70,95,34,65,52,23,1,50,99,301,.462,.300,.737
Reggie Carter,23,60,536,59,179,0,3,51,69,30,69,76,22,2,38,68,169,.330,.000,.739
Art Collins,26,29,395,35,99,0,2,24,36,19,41,25,11,1,32,35,94,.354,.000,.667
Don Collins,22,81,1845,360,811,0,6,211,272,129,268,190,104,25,174,259,931,.444,.000,.776
Darwin Cook,22,81,1980,383,819,6,25,132,180,96,236,297,141,36,176,197,904,.468,.240,.733
Earl Cureton,23,52,528,93,205,0,1,33,64,51,155,25,20,23,29,68,219,.454,.000,.516
Monti Davis,22,2,10,1,5,0,0,1,5,2,4,0,0,1,0,0,3,.200,0.0,.200
James Donaldson,23,68,980,129,238,0,0,101,170,107,309,42,8,74,68,79,359,.542,0.0,.594
Larry Drew,22,76,1581,197,484,4,17,106,133,24,120,249,88,7,166,125,504,.407,.235,.797
Ralph Drollinger,26,6,67,7,14,0,0,1,4,5,19,14,1,2,13,16,15,.500,0.0,.250
John Duren,22,40,458,33,101,0,1,5,9,8,35,54,18,2,37,54,71,.327,.000,.556
Tony Fuller,22,15,248,24,66,0,1,12,16,13,42,28,10,1,23,25,60,.364,.000,.750
Calvin Garrett,24,70,1638,188,415,1,3,50,62,85,264,132,50,10,90,167,427,.453,.333,.806
Mike Gminski,21,56,1579,291,688,0,1,155,202,137,419,72,54,100,128,127,737,.423,.000,.767
Darrell Griffith,22,81,2867,716,1544,10,52,229,320,79,288,194,106,40,231,219,1671,.464,.192,.716
Bill Hanzlik,23,74,1259,138,289,1,5,119,150,67,153,111,58,20,84,168,396,.478,.200,.793
Alan Hardy,23,22,111,22,59,0,0,7,10,8,19,3,1,9,11,13,51,.373,0.0,.700
Mike Harper,23,55,461,56,136,0,3,37,85,28,93,17,23,20,32,73,149,.412,.000,.435
Cedrick Hordges,24,68,1599,221,480,0,3,130,186,120,458,104,33,19,120,226,572,.460,.000,.699
Tony Jackson,23,2,14,1,3,0,0,0,0,0,2,2,2,0,0,1,2,.333,0.0,0.0
Lee Johnson,23,12,90,7,25,0,0,3,5,6,22,1,0,5,7,18,17,.280,0.0,.600
Reggie Johnson,23,79,1716,340,682,0,1,128,193,132,358,78,45,48,130,283,808,.499,.000,.663
Edgar Jones,24,60,950,189,357,0,4,146,218,92,263,43,36,81,101,185,524,.529,.000,.670
Walter Jordan,24,30,207,29,75,0,0,10,17,23,42,11,11,5,17,35,68,.387,0.0,.588
Clarence Kea,21,16,199,37,81,0,1,43,62,28,67,5,6,1,16,44,117,.457,.000,.694
Chad Kinch,22,41,353,52,141,0,0,14,18,7,33,45,11,6,30,33,118,.369,0.0,.778
Wayne Kreklow,24,25,100,11,47,1,4,7,10,2,12,9,2,1,10,20,30,.234,.250,.700
Bill Laimbeer,23,81,2460,337,670,0,0,117,153,266,693,216,56,78,132,332,791,.503,0.0,.765
Edmund Lawrence,28,3,19,5,8,0,0,2,4,2,4,1,1,0,1,6,12,.625,0.0,.500
Ronnie Lester,22,8,83,10,24,0,0,10,11,3,6,7,2,0,9,5,30,.417,0.0,.909
Kyle Macy,23,82,1469,272,532,12,51,107,119,44,132,160,76,5,95,120,663,.511,.235,.899
Rick Mahorn,22,52,696,111,219,0,0,27,40,67,215,25,21,44,38,134,249,.507,0.0,.675
Wes Matthews,21,79,2266,385,779,5,21,202,252,46,139,411,107,17,261,242,977,.494,.238,.802
Bill Mayfield,23,7,54,8,18,0,0,1,2,7,9,1,0,1,3,8,17,.444,0.0,.500
Keith McCord,23,2,9,2,4,0,0,0,0,1,2,1,0,0,2,0,4,.500,0.0,0.0
