Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Steven Adams,20,81,1197,93,185,0,0,79,136,142,332,43,40,57,71,203,265,.503,0.0,.581
Giannis Antetokounmpo,19,77,1897,173,418,41,118,138,202,78,339,150,60,61,122,173,525,.414,.347,.683
Pero Antić,31,50,925,123,294,56,171,50,66,57,209,58,19,12,55,126,352,.418,.327,.758
Chris Babb,23,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,.267,.222,0.0
Anthony Bennett,20,52,663,80,225,13,53,44,69,49,155,17,21,8,47,93,217,.356,.245,.638
Vander Blue,21,3,15,2,4,0,1,1,5,0,3,1,0,0,2,1,5,.500,.000,.200
Lorenzo Brown,23,26,224,26,86,3,30,9,13,8,28,41,13,3,16,19,64,.302,.100,.692
Reggie Bullock,22,43,395,43,121,22,73,7,9,11,54,12,9,1,13,26,115,.355,.301,.778
Trey Burke,21,70,2262,341,897,111,336,102,113,37,208,396,42,6,131,145,895,.380,.330,.903
Dwight Buycks,24,14,146,15,48,5,17,8,9,4,23,10,8,0,10,11,43,.313,.294,.889
Nick Calathes,24,71,1173,142,311,19,61,44,72,23,137,207,66,8,101,117,347,.457,.311,.611
Kentavious Caldwell-Pope,20,80,1583,182,460,59,185,47,61,38,156,55,75,12,28,145,470,.396,.319,.770
Isaiah Canaan,22,22,252,31,87,18,55,21,29,7,24,22,8,4,21,25,101,.356,.327,.724
Michael Carter-Williams,22,70,2414,427,1054,55,208,258,367,101,437,441,130,43,247,213,1167,.405,.264,.703
Dionte Christmas,27,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,.355,.290,.750
Ian Clark,22,23,172,26,67,11,31,5,7,3,19,15,8,2,14,24,68,.388,.355,.714
Robert Covington,23,7,34,6,14,4,11,0,0,2,5,0,2,0,1,3,16,.429,.364,0.0
Allen Crabbe,21,15,100,12,33,6,14,3,4,1,9,6,2,1,3,10,33,.364,.429,.750
Seth Curry,23,2,13,1,3,1,1,0,0,0,1,0,2,0,0,0,3,.333,1.000,0.0
Troy Daniels,22,5,75,15,31,12,25,0,0,0,4,5,0,0,3,6,42,.484,.480,0.0
Gigi Datome,26,34,238,34,97,7,39,8,10,14,46,11,6,1,11,20,83,.351,.179,.800
Brandon Davies,22,51,575,54,128,2,10,34,53,38,109,28,24,8,35,92,144,.422,.200,.642
Dewayne Dedmon,24,31,390,38,83,0,0,21,32,38,127,5,7,22,18,66,97,.458,0.0,.656
Matthew Dellavedova,23,72,1271,122,296,57,155,38,48,29,123,187,33,5,60,121,339,.412,.368,.792
