Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Bam Adebayo,20,69,1368,174,340,0,7,129,179,118,381,101,32,41,66,138,477,.512,.000,.721
Jarrett Allen,19,72,1441,234,397,5,15,114,147,144,388,49,28,88,82,147,587,.589,.333,.776
Kadeem Allen,25,18,107,6,22,0,11,7,9,4,11,12,3,2,9,15,19,.273,.000,.778
Ike Anigbogu,19,11,30,4,9,0,0,5,6,5,9,0,1,3,2,1,13,.444,0.0,.833
OG Anunoby,20,74,1481,163,346,73,197,39,62,44,184,55,52,14,45,130,438,.471,.371,.629
Ryan Arcidiacono,23,24,304,17,41,9,31,5,6,1,25,35,13,0,13,18,48,.415,.290,.833
Jamel Artis,25,15,279,31,79,8,29,7,12,4,38,18,2,3,8,11,77,.392,.276,.583
Dwayne Bacon,22,53,713,72,192,11,43,20,25,4,124,38,16,2,23,46,175,.375,.256,.800
Lonzo Ball,20,52,1780,203,564,90,295,32,71,69,360,376,88,43,136,117,528,.360,.305,.451
Jordan Bell,23,57,809,116,185,0,4,30,44,60,207,102,35,56,51,92,262,.627,.000,.682
Khem Birch,25,42,578,68,126,0,0,42,61,70,180,34,15,21,21,56,178,.540,0.0,.689
Jabari Bird,23,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,.577,.429,.462
Antonio Blakeney,21,19,314,53,143,15,52,30,39,4,33,20,7,1,11,19,151,.371,.288,.769
Bogdan Bogdanović,25,78,2175,344,772,129,329,100,119,31,223,258,72,16,125,172,917,.446,.392,.840
Chris Boucher,25,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,.000,.000,0.0
Tony Bradley,20,9,29,3,11,0,1,2,2,4,11,1,0,0,0,1,8,.273,.000,1.000
Dillon Brooks,22,82,2350,340,772,94,264,124,166,49,257,135,73,17,124,233,898,.440,.356,.747
Sterling Brown,22,54,776,82,205,32,91,21,24,27,143,25,31,13,25,80,217,.400,.352,.875
Thomas Bryant,20,15,72,8,21,1,10,5,9,3,17,6,1,2,2,6,22,.381,.100,.556
Alex Caruso,23,37,562,50,116,13,43,21,30,15,65,75,23,10,42,52,134,.431,.302,.700
Tyler Cavanaugh,23,39,518,67,152,32,89,17,21,45,127,27,9,4,14,61,183,.441,.360,.810
Gian Clavell,24,7,64,6,18,6,15,2,2,1,7,3,2,0,2,8,20,.333,.400,1.000
Antonius Cleveland,23,17,123,8,21,3,4,4,6,3,14,2,7,5,7,23,23,.381,.750,.667
John Collins,20,74,1785,314,545,16,47,133,186,176,541,98,47,80,105,215,777,.576,.340,.715
Zach Collins,20,66,1045,115,289,35,113,27,42,45,221,52,17,31,58,133,292,.398,.310,.643
Kyle Collinsworth,26,32,480,38,99,4,17,21,40,32,107,56,17,9,24,44,101,.384,.235,.525
Charles Cooke,23,13,38,2,14,1,8,1,2,0,2,1,1,0,1,0,6,.143,.125,.500
Matt Costello,24,4,32,2,4,0,0,0,0,1,9,2,2,2,1,7,4,.500,0.0,0.0
Torrey Craig,27,39,629,62,137,17,58,22,35,40,127,25,12,15,20,63,163,.453,.293,.629
Tyler Dorsey,21,56,974,144,382,72,199,45,63,17,130,79,17,5,37,63,405,.377,.362,.714
Damyean Dotson,23,44,474,72,161,22,68,16,23,9,84,31,12,2,17,34,182,.447,.324,.696
Milton Doyle,24,10,125,13,47,4,23,4,8,3,18,10,6,2,2,13,34,.277,.174,.500
PJ Dozier,21,2,3,1,2,0,0,0,0,0,1,0,0,0,1,1,2,.500,0.0,0.0
Jawun Evans,21,48,778,89,253,15,54,38,49,9,84,100,36,6,44,97,231,.352,.278,.776
Terrance Ferguson,19,61,763,70,169,40,120,9,10,19,47,19,24,10,11,83,189,.414,.333,.900
De'Aaron Fox,20,73,2026,328,797,47,153,141,195,33,204,320,70,20,173,163,844,.412,.307,.723
Markelle Fultz,19,14,253,45,111,0,1,10,21,11,43,53,12,4,17,22,100,.405,.000,.476
Josh Gray,24,5,86,11,41,3,13,7,11,2,10,12,8,2,7,8,32,.268,.231,.636
Daniel Hamilton,22,6,28,5,11,2,5,0,0,0,5,8,1,0,2,2,12,.455,.400,0.0
Shaquille Harrison,24,23,384,59,124,6,26,28,38,9,61,55,26,7,22,42,152,.476,.231,.737
Josh Hart,22,63,1461,176,375,78,197,66,94,42,263,80,47,16,47,107,496,.469,.396,.702
Nigel Hayes,23,9,122,11,33,4,16,1,3,4,22,6,2,3,2,8,27,.333,.250,.333
Reggie Hearn,26,3,7,1,2,1,2,0,0,0,0,0,0,0,0,0,3,.500,.500,0.0
Myke Henry,25,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107,.376,.328,.600
Isaiah Hicks,23,18,240,33,72,2,9,12,18,10,41,16,2,4,16,45,80,.458,.222,.667
John Holland,29,24,174,17,59,11,36,9,13,6,24,5,7,2,8,10,54,.288,.306,.692
Vince Hunter,23,4,7,3,5,0,0,0,0,2,3,0,0,1,1,0,6,.600,0.0,0.0
Andre Ingram,32,2,64,8,17,5,9,3,3,1,6,7,3,3,3,3,24,.471,.556,1.000
Jonathan Isaac,20,27,536,55,145,16,46,19,25,16,99,18,33,30,27,48,145,.379,.348,.760
Wes Iwundu,23,62,1020,93,218,9,46,34,47,36,137,57,33,12,30,81,229,.427,.196,.723
Aaron Jackson,31,1,35,3,9,1,4,1,2,2,3,1,0,0,1,4,8,.333,.250,.500
Josh Jackson,20,77,1959,389,932,57,217,177,279,95,351,119,80,35,146,218,1012,.417,.263,.634
Justin Jackson,22,68,1506,185,419,57,185,26,36,27,187,74,28,13,40,81,453,.442,.308,.722
Mike James,27,36,687,123,321,26,98,64,84,13,90,126,28,7,49,48,336,.383,.265,.762
Dakari Johnson,22,31,161,22,39,0,0,11,20,16,34,8,6,8,3,27,55,.564,0.0,.550
Omari Johnson,28,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,.429,.333,0.0
Jalen Jones,24,16,181,26,68,10,26,12,19,13,38,4,5,1,7,22,74,.382,.385,.632
Luke Kennard,21,73,1463,206,465,81,195,65,76,21,176,124,44,13,69,86,558,.443,.415,.855
Maxi Kleber,26,72,1206,151,309,40,128,44,59,71,234,51,26,47,30,114,386,.489,.313,.746
Furkan Korkmaz,20,14,80,8,28,5,17,2,4,2,11,4,2,1,2,12,23,.286,.294,.500
Luke Kornet,22,20,326,49,125,28,79,8,11,11,64,26,6,16,12,28,134,.392,.354,.727
Kyle Kuzma,22,77,2401,468,1039,159,434,147,208,88,483,141,49,34,140,160,1242,.450,.366,.707
T.J. Leaf,20,53,459,64,136,18,42,10,16,29,82,9,5,4,10,45,156,.471,.429,.625
Damion Lee,25,15,404,62,152,15,60,22,29,11,71,29,19,1,14,25,161,.408,.250,.759
Walt Lemon Jr.,25,5,35,7,16,1,1,2,3,0,2,5,0,1,4,5,17,.438,1.000,.667
Tyler Lydon,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
