Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Jaylen Adams,22,34,428,38,110,25,74,7,9,11,60,65,14,5,28,45,108,.345,.338,.778
Deng Adel,21,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,.306,.261,1.000
DeVaughn Akoon-Purcell,25,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,.300,.000,.500
Rawle Alkins,21,10,120,13,39,3,12,8,12,11,26,13,1,0,8,7,37,.333,.250,.667
Grayson Allen,23,38,416,67,178,32,99,45,60,3,23,25,6,6,33,47,211,.376,.323,.750
Kostas Antetokounmpo,21,2,11,0,3,0,0,2,4,0,1,0,2,0,1,0,2,.000,0.0,.500
Deandre Ayton,20,71,2183,509,870,0,4,141,189,223,729,125,61,67,126,209,1159,.585,.000,.746
Marvin Bagley III,19,62,1567,356,706,30,96,181,262,162,471,62,33,59,98,120,923,.504,.313,.691
Mo Bamba,20,47,766,117,243,21,70,37,63,64,233,39,13,64,43,102,292,.481,.300,.587
Keita Bates-Diop,23,30,503,60,142,13,52,18,28,16,83,17,18,14,14,29,151,.423,.250,.643
Dairis Bertāns,29,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,.255,.294,0.0
Jaron Blossomgame,25,27,439,47,106,10,39,10,13,26,98,13,7,8,11,20,114,.443,.256,.769
Jonah Bolden,23,44,639,80,162,34,96,13,27,47,165,40,17,39,36,99,207,.494,.354,.481
Isaac Bonga,19,22,120,5,33,0,8,9,15,9,25,15,9,4,6,9,19,.152,.000,.600
Mikal Bridges,22,82,2417,242,563,105,313,95,118,56,264,173,129,38,70,201,684,.430,.335,.805
Miles Bridges,20,80,1696,237,511,65,200,58,77,67,323,95,55,49,50,111,597,.464,.325,.753
Isaiah Briscoe,22,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,.399,.324,.577
Ryan Broekhoff,28,42,453,57,126,38,93,15,19,8,63,22,6,4,16,35,167,.452,.409,.789
Bruce Brown,22,74,1449,125,314,24,93,45,60,48,185,91,40,36,46,178,319,.398,.258,.750
Troy Brown Jr.,19,52,730,97,234,22,69,32,47,35,145,80,21,5,30,56,248,.415,.319,.681
Jalen Brunson,22,73,1591,264,565,63,181,87,120,25,169,230,37,4,88,127,678,.467,.348,.725
