Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kim Anderson,23,21,224,24,77,0.0,0.0,15,28,17,45,15,4,5,22,42,63,.312,0.0,.536
Del Beshore,22,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dennis Boyd,24,5,40,3,12,0.0,0.0,0,0,0,2,7,0,0,6,5,6,.250,0.0,0.0
Winford Boynes,21,69,1176,256,595,0.0,0.0,133,169,60,155,75,43,7,119,117,645,.430,0.0,.787
Ron Brewer,23,81,2454,434,878,0.0,0.0,210,256,88,229,165,102,79,153,181,1078,.494,0.0,.820
Greg Bunch,22,12,97,9,26,0.0,0.0,10,12,9,17,4,3,3,5,10,28,.346,0.0,.833
Marty Byrnes,22,79,1264,187,389,0.0,0.0,106,154,90,191,104,27,10,119,111,480,.481,0.0,.688
Ron Carter,22,46,332,54,124,0.0,0.0,36,54,21,45,25,17,7,40,54,144,.435,0.0,.667
Maurice Cheeks*,22,82,2409,292,572,0.0,0.0,101,140,63,254,431,174,12,193,198,685,.510,0.0,.721
Michael Cooper*,22,3,7,3,6,0.0,0.0,0,0,0,0,0,1,0,1,1,6,.500,0.0,0.0
Wayne Cooper,22,65,795,128,293,0.0,0.0,41,61,90,280,21,7,44,52,118,297,.437,0.0,.672
Dave Corzine,22,59,532,63,118,0.0,0.0,49,63,52,147,49,10,14,53,67,175,.534,0.0,.778
Geoff Crompton,23,20,88,10,26,0.0,0.0,6,12,6,23,5,0,3,12,19,26,.385,0.0,.500
Harry Davis,23,40,394,66,153,0.0,0.0,30,43,27,66,16,13,8,23,66,162,.431,0.0,.698
Bob Elliott,23,14,282,41,73,0.0,0.0,41,56,16,56,22,6,4,26,34,123,.562,0.0,.732
Ray Epps,22,13,72,10,23,0.0,0.0,6,8,0,5,2,1,0,2,7,26,.435,0.0,.750
Phil Ford,22,79,2723,467,1004,0.0,0.0,326,401,33,182,681,174,6,323,245,1260,.465,0.0,.813
Jack Givens,22,74,1347,234,564,0.0,0.0,102,135,98,214,83,72,17,75,121,570,.415,0.0,.756
Tommie Green,22,59,809,92,237,0.0,0.0,48,63,20,68,140,61,6,89,111,232,.388,0.0,.762
Lars Hansen,24,15,205,29,57,0.0,0.0,18,31,22,59,14,1,1,9,28,76,.509,0.0,.581
James Hardy,22,68,1456,196,426,0.0,0.0,61,88,121,310,65,52,61,93,133,453,.460,0.0,.693
Keith Herron,22,14,81,14,48,0.0,0.0,12,13,4,10,3,6,2,5,11,40,.292,0.0,.923
Kenny Higgs,24,68,1050,127,279,0.0,0.0,85,111,18,102,141,66,11,47,176,339,.455,0.0,.766
Essie Hollis,23,25,154,30,75,0.0,0.0,9,12,21,45,6,11,1,14,28,69,.400,0.0,.750
Otis Howard,22,14,113,24,56,0.0,0.0,11,23,18,41,5,2,2,7,24,59,.429,0.0,.478
Clemon Johnson,22,74,794,102,217,0.0,0.0,36,74,83,226,78,23,36,65,121,240,.470,0.0,.486
George Johnson,22,67,1157,165,342,0.0,0.0,84,117,106,360,81,75,49,100,187,414,.482,0.0,.718
Jeff Judkins,22,81,1521,295,587,0.0,0.0,119,146,70,191,145,81,12,109,184,709,.503,0.0,.815
Joel Kramer,23,82,1401,181,370,0.0,0.0,125,176,134,337,92,45,23,98,224,487,.489,0.0,.710
Butch Lee,22,82,1779,290,634,0.0,0.0,175,230,33,126,295,86,1,154,146,755,.457,0.0,.761
John Long,22,82,2498,581,1240,0.0,0.0,157,190,127,266,121,102,19,137,224,1319,.469,0.0,.826
Billy McKinney,23,78,1242,240,477,0.0,0.0,129,162,20,85,253,58,3,124,121,609,.503,0.0,.796
Mike Mitchell,23,80,1576,362,706,0.0,0.0,131,178,127,329,60,51,29,102,215,855,.513,0.0,.736
John Olive,23,34,189,13,40,0.0,0.0,18,23,3,19,3,4,0,13,32,44,.325,0.0,.783
Roger Phegley,22,29,153,28,78,0.0,0.0,24,29,5,22,15,5,2,17,21,80,.359,0.0,.828
Stan Pietkiewicz,22,4,32,1,8,0.0,0.0,2,2,0,6,3,1,0,1,5,4,.125,0.0,1.000
Wayne Radford,22,52,649,83,175,0.0,0.0,36,45,25,68,57,30,1,45,61,202,.474,0.0,.800
Marlon Redmond,23,53,759,163,387,0.0,0.0,31,50,57,109,58,28,16,57,96,357,.421,0.0,.620
Micheal Ray Richardson,23,72,1218,200,483,0.0,0.0,69,128,78,233,213,100,18,141,188,469,.414,0.0,.539
Rick Robey,23,79,1763,322,673,0.0,0.0,174,224,168,513,132,48,15,164,232,818,.478,0.0,.777
Jackie Robinson,23,12,105,19,41,0.0,0.0,8,15,9,19,13,5,1,11,9,46,.463,0.0,.533
John Rudd,23,58,723,59,133,0.0,0.0,66,93,69,167,35,17,8,59,95,184,.444,0.0,.710
Frankie Sanders,22,46,479,105,246,0.0,0.0,54,68,35,110,52,21,6,55,69,264,.427,0.0,.794
Purvis Short,21,75,1703,369,771,0.0,0.0,57,85,127,347,97,54,12,111,233,795,.479,0.0,.671
Sam Smith,24,16,125,19,47,0.0,0.0,18,24,0,9,16,8,7,8,12,56,.404,0.0,.750
Reggie Theus,21,82,2753,537,1119,0.0,0.0,264,347,92,228,429,93,18,303,270,1338,.480,0.0,.761
Mychal Thompson,24,73,2144,460,938,0.0,0.0,154,269,198,604,176,67,134,205,270,1074,.490,0.0,.572
Raymond Townsend,23,65,771,127,289,0.0,0.0,50,68,11,55,91,27,6,51,70,304,.439,0.0,.735
Terry Tyler,22,82,2560,456,946,0.0,0.0,144,219,211,648,89,104,201,141,254,1056,.482,0.0,.658
Andre Wakefield,24,73,586,62,177,0.0,0.0,48,69,25,76,70,19,2,73,70,172,.350,0.0,.696
Jerome Whitehead,22,31,152,15,34,0.0,0.0,8,18,16,50,7,3,4,11,29,38,.441,0.0,.444
Freeman Williams,22,72,1195,335,683,0.0,0.0,76,98,48,98,83,42,2,99,88,746,.490,0.0,.776
Rick Wilson,22,61,589,81,197,0.0,0.0,24,44,20,76,72,30,8,41,66,186,.411,0.0,.545
