Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Malik Allen,23,12,161,22,51,0,1,8,10,15,38,5,3,8,2,16,52,.431,.000,.800
Chris Andersen,23,24,262,25,74,0,4,22,28,38,76,7,7,28,13,35,72,.338,.000,.786
Gilbert Arenas,20,47,1155,174,384,39,113,124,160,41,132,174,69,11,97,115,511,.453,.345,.775
Brandon Armstrong,21,35,196,27,85,5,17,5,10,10,16,8,7,1,8,26,64,.318,.294,.500
Carlos Arroyo,22,37,371,49,111,0,2,13,18,12,40,70,11,1,23,30,111,.441,.000,.722
Mengke Bateer,26,27,408,53,132,4,12,29,37,32,96,22,10,5,32,94,139,.402,.333,.784
Shane Battier,23,78,3097,412,961,103,276,198,283,180,418,216,121,81,155,215,1125,.429,.373,.700
Charlie Bell,22,7,44,3,11,0,6,2,2,2,5,2,0,0,5,3,8,.273,.000,1.000
Ruben Boumtje-Boumtje,23,33,245,13,32,0,0,13,25,21,55,4,3,16,14,38,39,.406,0.0,.520
Michael Bradley,22,26,118,13,25,0,2,4,8,7,24,3,0,6,6,10,30,.520,.000,.500
Jamison Brewer,21,13,43,2,5,0,1,0,0,2,8,9,2,0,3,3,4,.400,.000,0.0
Primož Brezec,22,22,160,14,29,0,0,15,25,16,28,6,0,7,6,28,43,.483,0.0,.600
Damone Brown,22,17,67,8,21,0,1,7,8,2,4,2,1,1,9,11,23,.381,.000,.875
Ernest Brown,22,3,21,1,6,0,0,1,4,1,6,0,0,1,3,4,3,.167,0.0,.250
Kedrick Brown,20,29,245,23,70,5,27,12,20,11,50,15,18,7,7,18,63,.329,.185,.600
Kwame Brown,19,57,817,94,243,0,1,70,99,63,198,43,16,26,43,105,258,.387,.000,.707
Tierre Brown,22,40,403,49,115,4,12,21,28,12,42,70,19,3,40,26,123,.426,.333,.750
Tyson Chandler,19,71,1389,151,304,0,0,134,222,114,343,54,28,93,99,179,436,.497,0.0,.604
Speedy Claxton,23,67,1528,181,452,4,33,114,136,46,160,198,95,6,95,145,480,.400,.121,.838
Jarron Collins,23,70,1440,158,343,0,1,134,181,138,296,58,29,22,56,234,450,.461,.000,.740
Jason Collins,23,77,1407,117,278,1,2,115,164,132,301,81,29,47,72,173,350,.421,.500,.701
Joe Crispin,22,21,156,26,68,15,39,12,13,2,11,26,5,0,10,10,79,.382,.385,.923
Eddy Curry,19,72,1150,189,377,0,0,105,160,111,272,25,16,53,69,173,483,.501,0.0,.656
Samuel Dalembert,20,34,177,22,50,0,0,7,18,25,68,5,6,13,14,30,51,.440,0.0,.389
DeSagana Diop,20,18,109,12,29,0,0,1,5,5,17,5,1,10,12,19,25,.414,0.0,.200
Predrag Drobnjak,26,64,1174,191,414,0,2,55,73,75,219,51,20,31,51,109,437,.461,.000,.753
Maurice Evans,23,10,45,9,19,0,3,3,4,3,4,4,0,0,2,9,21,.474,.000,.750
Isaac Fontaine,26,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,.214,.200,.667
Alton Ford,20,53,452,61,118,0,0,42,57,32,107,7,6,7,32,99,164,.517,0.0,.737
Joseph Forte,20,8,39,1,12,0,3,4,4,1,6,6,2,0,3,1,6,.083,.000,1.000
Antonis Fotsis,20,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,.404,.304,.850
Tremaine Fowlkes,25,22,343,25,64,0,0,24,31,32,64,17,11,1,13,39,74,.391,0.0,.774
Pau Gasol*,21,82,3007,551,1064,1,5,338,477,238,730,223,41,169,224,195,1441,.518,.200,.709
Eddie Griffin,19,73,1896,244,666,90,273,64,86,117,416,53,17,134,47,117,642,.366,.330,.744
Tang Hamilton,23,9,98,10,19,0,1,0,1,6,18,5,4,0,2,10,20,.526,.000,.000
