Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Arron Afflalo,22,75,970,99,241,10,48,68,87,36,137,52,31,8,34,83,276,.411,.208,.782
Blake Ahearn,23,12,177,15,57,10,34,30,31,1,19,19,6,0,16,20,70,.263,.294,.968
Lance Allred,26,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,0.0,.500
Morris Almond,22,9,39,4,15,1,4,4,6,0,2,3,1,0,2,5,13,.267,.250,.667
Joel Anthony,25,24,498,28,60,0,0,29,49,38,93,3,9,31,17,55,85,.467,0.0,.592
Marco Belinelli,21,33,241,36,93,16,41,7,9,3,14,15,5,0,12,15,95,.387,.390,.778
Corey Brewer,21,79,1803,182,486,7,36,88,110,82,292,111,76,25,89,188,459,.374,.194,.800
Aaron Brooks,23,51,608,93,225,36,109,42,49,13,56,87,13,5,44,69,264,.413,.330,.857
Wilson Chandler,20,35,685,106,242,9,30,34,54,38,127,33,15,16,27,83,255,.438,.300,.630
Mike Conley,20,53,1381,189,442,30,91,90,123,21,139,222,44,2,89,85,498,.428,.330,.732
Daequan Cook,20,59,1441,196,514,79,238,47,57,20,177,75,23,9,63,157,518,.381,.332,.825
Javaris Crittenton,20,50,679,98,233,10,37,72,104,27,110,51,19,2,55,47,278,.421,.270,.692
Jermareo Davidson,23,38,322,51,125,0,0,18,28,21,62,13,7,15,17,46,120,.408,0.0,.643
Glen Davis,22,69,940,107,221,0,0,99,150,95,208,28,31,20,65,160,313,.484,0.0,.660
Guillermo Díaz,22,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,.250,.000,.600
Jared Dudley,22,73,1384,163,348,9,41,87,118,121,286,81,55,10,50,128,422,.468,.220,.737
Kevin Durant,19,80,2768,587,1366,59,205,391,448,70,348,192,78,75,232,122,1624,.430,.288,.873
Nick Fazekas,22,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,.561,.000,.682
Kyrylo Fesenko,21,9,70,6,16,0,0,2,4,14,25,2,0,3,8,19,14,.375,0.0,.500
Thomas Gardner,22,4,45,9,23,3,12,0,2,3,4,1,0,0,4,4,21,.391,.250,.000
Marcin Gortat,23,6,41,8,17,0,0,2,3,8,16,2,1,1,2,4,18,.471,0.0,.667
Aaron Gray,23,61,613,103,204,0,1,56,99,70,168,41,21,16,57,117,262,.505,.000,.566
Jeff Green,21,80,2253,320,749,21,76,177,238,101,379,119,46,49,158,198,838,.427,.276,.744
Taurean Green,21,17,74,7,25,2,11,11,12,0,10,11,2,0,9,5,27,.280,.182,.917
Mike Harris,24,17,159,27,54,0,2,8,13,24,54,3,6,3,9,16,62,.500,.000,.615
Spencer Hawes,19,71,931,146,318,4,21,38,58,68,230,44,14,40,56,128,334,.459,.190,.655
Al Horford,21,81,2540,333,668,0,5,155,212,248,785,124,60,76,137,267,821,.499,.000,.731
Yi Jianlian,20,66,1647,219,520,6,21,122,145,106,344,55,36,56,90,153,566,.421,.286,.841
Coby Karl,24,17,71,9,26,4,13,8,10,3,14,9,4,2,5,4,30,.346,.308,.800
Carl Landry,24,42,711,135,219,0,1,72,109,96,207,21,17,7,26,98,342,.616,.000,.661
Keith Langford,24,2,10,1,4,0,0,0,0,0,2,0,0,0,0,1,2,.250,0.0,0.0
Stéphane Lasme,25,16,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,.451,0.0,.594
Acie Law,23,56,865,95,237,7,34,38,48,12,57,113,29,0,56,73,235,.401,.206,.792
Ian Mahinmi,21,6,23,6,12,0,0,9,9,0,5,1,0,4,2,4,21,.500,0.0,1.000
Dominic McGuire,22,70,695,39,103,1,6,14,32,53,139,40,20,26,40,76,93,.379,.167,.438
Josh McRoberts,20,8,28,6,10,0,1,0,0,2,10,2,1,0,2,1,12,.600,.000,0.0
Jamario Moon,27,78,2166,279,575,40,122,63,85,92,484,90,80,108,51,152,661,.485,.328,.741
Juan Carlos Navarro,27,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,.402,.361,.849
Demetris Nichols,23,14,44,6,23,3,13,0,0,0,5,1,0,3,4,4,15,.261,.231,0.0
Joakim Noah,22,74,1534,177,367,0,1,134,194,174,416,84,68,64,89,173,488,.482,.000,.691
Oleksiy Pecherov,22,35,320,44,125,17,60,20,31,21,66,7,6,5,17,30,125,.352,.283,.645
Kosta Perović,22,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,.300,0.0,.667
Kasib Powell,26,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,.368,.242,.667
Gabe Pruitt,21,15,95,14,39,3,12,1,2,1,8,13,5,0,5,10,32,.359,.250,.500
Chris Richard,23,52,556,41,87,0,0,16,27,52,135,18,10,12,24,83,98,.471,0.0,.593
Cheikh Samb,23,4,31,3,4,0,0,1,2,3,7,0,1,2,1,8,7,.750,0.0,.500
Luis Scola,27,82,2024,345,670,0,3,157,235,174,525,106,60,19,105,235,847,.515,.000,.668
Ramon Sessions,21,17,450,51,117,3,7,32,41,8,58,127,17,3,36,26,137,.436,.429,.780
Courtney Sims,24,3,11,0,1,0,0,0,0,1,2,1,0,0,0,2,0,.000,0.0,0.0
Jason Smith,21,76,1107,141,310,4,14,54,82,77,230,20,22,50,48,142,340,.455,.286,.659
D.J. Strawberry,22,33,270,29,92,6,25,9,19,9,28,30,12,6,11,36,73,.315,.240,.474
Rodney Stuckey,21,57,1081,153,382,3,16,127,156,32,129,160,49,6,78,113,436,.401,.188,.814
Al Thornton,24,79,2158,374,871,43,130,214,288,98,358,98,46,43,128,195,1005,.429,.331,.743
Alando Tucker,23,6,48,8,22,1,4,5,6,4,8,0,0,1,0,2,22,.364,.250,.833
Darius Washington,22,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,.438,.333,.538
Darryl Watkins,23,9,71,5,15,0,0,2,5,5,12,0,2,2,7,8,12,.333,0.0,.400
C.J. Watson,23,32,368,43,101,9,26,23,29,13,32,35,15,0,18,19,118,.426,.346,.793
Mario West,23,64,269,21,49,0,4,17,26,26,48,13,12,4,9,61,59,.429,.000,.654
Marcus Williams,21,11,36,5,20,0,0,0,0,4,12,3,1,1,0,3,10,.250,0.0,0.0
Sean Williams,21,73,1278,164,305,0,0,81,133,115,322,28,28,106,70,193,409,.538,0.0,.609
Brandan Wright,20,38,376,62,112,0,0,27,40,38,99,9,6,22,13,36,151,.554,0.0,.675
Julian Wright,20,57,640,90,169,10,24,33,52,33,117,40,29,12,34,43,223,.533,.417,.635
Nick Young,22,75,1158,210,478,40,100,101,124,23,115,63,35,7,94,130,561,.439,.400,.815
Thaddeus Young,19,74,1554,264,490,6,19,76,103,120,312,58,73,8,64,126,610,.539,.316,.738
