Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Courtney Alexander,23,65,1382,239,573,17,46,123,150,42,143,62,45,5,75,139,618,.417,.370,.820
Dalibor Bagarić,20,35,259,17,65,0,1,13,28,22,56,10,9,16,21,44,47,.262,.000,.464
Erick Barkley,22,8,38,8,22,3,8,0,0,0,3,6,2,0,5,2,19,.364,.375,0.0
Raja Bell,24,5,30,2,7,1,3,0,0,0,1,0,1,0,2,1,5,.286,.333,0.0
Mark Blount,25,64,1098,101,200,0,0,46,66,97,231,32,39,76,62,183,248,.505,0.0,.697
Brian Cardinal,23,15,126,10,31,0,5,11,18,8,23,3,7,2,9,27,31,.323,.000,.611
Mateen Cleaves,23,78,1268,160,400,5,17,97,137,26,132,207,49,1,139,153,422,.400,.294,.708
Jason Collier,23,23,222,27,71,0,1,17,24,12,37,6,2,3,11,27,71,.380,.000,.708
Sean Colson,25,13,44,6,24,1,5,2,4,2,6,10,1,0,2,6,15,.250,.200,.500
Jamal Crawford,20,61,1050,107,304,41,117,27,34,9,89,141,43,14,85,68,282,.352,.350,.794
Keyon Dooling,20,76,1237,148,362,28,80,125,179,8,89,177,41,11,94,107,449,.409,.350,.698
Khalid El-Amin,21,50,936,115,311,28,84,56,72,21,81,145,48,2,54,99,314,.370,.333,.778
Marcus Fizer,22,72,1580,278,646,10,39,117,161,76,313,76,30,19,124,175,683,.430,.256,.727
Rubén Garcés,27,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,.318,0.0,.250
Eddie Gill,22,8,152,16,41,3,9,4,5,0,9,24,4,1,10,9,39,.390,.333,.800
Steve Goodrich,24,12,133,7,18,1,3,4,7,7,21,6,2,1,8,14,19,.389,.333,.571
A.J. Guyton,22,33,630,78,192,27,69,15,18,10,36,64,9,5,24,35,198,.406,.391,.833
Zendon Hamilton,25,3,19,2,9,0,0,5,8,3,8,0,0,0,2,4,9,.222,0.0,.625
Jason Hart,22,1,10,1,1,0,0,0,0,0,0,1,0,0,2,0,2,1.000,0.0,0.0
