Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Jeff Adrien,24,23,196,23,54,0,0,11,19,23,58,10,4,5,9,28,57,.426,0.0,.579
Solomon Alabi,22,12,59,3,15,0,0,0,2,7,14,2,2,2,3,5,6,.200,0.0,.000
Cole Aldrich,22,18,142,8,15,0,0,2,4,13,35,4,5,7,8,30,18,.533,0.0,.500
Al-Farouq Aminu,20,81,1452,160,406,45,143,92,119,75,267,60,59,25,103,121,457,.394,.315,.773
James Anderson,21,26,286,31,81,18,46,14,18,2,23,18,3,6,13,24,94,.383,.391,.778
Ömer Aşık,24,82,989,78,141,0,0,73,145,112,306,32,20,56,64,153,229,.553,0.0,.503
Luke Babbitt,21,24,137,15,55,3,16,3,9,6,30,6,2,2,8,15,36,.273,.188,.333
Eric Bledsoe,21,81,1841,206,486,32,116,99,133,68,223,289,92,26,194,130,543,.424,.276,.744
Trevor Booker,23,65,1063,139,253,0,1,68,101,98,251,35,29,42,38,115,346,.549,.000,.673
Craig Brackins,23,3,33,4,16,0,5,0,0,2,4,1,1,0,0,3,8,.250,.000,0.0
Avery Bradley,20,31,162,23,67,0,5,6,12,4,17,12,9,0,16,20,52,.343,.000,.500
Derrick Caracter,22,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,.485,0.0,.739
Sherron Collins,23,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,.280,.200,1.000
Marcus Cousin,24,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,.667,0.0,0.0
DeMarcus Cousins,20,81,2309,432,1004,3,18,276,402,217,699,204,85,68,268,332,1143,.430,.167,.687
Jordan Crawford,22,42,1027,192,500,33,128,73,84,31,105,117,39,3,83,63,490,.384,.258,.869
Ed Davis,21,65,1602,215,373,0,0,71,128,168,462,40,39,67,48,183,501,.576,0.0,.555
Zabian Dowdell,26,24,292,51,125,3,10,16,17,5,20,51,20,2,29,30,121,.408,.300,.941
Devin Ebanks,21,20,118,21,51,2,5,18,23,15,27,2,4,5,6,7,62,.412,.400,.783
Semih Erden,24,41,595,62,111,0,0,39,60,37,118,20,15,24,34,104,163,.559,0.0,.650
Jeremy Evans,23,49,463,76,115,0,1,26,37,36,97,24,17,17,19,50,178,.661,.000,.703
