Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Kareem Abdul-Jabbar*,C,33,LAL,80,0,2976,836,1457,.574,0,1,.000,836,1456,.574,.574,423,552,.766,197,624,821,272,59,228,249,244,2095,5.0,54.0,28.0
Tom Abernethy,SF,26,TOT,39,0,298,25,59,.424,0,1,.000,25,58,.431,.424,13,22,.591,20,28,48,19,7,3,8,34,63,5.012195121951219,20.317073170731707,18.68292682926829
Alvan Adams,C,26,PHO,75,0,2054,458,870,.526,0,0,0,458,870,.526,.526,199,259,.768,157,389,546,344,106,69,226,226,1115,4.0,57.0,25.0
Darrell Allums,PF,22,DAL,22,0,276,23,67,.343,0,1,.000,23,66,.348,.343,13,22,.591,19,46,65,25,5,8,23,51,59,23.0,15.0,67.0
Tiny Archibald*,PG,32,BOS,80,72,2820,382,766,.499,0,9,.000,382,757,.505,.499,342,419,.816,36,140,176,618,75,18,265,201,1106,3.0,62.0,20.0
Dennis Awtrey,C,32,SEA,47,0,607,44,93,.473,0,0,0,44,93,.473,.473,14,20,.700,33,75,108,54,12,8,33,85,102,17.0,34.0,48.0
James Bailey,PF,23,SEA,82,0,2539,444,889,.499,1,2,.500,443,887,.499,.500,256,361,.709,192,415,607,98,74,143,219,332,1145,17.0,34.0,48.0
Greg Ballard,SF,26,WSB,82,0,2610,549,1186,.463,7,32,.219,542,1154,.470,.466,166,196,.847,167,413,580,195,118,39,117,194,1271,12.0,39.0,43.0
Mike Bantom,SF,29,IND,76,0,2375,431,882,.489,0,6,.000,431,876,.492,.489,199,281,.708,150,277,427,240,80,85,197,284,1061,9.0,44.0,38.0
Billy Ray Bates,SG,24,POR,77,0,1560,439,902,.487,14,54,.259,425,848,.501,.494,170,199,.854,71,86,157,196,82,6,149,120,1062,10.0,45.0,37.0
Mel Bennett,PF,26,UTA,28,0,313,26,60,.433,0,2,.000,26,58,.448,.433,53,81,.654,33,60,93,15,3,11,31,56,105,21.0,28.0,54.0
Kent Benson,C,26,DET,59,0,1956,364,770,.473,0,4,.000,364,766,.475,.473,196,254,.772,124,276,400,172,72,67,190,184,924,22.0,21.0,61.0
Henry Bibby,PG,31,SDC,73,0,1112,118,306,.386,32,95,.337,86,211,.408,.438,67,98,.684,25,49,74,200,47,2,76,85,335,16.0,36.0,46.0
Larry Bird*,PF,24,BOS,82,82,3239,719,1503,.478,20,74,.270,699,1429,.489,.485,283,328,.863,191,704,895,451,161,63,289,239,1741,3.0,62.0,20.0
Otis Birdsong,SG,25,KCK,71,0,2593,710,1306,.544,10,35,.286,700,1271,.551,.547,317,455,.697,119,139,258,233,93,18,173,172,1747,13.0,40.0,42.0
Norman Black,SG,23,DET,3,0,28,3,10,.300,0,0,0,3,10,.300,.300,2,8,.250,0,2,2,2,1,0,1,2,8,22.0,21.0,61.0
Ron Boone,SG,34,UTA,52,0,1146,160,371,.431,11,39,.282,149,332,.449,.446,75,94,.798,17,67,84,161,33,8,111,126,406,21.0,28.0,54.0
Winford Boynes,SG,23,DAL,44,0,757,121,313,.387,0,0,0,121,313,.387,.387,45,55,.818,24,51,75,37,23,16,69,79,287,23.0,15.0,67.0
Dudley Bradley,SG,23,IND,82,0,1867,265,559,.474,2,16,.125,263,543,.484,.476,125,178,.702,70,123,193,188,186,37,122,236,657,9.0,44.0,38.0
Mike Bratz,PG,25,CLE,80,0,2595,319,817,.390,57,169,.337,262,648,.404,.425,107,132,.811,66,132,198,452,136,17,162,194,802,19.0,28.0,54.0
Jim Brewer,PF,29,LAL,78,0,1107,101,197,.513,0,2,.000,101,195,.518,.513,15,40,.375,127,154,281,55,43,58,48,158,217,5.0,54.0,28.0
Ron Brewer,SG,25,TOT,75,0,1452,275,631,.436,1,7,.143,274,624,.439,.437,91,114,.798,34,52,86,148,61,34,92,95,642,6.902439024390244,45.08536585365854,29.914634146341463
Junior Bridgeman,SF,27,MIL,77,0,2215,537,1102,.487,3,21,.143,534,1081,.494,.489,213,241,.884,78,211,289,234,88,28,150,182,1290,2.0,60.0,22.0
Allan Bristow,SF,29,UTA,82,0,2001,271,611,.444,5,18,.278,266,593,.449,.448,166,198,.838,103,327,430,383,63,3,171,190,713,21.0,28.0,54.0
Dave Britton,PG,22,WSB,2,0,9,2,3,.667,0,0,0,2,3,.667,.667,0,0,0,0,2,2,3,1,0,2,2,4,12.0,39.0,43.0
Michael Brooks,SF,22,SDC,82,0,2479,488,1018,.479,0,6,.000,488,1012,.482,.479,226,320,.706,210,232,442,208,99,31,163,234,1202,16.0,36.0,46.0
Fred Brown,SG,32,SEA,78,0,1986,505,1035,.488,23,64,.359,482,971,.496,.499,173,208,.832,53,122,175,233,88,13,131,141,1206,17.0,34.0,48.0
Lewis Brown,C,25,WSB,2,0,5,0,3,.000,0,0,0,0,3,.000,.000,2,5,.400,1,1,2,0,0,0,1,2,2,12.0,39.0,43.0
Rickey Brown,C,22,GSW,45,0,580,83,162,.512,0,0,0,83,162,.512,.512,16,21,.762,52,114,166,21,9,14,31,103,182,15.0,39.0,43.0
Joe Bryant,PF,26,SDC,82,0,2359,379,791,.479,2,15,.133,377,776,.486,.480,193,244,.791,146,294,440,189,72,34,176,264,953,16.0,36.0,46.0
