Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Fred Brown,SG,28,SEA,72,0,2098,534,1114,.479,0,0,0,534,1114,.479,.479,168,190,.884,68,164,232,176,124,19,0,140,1236,15.0,40.0,42.0
John Brown,SF,25,ATL,77,0,1405,160,350,.457,0,0,0,160,350,.457,.457,121,150,.807,75,161,236,103,46,7,0,217,441,20.0,31.0,51.0
Roger Brown,C,26,DET,43,0,322,21,56,.375,0,0,0,21,56,.375,.375,18,26,.692,31,59,90,12,15,18,0,68,60,14.0,44.0,38.0
Joe Bryant,PF,22,PHI,61,0,612,107,240,.446,0,0,0,107,240,.446,.446,53,70,.757,45,72,117,48,36,13,0,84,267,3.0,50.0,32.0
Quinn Buckner,PG,22,MIL,79,0,2095,299,689,.434,0,0,0,299,689,.434,.434,83,154,.539,91,173,264,372,192,21,0,291,681,19.0,30.0,52.0
Ticky Burden,SG,23,NYK,61,2,608,148,352,.420,0,0,0,148,352,.420,.420,51,85,.600,26,40,66,62,47,1,0,88,347,13.0,40.0,42.0
Tom Burleson,C,24,SEA,82,82,1803,288,652,.442,0,0,0,288,652,.442,.442,220,301,.731,184,367,551,93,74,117,0,259,796,15.0,40.0,42.0
Don Buse,PG,26,IND,81,0,2947,266,639,.416,0,0,0,266,639,.416,.416,114,145,.786,66,204,270,685,281,16,0,129,646,16.0,36.0,46.0
Corky Calhoun,SF,26,POR,70,0,743,85,183,.464,0,0,0,85,183,.464,.464,66,85,.776,40,104,144,35,24,8,0,123,236,1.0,49.0,33.0
Mack Calvin,PG,29,TOT,76,0,1438,220,544,.404,0,0,0,220,544,.404,.404,287,338,.849,36,60,96,240,61,3,0,127,727,6.560975609756097,44.21951219512195,31.780487804878046
Austin Carr,SG,28,CLE,82,0,2409,558,1221,.457,0,0,0,558,1221,.457,.457,213,268,.795,120,120,240,220,57,10,0,221,1329,7.0,43.0,39.0
M.L. Carr,SF,26,DET,82,0,2643,443,931,.476,0,0,0,443,931,.476,.476,205,279,.735,211,420,631,181,165,58,0,287,1091,14.0,44.0,38.0
Fred Carter,SG,31,TOT,61,0,1112,209,500,.418,0,0,0,209,500,.418,.418,68,96,.708,55,62,117,125,39,9,0,125,486,11.402439024390242,25.731707317073173,35.26829268292683
Cornelius Cash,PF,24,DET,6,0,49,9,23,.391,0,0,0,9,23,.391,.391,3,6,.500,8,8,16,1,2,1,0,8,21,14.0,44.0,38.0
Harvey Catchings,C,25,PHI,53,25,864,62,123,.504,0,0,0,62,123,.504,.504,33,47,.702,64,170,234,30,23,78,0,130,157,3.0,50.0,32.0
Don Chaney,SG,30,LAL,81,0,2408,213,522,.408,0,0,0,213,522,.408,.408,70,94,.745,120,210,330,308,140,33,0,224,496,5.0,53.0,29.0
Ken Charles,SG,25,ATL,82,0,2487,354,855,.414,0,0,0,354,855,.414,.414,205,256,.801,41,127,168,295,141,45,0,240,913,20.0,31.0,51.0
Phil Chenier,SG,26,WSB,78,0,2842,654,1472,.444,0,0,0,654,1472,.444,.444,270,321,.841,56,243,299,294,120,39,0,166,1578,8.0,48.0,34.0
Jim Chones,C,27,CLE,82,0,2378,450,972,.463,0,0,0,450,972,.463,.463,155,212,.731,208,480,688,104,32,77,0,258,1055,7.0,43.0,39.0
Jim Cleamons,PG,27,CLE,60,0,2045,257,592,.434,0,0,0,257,592,.434,.434,112,148,.757,99,174,273,308,66,23,0,126,626,7.0,43.0,39.0
Doug Collins*,SG,25,PHI,58,47,2037,426,823,.518,0,0,0,426,823,.518,.518,210,250,.840,64,131,195,271,70,15,0,174,1062,3.0,50.0,32.0
Norm Cook,SF,21,BOS,25,0,138,27,72,.375,0,0,0,27,72,.375,.375,9,17,.529,10,17,27,5,10,3,0,27,63,17.0,44.0,38.0
Dave Cowens*,C,28,BOS,50,0,1888,328,756,.434,0,0,0,328,756,.434,.434,162,198,.818,147,550,697,248,46,49,0,181,818,17.0,44.0,38.0
Mike D'Antoni,SG,25,SAS,2,0,9,1,3,.333,0,0,0,1,3,.333,.333,1,2,.500,0,2,2,2,0,0,0,3,3,12.0,44.0,38.0
Louie Dampier*,PG,32,SAS,80,0,1634,233,507,.460,0,0,0,233,507,.460,.460,64,86,.744,22,54,76,234,49,15,0,93,530,12.0,44.0,38.0
Bob Dandridge*,SF,29,MIL,70,0,2501,585,1253,.467,0,0,0,585,1253,.467,.467,283,367,.771,146,294,440,268,95,28,0,222,1453,19.0,30.0,52.0
Adrian Dantley*,SF,21,BUF,77,0,2816,544,1046,.520,0,0,0,544,1046,.520,.520,476,582,.818,251,336,587,144,91,15,0,215,1564,21.0,30.0,52.0
Dwight Davis,PF,27,GSW,33,0,552,55,124,.444,0,0,0,55,124,.444,.444,49,72,.681,34,61,95,29,11,8,0,93,159,4.0,46.0,36.0
Johnny Davis,SG,21,POR,79,0,1451,234,531,.441,0,0,0,234,531,.441,.441,166,209,.794,62,64,126,148,41,11,0,128,634,1.0,49.0,33.0
Mel Davis,PF,26,TOT,56,0,1094,168,464,.362,0,0,0,168,464,.362,.362,64,91,.703,98,195,293,71,31,5,0,130,400,3.487804878048781,10.731707317073171,11.26829268292683
Mickey Davis,SF,26,MIL,19,0,165,29,68,.426,0,0,0,29,68,.426,.426,23,25,.920,11,18,29,20,6,4,0,11,81,19.0,30.0,52.0
Ron Davis,SF,22,ATL,7,0,67,8,35,.229,0,0,0,8,35,.229,.229,4,13,.308,2,5,7,2,7,0,0,9,20,20.0,31.0,51.0
Darryl Dawkins,C,20,PHI,59,0,684,135,215,.628,0,0,0,135,215,.628,.628,40,79,.506,59,171,230,24,12,49,0,129,310,3.0,50.0,32.0
Randy Denton,C,27,ATL,45,0,700,103,256,.402,0,0,0,103,256,.402,.402,33,47,.702,81,137,218,33,14,16,0,100,239,20.0,31.0,51.0
Henry Dickerson,PG,25,ATL,6,0,63,6,12,.500,0,0,0,6,12,.500,.500,5,8,.625,0,2,2,11,1,0,0,13,17,20.0,31.0,51.0
Derrek Dickey,PF,25,GSW,49,0,856,158,345,.458,0,0,0,158,345,.458,.458,45,61,.738,100,140,240,63,20,11,0,101,361,4.0,46.0,36.0
Coby Dietrick,C,28,SAS,82,0,1772,285,620,.460,0,0,0,285,620,.460,.460,119,166,.717,111,261,372,148,88,57,0,267,689,12.0,44.0,38.0
Ernie DiGregorio,PG,26,BUF,81,0,2267,365,875,.417,0,0,0,365,875,.417,.417,138,146,.945,52,132,184,378,57,3,0,150,868,21.0,30.0,52.0
Leon Douglas,C,22,DET,82,0,1626,245,512,.479,0,0,0,245,512,.479,.479,127,229,.555,181,345,526,68,44,81,0,294,617,14.0,44.0,38.0
John Drew,SF,22,ATL,74,0,2688,689,1416,.487,0,0,0,689,1416,.487,.487,412,577,.714,280,395,675,133,102,29,0,275,1790,20.0,31.0,51.0
Charles Dudley,PG,26,GSW,79,0,1682,220,421,.523,0,0,0,220,421,.523,.523,129,203,.635,119,177,296,347,67,6,0,169,569,4.0,46.0,36.0
Mike Dunleavy,PG,22,PHI,32,0,359,60,145,.414,0,0,0,60,145,.414,.414,34,45,.756,10,24,34,56,13,2,0,64,154,3.0,50.0,32.0
Jim Eakins,C,30,KCK,82,0,1338,151,336,.449,0,0,0,151,336,.449,.449,188,222,.847,112,249,361,119,29,49,0,195,490,9.0,40.0,42.0
Al Eberhard,SF,24,DET,68,0,1219,181,380,.476,0,0,0,181,380,.476,.476,109,138,.790,76,145,221,50,45,15,0,197,471,14.0,44.0,38.0
Len Elmore,C,24,IND,6,0,46,7,17,.412,0,0,0,7,17,.412,.412,4,5,.800,7,8,15,2,0,4,0,11,18,16.0,36.0,46.0
Darrell Elston,SG,24,IND,5,0,40,2,14,.143,0,0,0,2,14,.143,.143,1,2,.500,1,5,6,2,1,0,0,6,5,16.0,36.0,46.0
Alex English*,SF,23,MIL,60,0,648,132,277,.477,0,0,0,132,277,.477,.477,46,60,.767,68,100,168,25,17,18,0,78,310,19.0,30.0,52.0
Keith Erickson,SF,32,PHO,50,0,949,142,294,.483,0,0,0,142,294,.483,.483,37,50,.740,36,108,144,104,30,7,0,122,321,11.0,34.0,48.0
Julius Erving*,SF,26,PHI,82,77,2940,685,1373,.499,0,0,0,685,1373,.499,.499,400,515,.777,192,503,695,306,159,113,0,251,1770,3.0,50.0,32.0
Butch Feher,SG,22,PHO,48,0,487,86,162,.531,0,0,0,86,162,.531,.531,76,99,.768,18,56,74,36,11,7,0,46,248,11.0,34.0,48.0
Eric Fernsten,C,23,CHI,5,0,61,3,15,.200,0,0,0,3,15,.200,.200,8,11,.727,9,7,16,6,1,3,0,9,14,10.0,44.0,38.0
Mike Flynn,SG,23,IND,73,0,1324,250,573,.436,0,0,0,250,573,.436,.436,101,142,.711,76,111,187,179,57,6,0,106,601,16.0,36.0,46.0
Chris Ford,SG,28,DET,82,82,2539,437,918,.476,0,0,0,437,918,.476,.476,131,170,.771,96,174,270,337,179,26,0,192,1005,14.0,44.0,38.0
Don Ford,PF,24,LAL,82,82,1782,262,570,.460,0,0,0,262,570,.460,.460,73,102,.716,105,248,353,133,60,21,0,170,597,5.0,53.0,29.0
Fred Foster,SF,30,BUF,59,0,689,99,247,.401,0,0,0,99,247,.401,.401,30,44,.682,33,43,76,48,16,0,0,92,228,21.0,30.0,52.0
Walt Frazier*,PG,31,NYK,76,67,2687,532,1089,.489,0,0,0,532,1089,.489,.489,259,336,.771,52,241,293,403,132,9,0,194,1323,13.0,40.0,42.0
World B. Free,SG,23,PHI,78,37,2253,467,1022,.457,0,0,0,467,1022,.457,.457,334,464,.720,97,140,237,266,75,25,0,207,1268,3.0,50.0,32.0
Terry Furlow,SG,22,PHI,32,0,174,34,100,.340,0,0,0,34,100,.340,.340,16,18,.889,18,21,39,19,7,2,0,11,84,3.0,50.0,32.0
Mike Gale,SG,26,SAS,82,0,2598,353,754,.468,0,0,0,353,754,.468,.468,137,167,.820,54,219,273,473,191,50,0,224,843,12.0,44.0,38.0
Rowland Garrett,SF,26,TOT,62,0,598,106,239,.444,0,0,0,106,239,.444,.444,41,51,.804,37,75,112,27,21,10,0,80,253,10.121951219512194,27.28048780487805,34.71951219512195
Gus Gerard,SF,23,TOT,65,0,1048,201,454,.443,0,0,0,201,454,.443,.443,78,117,.667,89,128,217,92,44,62,0,164,480,11.085365853658537,29.634146341463413,35.36585365853659
George Gervin*,SF,24,SAS,82,82,2705,726,1335,.544,0,0,0,726,1335,.544,.544,443,532,.833,134,320,454,238,105,104,0,286,1895,12.0,44.0,38.0
John Gianelli,C,26,TOT,76,0,1913,257,579,.444,0,0,0,257,579,.444,.444,90,125,.720,154,321,475,83,35,98,0,171,604,17.609756097560975,30.121951219512194,45.8780487804878
Herm Gilliam,SG,30,POR,80,0,1665,326,744,.438,0,0,0,326,744,.438,.438,92,120,.767,64,137,201,170,76,6,0,168,744,1.0,49.0,33.0
Artis Gilmore*,C,27,CHI,82,82,2877,570,1091,.522,0,0,0,570,1091,.522,.522,387,586,.660,313,757,1070,199,44,203,0,266,1527,10.0,44.0,38.0
Leonard Gray,PF,25,TOT,83,0,1639,258,592,.436,0,0,0,258,592,.436,.436,118,158,.747,84,209,293,124,58,31,0,273,634,10.23170731707317,46.146341463414636,36.853658536585364
Mike Green,C,25,SEA,76,0,1928,290,658,.441,0,0,0,290,658,.441,.441,166,235,.706,191,312,503,120,45,129,0,201,746,15.0,40.0,42.0
Steve Green,SF,23,IND,70,0,918,183,424,.432,0,0,0,183,424,.432,.432,84,113,.743,79,98,177,46,46,12,0,157,450,16.0,36.0,46.0
Kevin Grevey,SF,23,WSB,76,0,1306,224,530,.423,0,0,0,224,530,.423,.423,79,119,.664,73,105,178,68,29,9,0,148,527,8.0,48.0,34.0
Bob Gross,SF,23,POR,82,0,2232,376,711,.529,0,0,0,376,711,.529,.529,183,215,.851,173,221,394,242,107,57,0,255,935,1.0,49.0,33.0
Rudy Hackett,PF,23,TOT,6,0,46,3,10,.300,0,0,0,3,10,.300,.300,8,14,.571,4,9,13,3,0,1,0,8,14,0.975609756097561,2.1951219512195124,2.8048780487804876
Glenn Hansen,SG,24,KCK,41,0,289,67,155,.432,0,0,0,67,155,.432,.432,23,32,.719,28,31,59,25,13,3,0,44,157,9.0,40.0,42.0
John Havlicek*,SF,36,BOS,79,0,2913,580,1283,.452,0,0,0,580,1283,.452,.452,235,288,.816,109,273,382,400,84,18,0,208,1395,17.0,44.0,38.0
Steve Hawes,PF,26,ATL,44,0,945,147,305,.482,0,0,0,147,305,.482,.482,67,88,.761,78,183,261,63,36,24,0,141,361,20.0,31.0,51.0
Elvin Hayes*,PF,31,WSB,82,0,3364,760,1516,.501,0,0,0,760,1516,.501,.501,422,614,.687,289,740,1029,158,87,220,0,312,1942,8.0,48.0,34.0
Spencer Haywood*,PF,27,NYK,31,26,1021,202,449,.450,0,0,0,202,449,.450,.450,109,131,.832,77,203,280,50,14,29,0,72,513,13.0,40.0,42.0
Gar Heard,PF,28,PHO,46,0,1363,173,457,.379,0,0,0,173,457,.379,.379,100,138,.725,120,320,440,89,55,55,0,139,446,11.0,34.0,48.0
Tom Henderson,PG,25,TOT,87,0,2791,371,826,.449,0,0,0,371,826,.449,.449,233,313,.744,43,196,239,598,138,17,0,148,975,15.219512195121952,41.390243902439025,45.609756097560975
Phil Hicks,SF,24,TOT,37,0,262,41,89,.461,0,0,0,41,89,.461,.461,11,13,.846,26,40,66,24,8,0,0,37,93,4.414634146341464,19.975609756097562,17.024390243902438
Armond Hill,PG,23,ATL,81,0,1825,175,439,.399,0,0,0,175,439,.399,.399,139,174,.799,39,104,143,403,85,6,0,245,489,20.0,31.0,51.0
Darnell Hillman,C,27,IND,82,0,2302,359,811,.443,0,0,0,359,811,.443,.443,161,244,.660,228,465,693,166,95,106,0,353,879,16.0,36.0,46.0
Wilbur Holland,SG,25,CHI,79,70,2453,509,1120,.454,0,0,0,509,1120,.454,.454,158,192,.823,78,175,253,253,169,16,0,201,1176,10.0,44.0,38.0
Lionel Hollins,PG,23,POR,76,0,2224,452,1046,.432,0,0,0,452,1046,.432,.432,215,287,.749,52,158,210,313,166,38,0,265,1119,1.0,49.0,33.0
Mo Howard,SG,22,TOT,32,0,345,64,132,.485,0,0,0,64,132,.485,.485,24,35,.686,17,22,39,42,17,8,0,51,152,0.7682926829268293,4.719512195121951,4.280487804878049
Lou Hudson*,SG,32,ATL,58,0,1745,413,905,.456,0,0,0,413,905,.456,.456,142,169,.840,48,81,129,155,67,19,0,160,968,20.0,31.0,51.0
Dan Issel*,C,28,DEN,79,0,2507,660,1282,.515,0,0,0,660,1282,.515,.515,445,558,.797,211,485,696,177,91,29,0,246,1765,2.0,50.0,32.0
Phil Jackson*,PF,31,NYK,76,2,1033,102,232,.440,0,0,0,102,232,.440,.440,51,71,.718,75,154,229,85,33,18,0,184,255,13.0,40.0,42.0
Charles Johnson,PG,27,GSW,79,0,1196,255,583,.437,0,0,0,255,583,.437,.437,49,69,.710,50,91,141,91,77,7,0,134,559,4.0,46.0,36.0
Dennis Johnson*,SG,22,SEA,81,0,1667,285,566,.504,0,0,0,285,566,.504,.504,179,287,.624,161,141,302,123,123,57,0,221,749,15.0,40.0,42.0
George Johnson,C,28,TOT,78,0,1652,198,429,.462,0,0,0,198,429,.462,.462,71,98,.724,204,407,611,104,37,177,0,246,467,11.890243902439025,36.14634146341463,41.853658536585364
John Johnson,SF,29,HOU,79,0,1738,319,696,.458,0,0,0,319,696,.458,.458,94,132,.712,75,191,266,163,47,24,0,199,732,6.0,49.0,33.0
Mickey Johnson,PF,24,CHI,81,81,2847,538,1205,.446,0,0,0,538,1205,.446,.446,324,407,.796,297,531,828,195,103,64,0,315,1400,10.0,44.0,38.0
Ollie Johnson,SF,27,KCK,81,0,1386,218,446,.489,0,0,0,218,446,.489,.489,101,115,.878,68,144,212,105,43,21,0,169,537,9.0,40.0,42.0
Bobby Jones*,PF,25,DEN,82,82,2419,501,879,.570,0,0,0,501,879,.570,.570,236,329,.717,174,504,678,264,186,162,0,238,1238,2.0,50.0,32.0
Caldwell Jones,C,26,PHI,82,57,2023,215,424,.507,0,0,0,215,424,.507,.507,64,116,.552,190,476,666,92,43,200,0,301,494,3.0,50.0,32.0
Dwight Jones,PF,24,HOU,74,0,1239,167,338,.494,0,0,0,167,338,.494,.494,101,126,.802,98,186,284,48,38,19,0,175,435,6.0,49.0,33.0
Jimmy Jones,PG,32,WSB,3,0,33,2,9,.222,0,0,0,2,9,.222,.222,2,4,.500,1,3,4,1,2,0,0,4,6,8.0,48.0,34.0
Robin Jones,C,22,POR,63,0,1065,139,299,.465,0,0,0,139,299,.465,.465,66,109,.606,103,193,296,80,37,38,0,124,344,1.0,49.0,33.0
Wil Jones,PF,29,IND,80,0,2709,438,1019,.430,0,0,0,438,1019,.430,.430,166,223,.744,218,386,604,189,102,80,0,305,1042,16.0,36.0,46.0
George Karl*,PG,25,SAS,29,0,251,25,73,.342,0,0,0,25,73,.342,.342,29,42,.690,4,13,17,46,10,0,0,36,79,12.0,44.0,38.0
Goo Kennedy,SF,27,HOU,32,0,277,31,58,.534,0,0,0,31,58,.534,.534,3,8,.375,14,37,51,6,7,5,0,45,65,6.0,49.0,33.0
Larry Kenon,PF,24,SAS,78,0,2936,706,1435,.492,0,0,0,706,1435,.492,.492,293,356,.823,282,597,879,229,167,60,0,190,1705,12.0,44.0,38.0
Billy Knight,SF,24,IND,78,0,3117,831,1687,.493,0,0,0,831,1687,.493,.493,413,506,.816,223,359,582,260,117,19,0,197,2075,16.0,36.0,46.0
Tom Kropp,SG,23,CHI,53,7,480,73,152,.480,0,0,0,73,152,.480,.480,28,41,.683,21,26,47,39,18,1,0,77,174,10.0,44.0,38.0
Steve Kuberski,SF,29,BOS,76,0,860,131,312,.420,0,0,0,131,312,.420,.420,63,83,.759,76,133,209,39,7,5,0,89,325,17.0,44.0,38.0
Kevin Kunnert,C,25,HOU,81,0,2050,333,685,.486,0,0,0,333,685,.486,.486,93,126,.738,210,459,669,154,35,105,0,361,759,6.0,49.0,33.0
Mitch Kupchak,C,22,WSB,82,0,1513,341,596,.572,0,0,0,341,596,.572,.572,170,246,.691,183,311,494,62,22,34,0,204,852,8.0,48.0,34.0
C.J. Kupec,SF,24,LAL,82,0,908,153,342,.447,0,0,0,153,342,.447,.447,78,101,.772,76,123,199,53,18,4,0,113,384,5.0,53.0,29.0
Sam Lacey,C,28,KCK,82,0,2595,327,774,.422,0,0,0,327,774,.422,.422,215,282,.762,189,545,734,386,119,133,0,292,869,9.0,40.0,42.0
Bo Lamar,PG,25,LAL,71,0,1165,228,561,.406,0,0,0,228,561,.406,.406,46,68,.676,30,62,92,177,59,3,0,73,502,5.0,53.0,29.0
John Lambert,PF,24,CLE,63,0,555,67,157,.427,0,0,0,67,157,.427,.427,25,36,.694,62,92,154,31,16,18,0,75,159,7.0,43.0,39.0
Bob Lanier*,C,28,DET,64,0,2446,678,1269,.534,0,0,0,678,1269,.534,.534,260,318,.818,200,545,745,214,70,126,0,174,1616,14.0,44.0,38.0
John Laskowski,SG,23,CHI,47,5,562,75,212,.354,0,0,0,75,212,.354,.354,27,30,.900,16,47,63,44,32,2,0,22,177,10.0,44.0,38.0
Mo Layton,SG,28,NYK,56,11,765,134,277,.484,0,0,0,134,277,.484,.484,58,73,.795,11,36,47,154,21,6,0,87,326,13.0,40.0,42.0
Ron Lee,PG,24,PHO,82,0,1849,347,786,.441,0,0,0,347,786,.441,.441,142,210,.676,99,200,299,263,156,33,0,276,836,11.0,34.0,48.0
Freddie Lewis,PG,33,IND,32,0,552,81,199,.407,0,0,0,81,199,.407,.407,62,77,.805,17,30,47,56,18,2,0,58,224,16.0,36.0,46.0
Scott Lloyd,C,24,MIL,69,0,1025,153,324,.472,0,0,0,153,324,.472,.472,95,126,.754,81,129,210,33,21,13,0,158,401,19.0,30.0,52.0
Bob Love,SF,34,TOT,59,0,1174,162,428,.379,0,0,0,162,428,.379,.379,109,132,.826,79,119,198,48,22,6,0,120,433,7.560975609756097,23.121951219512194,22.878048780487806
John Lucas,SG,23,HOU,82,0,2531,388,814,.477,0,0,0,388,814,.477,.477,135,171,.789,55,164,219,463,125,19,0,174,911,6.0,49.0,33.0
Maurice Lucas,PF,24,POR,79,0,2863,632,1357,.466,0,0,0,632,1357,.466,.466,335,438,.765,271,628,899,229,83,56,0,294,1599,1.0,49.0,33.0
Moses Malone*,C,21,TOT,82,0,2506,389,810,.480,0,0,0,389,810,.480,.480,305,440,.693,437,635,1072,89,67,181,0,275,1083,6.365853658536585,48.53658536585366,33.46341463414634
Jack Marin,SF,32,CHI,54,7,869,167,359,.465,0,0,0,167,359,.465,.465,31,39,.795,27,64,91,62,13,6,0,85,365,10.0,44.0,38.0
Scott May,SF,22,CHI,72,61,2369,431,955,.451,0,0,0,431,955,.451,.451,188,227,.828,141,296,437,145,78,17,0,185,1050,10.0,44.0,38.0
Clyde Mayes,PF,23,TOT,9,0,52,5,19,.263,0,0,0,5,19,.263,.263,3,7,.429,10,6,16,3,0,4,0,12,13,0.9634146341463414,4.597560975609756,4.402439024390244
Bob McAdoo*,C,25,TOT,72,0,2798,740,1445,.512,0,0,0,740,1445,.512,.512,381,516,.738,199,727,926,205,77,99,0,262,1861,13.365853658536587,32.6829268292683,39.3170731707317
Andre McCarter,PG,23,KCK,59,0,725,119,257,.463,0,0,0,119,257,.463,.463,32,45,.711,16,39,55,99,23,0,0,63,270,9.0,40.0,42.0
Ted McClain,SG,30,DEN,72,0,2002,245,551,.445,0,0,0,245,551,.445,.445,99,133,.744,52,177,229,324,106,13,0,255,589,2.0,50.0,32.0
Paul McCracken,SG,26,CHI,9,0,119,18,47,.383,0,0,0,18,47,.383,.383,11,18,.611,6,10,16,14,6,0,0,17,47,10.0,44.0,38.0
Glenn McDonald,SF,24,MIL,9,0,79,8,34,.235,0,0,0,8,34,.235,.235,3,4,.750,8,4,12,7,4,0,0,11,19,19.0,30.0,52.0
George McGinnis*,PF,26,PHI,79,78,2769,659,1439,.458,0,0,0,659,1439,.458,.458,372,546,.681,324,587,911,302,163,37,0,299,1690,3.0,50.0,32.0
