Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Zaid Abdul-Aziz,C,30,BUF,22,0,195,25,74,.338,0,0,0,25,74,.338,.338,33,43,.767,41,49,90,7,3,9,0,21,83,21.0,30.0,52.0
Kareem Abdul-Jabbar*,C,29,LAL,82,82,3016,888,1533,.579,0,0,0,888,1533,.579,.579,376,536,.701,266,824,1090,319,101,261,0,262,2152,5.0,53.0,29.0
Tom Abernethy,SF,22,LAL,70,0,1378,169,349,.484,0,0,0,169,349,.484,.484,101,134,.754,113,178,291,98,49,10,0,118,439,5.0,53.0,29.0
Alvan Adams,C,22,PHO,72,0,2278,522,1102,.474,0,0,0,522,1102,.474,.474,252,334,.754,180,472,652,322,95,87,0,260,1296,11.0,34.0,48.0
Don Adams,SF,29,BUF,77,0,1710,216,526,.411,0,0,0,216,526,.411,.411,129,173,.746,130,241,371,150,74,16,0,201,561,21.0,30.0,52.0
Lucius Allen,PG,29,LAL,78,0,2482,472,1035,.456,0,0,0,472,1035,.456,.456,195,252,.774,58,193,251,405,116,19,0,183,1139,5.0,53.0,29.0
Jerome Anderson,SG,23,IND,27,0,164,26,59,.441,0,0,0,26,59,.441,.441,14,20,.700,9,3,12,10,6,2,0,26,66,16.0,36.0,46.0
Jim Ard,C,28,BOS,63,0,969,96,254,.378,0,0,0,96,254,.378,.378,49,76,.645,77,219,296,53,18,28,0,128,241,17.0,44.0,38.0
Bird Averitt,SG,24,BUF,75,0,1136,234,619,.378,0,0,0,234,619,.378,.378,121,169,.716,20,58,78,134,30,5,0,127,589,21.0,30.0,52.0
Dennis Awtrey,C,28,PHO,72,0,1760,160,373,.429,0,0,0,160,373,.429,.429,91,126,.722,111,245,356,182,23,31,0,170,411,11.0,34.0,48.0
Mike Bantom,PF-SF,25,TOT,77,0,1909,361,755,.478,0,0,0,361,755,.478,.478,224,310,.723,184,287,471,102,63,49,0,233,946,8.048780487804878,21.463414634146343,22.53658536585366
Tom Barker,C,21,ATL,59,0,1354,182,436,.417,0,0,0,182,436,.417,.417,112,164,.683,111,290,401,60,33,41,0,223,476,20.0,31.0,51.0
Marvin Barnes,PF,24,DET,53,0,989,202,452,.447,0,0,0,202,452,.447,.447,106,156,.679,69,184,253,45,38,33,0,139,510,14.0,44.0,38.0
Jim Barnett,SG,32,PHI,16,0,231,28,64,.438,0,0,0,28,64,.438,.438,10,18,.556,7,7,14,23,4,0,0,28,66,3.0,50.0,32.0
Norton Barnhill,SG,23,SEA,4,0,10,2,6,.333,0,0,0,2,6,.333,.333,0,0,0,2,1,3,1,0,0,0,5,4,15.0,40.0,42.0
Mike Barr,SG,26,KCK,73,0,1224,122,279,.437,0,0,0,122,279,.437,.437,41,57,.719,33,97,130,175,52,18,0,96,285,9.0,40.0,42.0
Rick Barry*,SF,32,GSW,79,0,2904,682,1551,.440,0,0,0,682,1551,.440,.440,359,392,.916,73,349,422,475,172,58,0,194,1723,4.0,46.0,36.0
Butch Beard,PG,29,NYK,70,10,1082,148,293,.505,0,0,0,148,293,.505,.505,75,109,.688,50,113,163,144,57,5,0,137,371,13.0,40.0,42.0
Byron Beck,PF,32,DEN,53,0,480,107,246,.435,0,0,0,107,246,.435,.435,36,44,.818,45,51,96,33,15,1,0,59,250,2.0,50.0,32.0
Mel Bennett,PF,22,IND,67,0,911,101,294,.344,0,0,0,101,294,.344,.344,112,187,.599,110,127,237,70,37,33,0,155,314,16.0,36.0,46.0
Henry Bibby,PG,27,PHI,81,80,2639,302,702,.430,0,0,0,302,702,.430,.430,221,282,.784,86,187,273,356,108,5,0,200,825,3.0,50.0,32.0
Bob Bigelow,SF,23,KCK,29,0,162,35,70,.500,0,0,0,35,70,.500,.500,15,17,.882,8,19,27,8,3,1,0,17,85,9.0,40.0,42.0
Dave Bing*,SG,33,WSB,64,0,1516,271,597,.454,0,0,0,271,597,.454,.454,136,176,.773,54,89,143,275,61,5,0,150,678,8.0,48.0,34.0
Tom Boerwinkle,C,31,CHI,82,0,1070,134,273,.491,0,0,0,134,273,.491,.491,34,63,.540,101,211,312,189,19,19,0,147,302,10.0,44.0,38.0
Ron Boone,SG,30,KCK,82,82,3021,747,1577,.474,0,0,0,747,1577,.474,.474,324,384,.844,128,193,321,338,119,19,0,258,1818,9.0,40.0,42.0
Tom Boswell,PF,23,BOS,70,0,1083,175,340,.515,0,0,0,175,340,.515,.515,96,135,.711,111,195,306,85,27,8,0,237,446,17.0,44.0,38.0
Bill Bradley*,SF,33,NYK,67,5,1027,127,274,.464,0,0,0,127,274,.464,.464,34,42,.810,27,76,103,128,25,8,0,122,288,13.0,40.0,42.0
Jim Brewer,PF,25,CLE,81,0,2672,296,657,.451,0,0,0,296,657,.451,.451,97,178,.545,275,487,762,195,94,82,0,214,689,7.0,43.0,39.0
Junior Bridgeman,SF,23,MIL,82,0,2410,491,1094,.449,0,0,0,491,1094,.449,.449,197,228,.864,129,287,416,205,82,26,0,221,1179,19.0,30.0,52.0
Allan Bristow,SF,25,SAS,82,0,2017,365,747,.489,0,0,0,365,747,.489,.489,206,258,.798,119,229,348,240,89,2,0,195,936,12.0,44.0,38.0
Gary Brokaw,SG,23,TOT,80,0,1487,242,564,.429,0,0,0,242,564,.429,.429,163,219,.744,22,101,123,228,36,36,0,164,647,12.829268292682926,35.451219512195124,44.548780487804876
