Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Zaid Abdul-Aziz,PF-C,31,TOT,16,0,158,23,60,.383,0,0,0,23,60,.383,.383,17,23,.739,19,31,50,10,3,3,14,29,63,4.024390243902439,5.560975609756098,10.439024390243903
Kareem Abdul-Jabbar*,C,30,LAL,62,0,2265,663,1205,.550,0,0,0,663,1205,.550,.550,274,350,.783,186,615,801,269,103,185,208,182,1600,5.0,45.0,37.0
Tom Abernethy,SF,23,LAL,73,0,1317,201,404,.498,0,0,0,201,404,.498,.498,91,111,.820,105,160,265,101,55,22,50,122,493,5.0,45.0,37.0
Alvan Adams,C,23,PHO,70,0,1914,434,895,.485,0,0,0,434,895,.485,.485,214,293,.730,158,407,565,225,86,63,234,242,1082,3.0,49.0,33.0
Lucius Allen,PG,30,KCK,77,0,2147,373,846,.441,0,0,0,373,846,.441,.441,174,220,.791,66,163,229,360,93,28,217,180,920,16.0,31.0,51.0
Jim Ard,C,29,TOT,15,0,125,8,17,.471,0,0,0,8,17,.471,.471,3,5,.600,9,27,36,8,0,0,14,19,19,2.609756097560976,7.219512195121952,7.780487804878049
Tate Armstrong,SG,22,CHI,66,0,716,131,280,.468,0,0,0,131,280,.468,.468,22,27,.815,24,44,68,74,23,0,58,42,284,14.0,40.0,42.0
Bird Averitt,SG,25,TOT,55,0,1085,198,484,.409,0,0,0,198,484,.409,.409,100,141,.709,17,66,83,196,39,9,143,123,496,13.926829268292684,17.34146341463415,37.65853658536585
Dennis Awtrey,C,29,PHO,81,0,1623,112,264,.424,0,0,0,112,264,.424,.424,69,109,.633,97,205,302,163,19,25,127,153,293,3.0,49.0,33.0
Greg Ballard,SF,23,WSB,76,0,936,142,334,.425,0,0,0,142,334,.425,.425,88,114,.772,102,164,266,62,30,13,64,90,372,7.0,44.0,38.0
