Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Randy Allen,24,7,43,8,19,0,1,1,2,3,7,0,1,1,2,7,17,.421,.000,.500
Michael Anderson,22,36,730,73,175,1,7,57,82,44,89,153,44,3,84,64,204,.417,.143,.695
Willie Anderson,22,81,2738,640,1285,4,21,224,289,152,417,372,150,62,261,295,1508,.498,.190,.775
Ricky Berry,24,64,1406,255,567,65,160,131,166,57,197,80,37,22,82,197,706,.450,.406,.789
Anthony Bowie,25,18,438,72,144,1,5,10,15,25,56,29,18,4,22,43,155,.500,.200,.667
Scott Brooks,23,82,1372,156,371,55,153,61,69,19,94,306,69,3,65,116,428,.420,.359,.884
Mark Bryant,23,56,803,120,247,0,0,40,69,65,179,33,20,7,41,144,280,.486,0.0,.580
Greg Butler,22,33,140,20,48,0,3,16,20,9,28,2,1,2,17,28,56,.417,.000,.800
Mike Champion,24,2,4,0,3,0,1,0,0,0,0,0,0,0,1,2,0,.000,.000,0.0
Rex Chapman,21,75,2219,526,1271,60,191,155,195,74,187,176,70,25,113,167,1267,.414,.314,.795
Derrick Chievous,21,81,1539,277,634,5,24,191,244,114,256,77,48,11,136,161,750,.437,.208,.783
Mark Davis,25,33,258,49,102,1,10,28,34,16,37,14,13,5,12,39,127,.480,.100,.824
Vinny Del Negro,22,80,1556,239,503,6,20,85,100,48,171,206,65,14,77,160,569,.475,.300,.850
Fennis Dembo,23,31,74,14,42,0,4,8,10,8,23,5,1,0,7,15,36,.333,.000,.800
Ledell Eackles,22,80,1459,318,732,9,40,272,346,100,180,123,41,5,128,156,917,.434,.225,.786
Kevin Edwards,23,79,2349,470,1105,10,37,144,193,85,262,349,139,27,246,154,1094,.425,.270,.746
Wayne Engelstad,23,11,50,11,29,0,0,6,10,5,16,7,1,0,3,12,28,.379,0.0,.600
Rolando Ferreira,24,12,34,1,18,0,0,7,8,4,13,1,0,1,6,7,9,.056,0.0,.875
Duane Ferrell,23,41,231,35,83,0,0,30,44,19,41,10,7,6,12,33,100,.422,0.0,.682
Anthony Frederick,24,46,313,63,125,2,5,24,34,26,52,20,14,6,34,59,152,.504,.400,.706
Corey Gaines,23,32,337,27,64,1,5,12,16,3,19,67,15,1,20,27,67,.422,.200,.750
Tom Garrick,22,71,1499,176,359,0,13,102,127,37,156,243,78,9,116,141,454,.490,.000,.803
Ben Gillery,23,24,84,6,19,0,0,13,23,7,23,2,2,4,5,29,25,.316,0.0,.565
Orlando Graham,23,7,22,3,10,0,0,2,4,8,11,0,0,0,2,6,8,.300,0.0,.500
Ron Grandison,24,72,528,59,142,0,10,59,80,47,92,42,18,3,36,71,177,.415,.000,.738
Gary Grant,23,71,1924,361,830,5,22,119,162,80,238,506,144,9,258,170,846,.435,.227,.735
Harvey Grant,23,71,1193,181,390,0,1,34,57,75,163,79,35,29,28,147,396,.464,.000,.596
Sylvester Gray,21,55,1220,167,398,1,4,105,156,117,286,117,36,25,102,144,440,.420,.250,.673
Jeff Grayer,23,11,200,32,73,0,2,17,20,14,35,22,10,1,19,15,81,.438,.000,.850
Jack Haley,25,51,289,37,78,0,0,36,46,21,71,10,11,0,26,56,110,.474,0.0,.783
Hersey Hawkins,22,79,2577,442,971,71,166,241,290,51,225,239,120,37,158,184,1196,.455,.428,.831
Tito Horford,23,25,112,15,46,0,0,12,19,9,22,3,1,7,15,14,42,.326,0.0,.632
Avery Johnson,23,43,291,29,83,1,9,9,16,11,24,73,21,3,18,34,68,.349,.111,.563
Bill Jones,22,37,307,50,102,0,1,29,43,20,47,20,17,6,18,38,129,.490,.000,.674
Shelton Jones,22,51,682,93,209,0,1,58,80,32,113,42,21,15,47,58,244,.445,.000,.725
Steve Kerr,23,26,157,20,46,8,17,6,9,3,17,24,7,0,6,12,54,.435,.471,.667
Randolph Keys,22,42,331,74,172,1,10,20,29,23,56,19,12,6,21,51,169,.430,.100,.690
Jerome Lane,22,54,550,109,256,0,7,43,112,87,200,60,20,4,50,105,261,.426,.000,.384
Andrew Lang,22,62,526,60,117,0,0,39,60,54,147,9,17,48,28,112,159,.513,0.0,.650
Eric Leckner,22,75,779,120,220,0,0,79,113,48,199,16,8,22,69,174,319,.545,0.0,.699
Jim Les,25,82,781,40,133,1,14,57,73,23,87,215,27,5,88,88,138,.301,.071,.781
Rob Lock,22,20,110,9,32,0,0,12,15,14,32,4,3,4,13,15,30,.281,0.0,.800
Grant Long,22,82,2435,336,692,0,5,304,406,240,546,149,122,48,201,337,976,.486,.000,.749
Dan Majerle,23,54,1354,181,432,27,82,78,127,62,209,130,63,14,48,139,467,.419,.329,.614
Danny Manning,22,26,950,177,358,1,5,79,103,70,171,81,44,25,93,89,434,.494,.200,.767
Vernon Maxwell,23,79,2065,357,827,32,129,181,243,49,202,301,86,8,178,136,927,.432,.248,.745
Todd Mitchell,22,24,353,43,97,0,0,37,64,18,50,21,16,2,33,51,123,.443,0.0,.578
Chris Morris,23,76,2096,414,905,64,175,182,254,188,397,119,102,60,190,250,1074,.457,.366,.717
Richard Morton,22,2,11,3,4,0,0,0,0,0,0,1,0,0,1,2,6,.750,0.0,0.0
Craig Neal,24,53,500,45,123,10,34,14,23,7,29,118,24,4,54,70,114,.366,.294,.609
José Ortiz,25,51,327,55,125,0,1,31,52,30,58,11,8,7,36,40,141,.440,.000,.596
Will Perdue,23,30,190,29,72,0,0,8,14,18,45,11,4,6,15,38,66,.403,0.0,.571
Tim Perry,23,62,614,108,201,1,4,40,65,61,132,18,19,32,37,47,257,.537,.250,.615
Dave Popson,24,17,106,16,40,0,0,2,4,12,27,8,1,3,10,17,34,.400,0.0,.500
Dominic Pressley,24,13,124,9,31,0,2,5,9,3,15,26,4,0,11,11,23,.290,.000,.556
Mitch Richmond*,23,79,2717,649,1386,33,90,410,506,158,468,334,82,13,269,223,1741,.468,.367,.810
Ramón Rivas,22,28,91,12,31,0,1,16,25,9,24,3,4,1,9,21,40,.387,.000,.640
David Rivers,24,47,440,49,122,1,6,35,42,13,43,106,23,9,61,50,134,.402,.167,.833
Rob Rose,24,2,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.0,0.0
Jim Rowinski,28,9,15,1,4,0,0,5,6,1,5,0,0,0,0,0,7,.250,0.0,.833
Rony Seikaly,23,78,1962,333,744,1,4,181,354,204,549,55,46,96,200,258,848,.448,.250,.511
Charles Shackleford,22,60,484,83,168,0,1,21,42,50,153,21,15,18,27,71,187,.494,.000,.500
John Shasky,24,65,944,121,248,0,2,115,167,96,232,22,14,13,46,94,357,.488,.000,.689
Brian Shaw,22,82,2301,297,686,0,13,109,132,119,376,472,78,27,188,211,703,.433,.000,.826
Keith Smart,24,2,12,0,2,0,1,2,2,0,1,2,0,0,2,0,2,.000,.000,1.000
Charles Smith,23,71,2161,435,878,0,3,285,393,173,465,103,68,89,146,273,1155,.495,.000,.725
Rik Smits,22,82,2041,386,746,0,1,184,255,185,500,70,37,151,130,310,956,.517,.000,.722
John Starks,23,36,316,51,125,10,26,34,52,15,41,27,23,3,39,36,146,.408,.385,.654
Everette Stephens,22,35,209,23,72,2,10,17,22,11,23,37,9,4,29,22,65,.319,.200,.773
Rod Strickland,22,81,1358,265,567,19,59,172,231,51,160,319,98,3,148,142,721,.467,.322,.745
Barry Sumpter,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0
Anthony Taylor,23,21,368,60,151,0,2,24,32,11,34,43,22,5,20,37,144,.397,.000,.750
Tom Tolbert,23,14,117,17,37,0,3,6,12,7,21,7,2,4,2,20,40,.459,.000,.500
Kelvin Upshaw,26,32,617,99,212,3,15,18,26,10,49,117,26,3,55,80,219,.467,.200,.692
Morlon Wiley,22,51,408,46,114,6,24,13,16,13,47,76,25,6,34,61,111,.404,.250,.813
Micheal Williams,22,49,358,47,129,2,9,31,47,9,27,70,13,3,42,44,127,.364,.222,.660
David Wood,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
