Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Mark Aguirre,22,51,1468,381,820,25,71,168,247,89,249,164,37,22,135,152,955,.465,.352,.680
Danny Ainge,22,53,564,79,221,5,17,56,65,25,56,87,37,3,53,86,219,.357,.294,.862
Carl Bailey,23,1,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1.000,0.0,0.0
Gene Banks,22,80,1700,311,652,0,8,145,212,157,411,147,55,17,106,199,767,.477,.000,.684
Rolando Blackman,22,82,1979,439,855,1,4,212,276,97,254,105,46,30,113,122,1091,.513,.250,.768
Ray Blume,23,49,546,102,222,4,18,18,28,14,41,68,23,2,54,57,226,.459,.222,.643
Alex Bradley,22,39,331,54,103,0,1,29,48,31,65,11,12,5,28,37,137,.524,.000,.604
Charles Bradley,22,51,339,55,122,0,1,42,62,12,38,22,14,6,37,61,152,.451,.000,.677
Brad Branson,23,10,176,21,52,0,0,11,12,14,33,6,5,4,13,17,53,.404,0.0,.917
Jim Brogan,23,63,1027,165,364,9,32,61,84,61,120,156,49,13,83,123,400,.453,.281,.726
Roger Burkman,23,6,30,0,4,0,1,5,6,2,6,5,6,2,3,6,5,.000,.000,.833
David Burns,23,9,87,7,16,0,0,9,15,1,5,15,3,0,13,17,23,.438,0.0,.600
Bobby Cattage,23,49,337,60,135,0,2,30,41,22,73,7,7,0,18,58,150,.444,.000,.732
Tom Chambers,22,81,2682,554,1056,0,2,284,458,211,561,146,58,46,220,341,1392,.525,.000,.620
Joe Cooper,24,1,11,1,2,0,0,0,0,1,2,0,0,0,1,2,2,.500,0.0,0.0
Charles Davis,23,54,575,88,184,0,2,30,37,54,133,31,10,13,43,89,206,.478,.000,.811
Kenny Dennard,23,30,607,62,121,0,0,26,40,47,133,42,35,8,35,81,150,.512,0.0,.650
Mickey Dillard,23,33,221,29,79,0,4,15,23,6,15,34,8,2,17,40,73,.367,.000,.652
John Douglas,25,64,1031,181,389,18,59,67,102,27,90,146,48,9,92,147,447,.465,.305,.657
Craig Dykema,22,32,103,17,37,2,4,7,9,3,12,15,2,0,7,19,43,.459,.500,.778
Franklin Edwards,22,42,291,65,150,0,9,20,27,10,27,45,16,5,24,37,150,.433,.000,.741
Pétur Guðmundsson,23,68,845,83,166,1,1,52,76,51,186,59,13,30,73,163,219,.500,1.000,.684
Glenn Hagan,26,4,25,3,7,0,0,1,1,2,4,8,3,0,1,7,7,.429,0.0,1.000
Steve Hayes,26,35,487,54,111,0,0,32,53,39,117,28,4,20,19,71,140,.486,0.0,.604
Tracy Jackson,22,49,478,79,172,0,0,38,49,35,63,27,14,3,24,48,196,.459,0.0,.776
Clay Johnson,25,7,65,11,20,0,0,3,6,8,12,7,3,3,7,13,25,.550,0.0,.500
