Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Shareef Abdur-Rahim,20,80,2802,550,1214,7,27,387,519,216,555,175,79,79,225,199,1494,.453,.259,.746
Ray Allen*,21,82,2532,390,908,117,298,205,249,97,326,210,75,10,149,218,1102,.430,.393,.823
Shandon Anderson,23,65,1066,147,318,24,47,68,99,52,179,49,27,8,73,113,386,.462,.511,.687
Dexter Boney,26,8,48,6,19,1,6,6,8,3,6,0,2,1,1,3,19,.316,.167,.750
Bruce Bowen,25,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0
Mark Bradtke,28,36,251,25,58,0,0,9,13,26,68,7,5,5,9,34,59,.431,0.0,.692
Marcus Brown,22,21,184,28,70,13,32,13,19,4,15,20,8,2,13,26,82,.400,.406,.684
Kobe Bryant*,18,71,1103,176,422,51,136,136,166,47,132,91,49,23,112,102,539,.417,.375,.819
Marcus Camby,22,63,1897,375,778,2,14,183,264,131,394,97,66,130,134,214,935,.482,.143,.693
Jimmy Carruth,27,4,21,2,3,0,0,1,1,0,4,0,0,2,1,4,5,.667,0.0,1.000
Erick Dampier,21,72,1052,131,336,1,1,107,168,96,294,43,19,73,84,153,370,.390,1.000,.637
Ben Davis,24,20,98,10,26,0,0,9,20,12,27,0,4,1,3,16,29,.385,0.0,.450
Emanual Davis,28,13,230,24,54,12,27,5,8,2,22,26,9,2,17,20,65,.444,.444,.625
Tony Delk,23,61,867,119,256,52,112,42,51,31,99,99,36,6,68,71,332,.465,.464,.824
Nate Driggers,23,15,132,13,43,0,9,10,14,12,22,6,3,2,6,10,36,.302,.000,.714
Brian Evans,23,14,59,8,22,4,8,0,0,1,8,7,1,2,2,6,20,.364,.500,0.0
Jamie Feick,22,41,624,56,157,5,14,34,67,82,214,26,16,14,31,78,151,.357,.357,.507
Derek Fisher,22,80,921,104,262,22,73,79,120,25,97,119,41,5,71,87,309,.397,.301,.658
Todd Fuller,22,75,949,114,266,0,0,76,110,108,249,24,10,20,52,146,304,.429,0.0,.691
Dean Garrett,30,68,1665,223,389,0,0,96,138,149,495,38,40,95,34,158,542,.573,0.0,.696
Reggie Geary,23,39,246,22,58,8,21,5,11,4,15,36,13,2,15,36,57,.379,.381,.455
Devin Gray,24,6,49,8,26,0,0,2,5,6,14,2,4,0,5,11,18,.308,0.0,.400
Evric Gray,27,5,42,4,15,1,4,4,4,1,3,2,1,0,3,5,13,.267,.250,1.000
Darvin Ham,23,36,318,33,62,0,0,17,35,29,56,14,9,8,22,57,83,.532,0.0,.486
Steve Hamer,23,35,268,30,57,0,2,16,29,17,60,7,2,4,13,39,76,.526,.000,.552
Othella Harrington,23,57,860,112,204,0,3,49,81,75,198,18,12,22,57,112,273,.549,.000,.605
Michael Hawkins,24,29,326,29,68,10,31,12,15,9,31,64,16,1,28,40,80,.426,.323,.800
