Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tom Abernethy,22,70,1378,169,349,0.0,0.0,101,134,113,291,98,49,10,0.0,118,439,.484,0.0,.754
Bird Averitt,24,75,1136,234,619,0.0,0.0,121,169,20,78,134,30,5,0.0,127,589,.378,0.0,.716
Tom Barker,21,59,1354,182,436,0.0,0.0,112,164,111,401,60,33,41,0.0,223,476,.417,0.0,.683
Marvin Barnes,24,53,989,202,452,0.0,0.0,106,156,69,253,45,38,33,0.0,139,510,.447,0.0,.679
Norton Barnhill,23,4,10,2,6,0.0,0.0,0,0,2,3,1,0,0,0.0,5,4,.333,0.0,0.0
Mike Barr,26,73,1224,122,279,0.0,0.0,41,57,33,130,175,52,18,0.0,96,285,.437,0.0,.719
Tim Bassett,25,76,2442,293,739,0.0,0.0,101,177,175,641,109,95,53,0.0,246,687,.396,0.0,.571
Byron Beck,32,53,480,107,246,0.0,0.0,36,44,45,96,33,15,1,0.0,59,250,.435,0.0,.818
Mel Bennett,22,67,911,101,294,0.0,0.0,112,187,110,237,70,37,33,0.0,155,314,.344,0.0,.599
Ron Boone,30,82,3021,747,1577,0.0,0.0,324,384,128,321,338,119,19,0.0,258,1818,.474,0.0,.844
Quinn Buckner,22,79,2095,299,689,0.0,0.0,83,154,91,264,372,192,21,0.0,291,681,.434,0.0,.539
Ticky Burden,23,61,608,148,352,0.0,0.0,51,85,26,66,62,47,1,0.0,88,347,.420,0.0,.600
Don Buse,26,81,2947,266,639,0.0,0.0,114,145,66,270,685,281,16,0.0,129,646,.416,0.0,.786
Mack Calvin,29,76,1438,220,544,0.0,0.0,287,338,36,96,240,61,3,0.0,127,727,.404,0.0,.849
M.L. Carr,26,82,2643,443,931,0.0,0.0,205,279,211,631,181,165,58,0.0,287,1091,.476,0.0,.735
Cornelius Cash,24,6,49,9,23,0.0,0.0,3,6,8,16,1,2,1,0.0,8,21,.391,0.0,.500
Norm Cook,21,25,138,27,72,0.0,0.0,9,17,10,27,5,10,3,0.0,27,63,.375,0.0,.529
Louie Dampier*,32,80,1634,233,507,0.0,0.0,64,86,22,76,234,49,15,0.0,93,530,.460,0.0,.744
Mel Daniels*,32,11,126,13,35,0.0,0.0,13,23,10,34,6,3,11,0.0,29,39,.371,0.0,.565
Adrian Dantley*,21,77,2816,544,1046,0.0,0.0,476,582,251,587,144,91,15,0.0,215,1564,.520,0.0,.818
Johnny Davis,21,79,1451,234,531,0.0,0.0,166,209,62,126,148,41,11,0.0,128,634,.441,0.0,.794
Ron Davis,22,7,67,8,35,0.0,0.0,4,13,2,7,2,7,0,0.0,9,20,.229,0.0,.308
Randy Denton,27,45,700,103,256,0.0,0.0,33,47,81,218,33,14,16,0.0,100,239,.402,0.0,.702
Coby Dietrick,28,82,1772,285,620,0.0,0.0,119,166,111,372,148,88,57,0.0,267,689,.460,0.0,.717
Leon Douglas,22,82,1626,245,512,0.0,0.0,127,229,181,526,68,44,81,0.0,294,617,.479,0.0,.555
Mike Dunleavy,22,32,359,60,145,0.0,0.0,34,45,10,34,56,13,2,0.0,64,154,.414,0.0,.756
Jim Eakins,30,82,1338,151,336,0.0,0.0,188,222,112,361,119,29,49,0.0,195,490,.449,0.0,.847
Len Elmore,24,6,46,7,17,0.0,0.0,4,5,7,15,2,0,4,0.0,11,18,.412,0.0,.800
Darrell Elston,24,5,40,2,14,0.0,0.0,1,2,1,6,2,1,0,0.0,6,5,.143,0.0,.500
Alex English*,23,60,648,132,277,0.0,0.0,46,60,68,168,25,17,18,0.0,78,310,.477,0.0,.767
Julius Erving*,26,82,2940,685,1373,0.0,0.0,400,515,192,695,306,159,113,0.0,251,1770,.499,0.0,.777
Butch Feher,22,48,487,86,162,0.0,0.0,76,99,18,74,36,11,7,0.0,46,248,.531,0.0,.768
Mike Flynn,23,73,1324,250,573,0.0,0.0,101,142,76,187,179,57,6,0.0,106,601,.436,0.0,.711
Terry Furlow,22,32,174,34,100,0.0,0.0,16,18,18,39,19,7,2,0.0,11,84,.340,0.0,.889
Mike Gale,26,82,2598,353,754,0.0,0.0,137,167,54,273,473,191,50,0.0,224,843,.468,0.0,.820
Gus Gerard,23,65,1048,201,454,0.0,0.0,78,117,89,217,92,44,62,0.0,164,480,.443,0.0,.667
