Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Dwight Anderson,22,5,33,7,14,0,0,7,10,0,2,3,1,0,5,7,21,.500,0.0,.700
J.J. Anderson,22,65,1202,190,379,0,4,100,175,119,294,67,63,21,79,153,480,.501,.000,.571
Richard Anderson,22,78,1274,174,431,7,19,48,69,111,272,120,57,26,93,170,403,.404,.368,.696
John Bagley,22,68,990,161,373,0,14,64,84,17,96,167,54,5,118,74,386,.432,.000,.762
Dave Batton,26,54,558,85,191,0,3,8,17,45,119,29,15,13,28,56,178,.445,.000,.471
Lester Conner,23,75,1416,145,303,0,4,79,113,69,221,253,116,7,99,141,369,.479,.000,.699
Chubby Cox,27,7,78,13,37,0,2,3,6,7,10,6,0,1,9,16,29,.351,.000,.500
Terry Cummings,21,70,2531,684,1309,0,1,292,412,303,744,177,129,62,204,294,1660,.523,.000,.709
Quintin Dailey,22,76,2081,470,1008,5,25,206,282,87,260,280,72,10,205,248,1151,.466,.200,.730
Mike Davis,26,8,28,4,10,0,0,6,10,3,10,0,0,4,0,4,14,.400,0.0,.600
Mark Eaton,26,81,1528,146,353,0,1,59,90,86,462,112,24,275,140,257,351,.414,.000,.656
Jerry Eaves,23,82,1588,280,575,1,8,200,247,34,122,210,51,3,152,116,761,.487,.125,.810
Keith Edmonson,22,32,309,48,139,0,2,16,27,20,39,22,11,6,20,41,112,.345,.000,.593
Chris Engler,23,54,369,38,94,0,0,5,16,43,104,11,7,17,24,95,81,.404,0.0,.313
Bruce Flowers,25,53,699,110,206,0,2,41,53,71,180,47,19,12,43,99,261,.534,.000,.774
Sleepy Floyd,22,76,1248,226,527,10,25,150,180,56,137,138,58,17,106,134,612,.429,.400,.833
Bill Garnett,22,75,1411,170,319,0,3,129,174,141,406,103,48,70,81,245,469,.533,.000,.741
John Greig,21,9,26,7,13,0,0,5,6,2,6,0,0,1,2,4,19,.538,0.0,.833
Scott Hastings,22,31,140,13,38,0,3,11,20,15,41,3,6,1,9,34,37,.342,.000,.550
Rod Higgins,23,82,2196,313,698,13,41,209,264,159,366,175,66,65,127,248,848,.448,.317,.792
Craig Hodges,22,76,2022,318,704,20,90,94,130,53,122,275,82,4,161,192,750,.452,.222,.723
Marc Iavaroni,26,80,1612,163,353,0,2,78,113,117,329,83,32,44,133,238,404,.462,.000,.690
Jim Johnstone,22,23,191,11,30,0,0,9,20,15,46,11,3,7,15,33,31,.367,0.0,.450
Hutch Jones,23,9,85,17,37,0,0,6,6,10,17,4,3,0,6,14,40,.459,0.0,1.000
Clark Kellogg,21,81,2761,680,1420,4,18,261,352,340,860,223,141,43,217,298,1625,.479,.222,.741
Joe Kopicki,22,17,201,23,51,0,1,21,25,18,62,9,9,2,8,21,67,.451,.000,.840
Fat Lever,22,81,2020,256,594,5,15,116,159,85,225,426,153,15,137,179,633,.431,.333,.730
Cliff Levingston,22,62,879,131,270,0,1,84,147,104,232,52,23,36,73,125,346,.485,.000,.571
Steve Lingenfelter,24,7,53,4,6,0,0,0,4,1,12,4,1,3,5,16,8,.667,0.0,.000
Dave Magley,23,14,56,4,16,0,1,4,8,2,10,2,2,0,2,5,12,.250,.000,.500
Mark McNamara,23,36,182,29,64,0,0,20,45,34,76,7,3,3,36,42,78,.453,0.0,.444
Guy Morgan,22,8,46,7,24,0,0,1,4,6,17,7,2,0,2,7,15,.292,0.0,.250
Ed Nealy,22,82,1643,147,247,0,0,70,114,170,485,62,68,12,51,247,364,.595,0.0,.614
Chuck Nevitt,23,6,64,11,15,0,0,1,4,6,17,0,1,12,7,14,23,.733,0.0,.250
Audie Norris,22,30,311,26,63,0,0,14,30,25,69,24,13,2,33,61,66,.413,0.0,.467
Eddie Phillips,21,48,416,56,138,0,2,40,59,27,77,29,14,8,50,58,152,.406,.000,.678
Ricky Pierce,23,39,265,33,88,1,7,18,32,15,35,14,8,4,18,42,85,.375,.143,.563
Charles Pittman,24,28,170,19,40,0,1,25,37,13,31,7,2,7,22,41,63,.475,.000,.676
Paul Pressey,24,79,1528,213,466,1,9,105,176,83,281,207,99,47,162,174,532,.457,.111,.597
Oliver Robinson,22,35,147,35,97,1,11,30,45,6,17,21,4,2,13,18,101,.361,.091,.667
Walker Russell,22,68,757,67,184,2,18,47,58,19,73,131,16,1,92,71,183,.364,.111,.810
Mike Sanders,22,26,393,76,157,0,2,31,43,31,94,19,18,6,28,57,183,.484,.000,.721
Russ Schoene,22,77,1222,207,435,1,4,61,83,96,255,59,25,23,81,192,476,.476,.250,.735
Ed Sherod,23,64,1624,171,421,1,13,52,80,43,149,311,96,14,104,112,395,.406,.077,.650
Jose Slaughter,22,63,515,89,238,9,41,38,59,34,68,52,36,7,42,93,225,.374,.220,.644
Derek Smith,21,27,154,21,51,0,2,17,25,10,38,2,0,4,11,40,59,.412,.000,.680
Brook Steppe,23,62,606,84,176,1,7,76,100,25,73,68,26,3,55,92,245,.477,.143,.760
