Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Bill Robinzine,PF,26,KCK,82,0,2179,459,837,.548,0,0,0,459,837,.548,.548,180,246,.732,218,420,638,104,105,15,179,367,1098,6.0,48.0,34.0
Dave Robisch,C,29,LAL,80,0,1219,150,336,.446,0,0,0,150,336,.446,.446,86,115,.748,82,203,285,97,20,25,53,108,386,4.0,47.0,35.0
Tree Rollins,C,23,ATL,81,0,1900,297,555,.535,0,0,0,297,555,.535,.535,89,141,.631,219,369,588,49,46,254,87,328,683,8.0,46.0,36.0
Dan Roundfield,PF,25,ATL,80,0,2539,462,916,.504,0,0,0,462,916,.504,.504,300,420,.714,326,539,865,131,87,176,209,358,1224,8.0,46.0,36.0
Curtis Rowe,PF,29,BOS,53,0,1222,151,346,.436,0,0,0,151,346,.436,.436,52,75,.693,79,163,242,69,15,13,88,105,354,21.0,29.0,53.0
John Rudd,SF,23,NYK,58,3,723,59,133,.444,0,0,0,59,133,.444,.444,66,93,.710,69,98,167,35,17,8,59,95,184,17.0,31.0,51.0
Campy Russell,SF,27,CLE,74,0,2859,603,1268,.476,0,0,0,603,1268,.476,.476,417,523,.797,147,356,503,348,98,25,259,222,1623,18.0,30.0,52.0
Frankie Sanders,SF,22,TOT,46,0,479,105,246,.427,0,0,0,105,246,.427,.427,54,68,.794,35,75,110,52,21,6,55,69,264,6.6829268292682915,21.365853658536587,24.634146341463413
Alvin Scott,SF,23,PHO,81,0,1737,212,396,.535,0,0,0,212,396,.535,.535,120,168,.714,104,256,360,126,80,62,99,139,544,3.0,50.0,32.0
Charlie Scott*,PG,30,DEN,79,0,2617,393,854,.460,0,0,0,393,854,.460,.460,161,215,.749,54,156,210,428,78,30,255,284,947,10.0,47.0,35.0
Lonnie Shelton,PF,23,SEA,76,0,2158,446,859,.519,0,0,0,446,859,.519,.519,131,189,.693,182,286,468,110,76,75,188,266,1023,5.0,52.0,30.0
Steve Sheppard,SF,24,TOT,42,0,279,36,76,.474,0,0,0,36,76,.474,.474,20,34,.588,25,22,47,19,8,1,25,26,92,9.26829268292683,15.634146341463415,26.365853658536587
Purvis Short,PF,21,GSW,75,0,1703,369,771,.479,0,0,0,369,771,.479,.479,57,85,.671,127,220,347,97,54,12,111,233,795,13.0,38.0,44.0
Jack Sikma*,C,23,SEA,82,82,2958,476,1034,.460,0,0,0,476,1034,.460,.460,329,404,.814,232,781,1013,261,82,67,253,295,1281,5.0,52.0,30.0
James Silas,PG,29,SAS,79,0,2171,466,922,.505,0,0,0,466,922,.505,.505,334,402,.831,35,148,183,273,76,20,199,215,1266,2.0,48.0,34.0
