Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Alexis Ajinça,20,31,182,25,69,0,2,20,28,9,30,3,7,6,12,34,70,.362,.000,.714
Joe Alexander,22,59,716,102,245,16,46,58,83,44,115,42,15,29,52,107,278,.416,.348,.699
Ryan Anderson,20,66,1312,160,407,69,189,98,116,104,311,52,44,20,63,157,487,.393,.365,.845
Darrell Arthur,20,76,1464,191,436,0,2,40,60,108,346,43,52,52,47,206,422,.438,.000,.667
D.J. Augustin,21,72,1908,267,621,108,246,208,233,17,133,250,42,2,119,140,850,.430,.439,.893
Nicolas Batum,20,79,1454,161,361,62,168,42,52,84,220,74,50,40,50,139,426,.446,.369,.808
Jerryd Bayless,20,53,655,69,189,7,27,83,103,8,57,78,16,2,56,81,228,.365,.259,.806
Michael Beasley,20,81,2009,452,957,33,81,186,241,110,439,83,41,37,121,184,1123,.472,.407,.772
Bobby Brown,24,68,931,141,360,45,130,34,43,14,52,117,21,3,63,95,361,.392,.346,.791
Mario Chalmers,22,82,2626,278,662,114,311,148,193,37,228,403,160,8,165,240,818,.420,.367,.767
Joe Crawford,22,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,.300,.250,1.000
Joey Dorsey,25,3,6,1,2,0,0,0,0,0,1,1,0,0,0,0,2,.500,0.0,0.0
Chris Douglas-Roberts,22,44,585,81,176,3,12,51,62,14,50,52,12,7,31,34,216,.460,.250,.823
Goran Dragić,22,55,728,88,224,20,54,50,65,33,103,111,29,3,73,87,246,.393,.370,.769
Rudy Fernández,23,78,1993,268,630,159,398,120,143,47,207,159,69,12,86,111,815,.425,.399,.839
Danilo Gallinari,20,28,412,56,125,32,72,26,27,13,55,15,14,4,15,48,170,.448,.444,.963
Marc Gasol,24,82,2521,350,661,0,1,275,375,201,605,143,63,90,164,265,975,.530,.000,.733
J.R. Giddens,23,6,8,2,3,0,0,0,0,2,3,0,1,0,1,1,4,.667,0.0,0.0
Eric Gordon,20,78,2677,411,901,131,337,299,350,45,201,215,78,35,164,172,1252,.456,.389,.854
Donté Greene,20,55,725,77,236,26,100,29,34,19,86,30,16,14,37,68,209,.326,.260,.853
Hamed Haddadi,23,19,120,15,31,0,0,18,30,16,47,8,1,12,9,20,48,.484,0.0,.600
Malik Hairston,21,15,155,24,49,0,1,2,7,11,28,13,6,7,12,19,50,.490,.000,.286
Roy Hibbert,22,70,1009,198,420,0,0,98,147,115,243,49,20,76,55,215,494,.471,0.0,.667
J.J. Hickson,20,62,705,100,194,0,0,45,67,52,165,9,14,30,45,81,245,.515,0.0,.672
George Hill,22,77,1270,150,372,24,73,114,146,30,158,136,45,21,74,150,438,.403,.329,.781
Steven Hill,23,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.000,0.0,0.0
Othello Hunter,22,16,92,11,20,0,0,0,5,9,24,1,2,5,2,11,22,.550,0.0,.000
Darnell Jackson,23,51,430,37,86,0,2,24,35,32,87,8,10,4,14,77,98,.430,.000,.686
Nathan Jawai,22,6,19,1,4,0,0,0,0,1,2,0,0,0,2,3,2,.250,0.0,0.0
