Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
David Andersen,29,63,891,147,340,27,78,46,67,54,208,44,15,12,37,119,367,.432,.346,.687
Antonio Anderson,24,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,.333,0.0,0.0
Jeff Ayres,22,39,405,43,65,0,0,18,20,25,98,1,7,16,12,76,104,.662,0.0,.900
Rodrigue Beaubois,21,56,700,155,299,45,110,42,52,12,78,74,29,12,54,84,397,.518,.409,.808
DeJuan Blair,20,82,1494,275,495,0,2,88,161,200,526,65,50,39,112,224,638,.556,.000,.547
Jon Brockman,22,52,654,55,103,0,0,37,62,105,213,22,15,5,23,115,147,.534,0.0,.597
Derrick Brown,22,57,535,68,147,2,7,48,72,31,78,19,21,10,19,53,186,.463,.286,.667
Chase Budinger,21,74,1488,249,565,92,249,67,87,38,220,88,34,11,48,85,657,.441,.369,.770
DeMarre Carroll,23,71,795,88,222,0,6,33,53,53,150,33,28,9,24,107,209,.396,.000,.623
Omri Casspi,21,77,1931,300,672,75,203,117,174,75,349,95,54,17,98,125,792,.446,.369,.672
Earl Clark,22,51,383,56,151,2,5,26,36,18,62,21,7,13,23,25,140,.371,.400,.722
Darren Collison,22,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,.477,.400,.851
Dante Cunningham,22,63,707,106,214,0,2,31,48,54,160,14,24,22,15,97,243,.495,.000,.646
JamesOn Curry,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Stephen Curry,21,80,2896,528,1143,166,380,177,200,48,356,472,152,19,243,252,1399,.462,.437,.885
Austin Daye,21,69,915,137,295,29,95,46,56,34,174,34,25,26,48,114,349,.464,.305,.821
DeMar DeRozan,20,77,1664,255,512,4,16,148,194,66,223,53,43,18,62,176,662,.498,.250,.763
Toney Douglas,23,56,1087,179,391,68,175,55,68,40,108,112,42,3,55,116,481,.458,.389,.809
Wayne Ellington,22,76,1384,190,448,64,162,61,70,33,159,74,20,5,74,72,505,.424,.395,.871
Tyreke Evans,20,72,2677,533,1165,36,141,348,465,66,380,414,109,26,216,204,1450,.458,.255,.748
Jonny Flynn,20,81,2339,397,952,77,215,223,270,24,191,356,82,2,233,98,1094,.417,.358,.826
Sundiata Gaines,23,32,217,38,82,7,26,23,46,6,29,39,12,0,14,17,106,.463,.269,.500
Alonzo Gee,22,11,182,28,59,7,9,18,29,15,33,7,7,1,10,13,81,.475,.778,.621
Taj Gibson,24,82,2204,311,629,0,0,113,175,226,611,70,50,104,114,282,735,.494,0.0,.646
Trey Gilder,25,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,0.0,0.0
Danny Green,22,20,115,15,39,6,22,4,6,8,17,5,6,3,5,9,40,.385,.273,.667
Taylor Griffin,23,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,.400,.000,.500
Tyler Hansbrough,24,29,511,81,225,0,4,84,113,60,138,28,17,8,21,70,246,.360,.000,.743
James Harden,20,76,1738,233,578,93,248,194,240,47,244,137,80,20,106,200,753,.403,.375,.808
Gerald Henderson,22,43,355,37,104,4,19,35,47,15,55,13,10,9,14,25,113,.356,.211,.745
Jordan Hill,22,47,624,99,201,0,2,46,68,76,175,20,14,21,30,92,244,.493,.000,.676
Jrue Holiday,19,73,1767,230,520,62,159,65,86,56,191,280,79,18,156,153,587,.442,.390,.756
Lester Hudson,25,25,131,21,53,5,16,11,13,7,18,13,8,3,14,12,58,.396,.313,.846
Chris Hunter,25,60,783,109,217,0,4,52,69,56,167,37,13,35,30,132,270,.502,.000,.754
Serge Ibaka,20,73,1323,201,370,1,2,58,92,138,397,10,25,97,68,194,461,.543,.500,.630
Cedric Jackson,23,12,74,6,20,1,6,7,12,2,8,14,3,2,11,7,20,.300,.167,.583
Othyus Jeffers,24,14,73,12,29,0,0,13,19,8,19,1,4,0,6,10,37,.414,0.0,.684
Brandon Jennings,20,82,2671,451,1216,145,388,223,273,49,282,470,105,18,200,191,1270,.371,.374,.817
Jonas Jerebko,22,80,2232,290,603,36,115,125,176,194,478,58,79,29,82,230,741,.481,.313,.710
James Johnson,22,65,757,95,210,15,46,51,70,34,128,48,21,43,62,126,256,.452,.326,.729
Oliver Lafayette,25,1,22,3,6,1,2,0,0,1,4,2,0,0,1,0,7,.500,.500,0.0
Marcus Landry,24,18,111,16,43,9,28,3,5,5,19,0,1,2,6,14,44,.372,.321,.600
Ty Lawson,22,65,1318,201,390,34,83,106,140,42,124,203,48,2,82,89,542,.515,.410,.757
Wesley Matthews,23,82,2025,273,565,63,165,160,193,50,191,124,64,15,93,152,769,.483,.382,.829
Eric Maynor,22,81,1269,154,368,22,71,52,72,21,129,266,40,10,85,115,382,.418,.310,.722
Jodie Meeks,22,60,719,104,268,42,132,31,39,9,99,39,18,5,25,52,281,.388,.318,.795
Patty Mills,21,10,38,10,24,2,4,4,7,1,2,5,0,0,4,6,26,.417,.500,.571
Byron Mullens,20,13,54,7,19,0,0,0,0,3,10,1,2,0,4,13,14,.368,0.0,0.0
A.J. Price,23,56,865,145,354,60,174,60,75,12,88,106,35,3,59,53,410,.410,.345,.800
DaJuan Summers,22,44,405,46,130,15,42,27,38,14,45,16,8,7,16,52,134,.354,.357,.711
Jermaine Taylor,23,31,303,45,119,5,22,33,46,21,46,16,10,3,19,15,128,.378,.227,.717
Jeff Teague,21,71,719,90,227,7,32,41,49,5,67,122,34,11,50,82,228,.396,.219,.837
Garrett Temple,23,27,334,44,101,13,37,35,50,6,31,21,13,6,27,42,136,.436,.351,.700
Hasheem Thabeet,22,68,883,77,131,0,0,54,93,85,243,11,15,89,43,162,208,.588,0.0,.581
Marcus Thornton,22,73,1872,398,883,117,313,144,177,72,211,114,58,11,76,127,1057,.451,.374,.814
Reggie Williams,23,24,782,140,283,33,92,52,62,18,110,66,23,6,29,49,365,.495,.359,.839
Terrence Williams,22,78,1764,261,651,31,100,103,144,46,348,223,43,10,124,126,656,.401,.310,.715
Sam Young,24,80,1321,224,497,11,56,136,175,77,201,52,34,20,94,106,595,.451,.196,.777
