Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Jordan Adams,20,30,248,35,86,10,25,14,23,9,28,16,16,7,14,24,94,.407,.400,.609
Furkan Aldemir,23,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,.513,.000,.481
Kyle Anderson,21,33,358,31,89,3,11,9,14,5,72,28,15,7,10,28,74,.348,.273,.643
Cameron Bairstow,24,18,64,3,14,0,0,4,5,6,8,1,2,1,3,8,10,.214,0.0,.800
Jerrelle Benimon,23,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0.0,0.0,0.0
Sim Bhullar,22,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,.500,0.0,0.0
Tarik Black,23,63,1196,157,273,0,1,65,118,142,368,42,19,24,48,158,379,.575,.000,.551
Bojan Bogdanović,25,78,1854,261,576,91,256,87,106,50,213,68,34,9,78,104,700,.453,.355,.821
Jabari Brown,22,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,.412,.371,.753
Markel Brown,23,47,781,76,210,17,64,47,57,16,107,39,31,12,27,57,216,.362,.266,.825
Bruno Caboclo,19,8,23,4,12,2,3,0,0,1,2,0,0,1,4,3,10,.333,.667,0.0
Clint Capela,20,12,90,14,29,0,0,4,23,10,36,2,1,9,5,14,32,.483,0.0,.174
Will Cherry,23,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,.263,.222,.500
Patrick Christopher,26,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,.250,.000,0.0
Jordan Clarkson,22,59,1476,267,596,38,121,131,158,56,191,206,51,12,96,109,703,.448,.314,.829
Jack Cooley,23,16,87,9,22,0,0,9,21,10,25,1,6,3,3,23,27,.409,0.0,.429
Bryce Cotton,22,15,159,29,69,7,20,15,18,3,18,15,4,0,12,6,80,.420,.350,.833
Andre Dawkins,23,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,.167,.167,0.0
Spencer Dinwiddie,21,34,455,51,169,12,65,31,34,4,48,104,19,6,33,53,145,.302,.185,.912
Zoran Dragić,25,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,.367,.214,.600
Larry Drew II,24,12,219,20,58,4,26,2,3,1,15,45,6,0,25,13,46,.345,.154,.667
Cleanthony Early,23,39,647,76,214,22,84,36,48,22,97,36,24,12,40,57,210,.355,.262,.750
James Ennis III,24,62,1051,101,247,31,95,79,94,51,176,48,25,17,39,89,312,.409,.326,.840
Tyler Ennis,20,33,411,52,144,12,43,5,7,7,35,73,18,5,42,36,121,.361,.279,.714
Dante Exum,19,82,1817,145,416,83,264,20,32,27,131,198,41,14,118,147,393,.349,.314,.625
Tim Frazier,24,11,239,21,61,5,17,10,21,6,28,60,8,0,25,26,57,.344,.294,.476
Langston Galloway,23,45,1457,204,511,62,176,63,78,37,190,150,52,12,61,129,533,.399,.352,.808
Aaron Gordon,19,47,797,93,208,13,48,44,61,46,169,33,21,22,38,83,243,.447,.271,.721
Drew Gordon,24,9,71,8,19,0,3,1,2,7,18,2,1,0,8,7,17,.421,.000,.500
Jerami Grant,20,65,1377,124,352,49,156,114,193,49,198,79,40,68,85,144,411,.352,.314,.591
Erick Green,23,43,410,61,162,14,47,10,12,7,31,39,12,0,14,26,146,.377,.298,.833
JaMychal Green,24,24,164,27,47,0,6,8,10,19,45,4,5,5,14,25,62,.574,.000,.800
P.J. Hairston,22,45,687,87,269,49,163,31,36,22,92,21,21,13,22,61,254,.323,.301,.861
