Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Gary Alexander,24,11,55,8,14,0,0,3,9,7,15,2,3,0,8,10,19,.571,0.0,.333
Vin Baker,22,82,2560,435,869,1,5,234,411,277,621,163,60,114,162,231,1105,.501,.200,.569
Corie Blount,25,67,690,76,174,0,0,46,75,76,194,56,19,33,52,93,198,.437,0.0,.613
Shawn Bradley,21,49,1385,201,491,0,3,102,168,98,306,98,45,147,148,170,504,.409,.000,.607
P.J. Brown,24,79,1950,167,402,1,6,115,152,188,493,93,71,93,72,177,450,.415,.167,.757
Evers Burns,22,23,143,22,55,0,0,12,23,13,30,9,6,3,7,33,56,.400,0.0,.522
Scott Burrell,23,51,767,98,234,2,6,46,70,46,132,62,37,16,45,88,244,.419,.333,.657
Mitchell Butler,23,75,1321,207,418,0,5,104,180,106,225,77,54,20,87,131,518,.495,.000,.578
Sam Cassell,24,66,1122,162,388,26,88,90,107,25,134,192,59,7,94,136,440,.418,.295,.841
Calbert Cheaney,22,65,1604,327,696,1,23,124,161,88,190,126,63,10,108,148,779,.470,.043,.770
Michael Curry,25,10,43,3,14,0,2,3,4,0,1,1,1,0,3,6,9,.214,.000,.750
Antonio Davis,25,81,1732,216,425,0,1,194,302,190,505,55,45,84,107,189,626,.508,.000,.642
Brian Davis,23,68,374,40,126,1,3,50,68,21,55,22,16,4,19,34,131,.317,.333,.735
Terry Dehere,22,64,759,129,342,23,57,61,81,25,68,78,28,3,61,69,342,.377,.404,.753
Dell Demps,23,2,11,2,6,0,0,0,2,0,0,1,2,0,1,1,4,.333,0.0,.000
Acie Earl,23,74,1149,151,372,0,1,108,160,85,247,12,24,53,72,178,410,.406,.000,.675
Bill Edwards,22,3,44,2,18,0,5,2,5,5,14,4,3,1,4,6,6,.111,.000,.400
Doug Edwards,23,16,107,17,49,0,1,9,16,7,18,8,2,5,6,9,43,.347,.000,.563
Harold Ellis,23,49,923,159,292,0,4,106,149,94,153,31,73,2,43,97,424,.545,.000,.711
Alphonso Ford,22,6,16,7,13,1,1,1,2,0,0,1,2,0,1,2,16,.538,1.000,.500
Chad Gallagher,24,2,3,3,3,0,0,0,0,0,0,0,0,0,0,2,6,1.000,0.0,0.0
Andrew Gaze,28,7,70,8,17,4,8,2,2,1,7,5,2,1,3,9,22,.471,.500,1.000
Ricky Grace,26,3,8,2,3,0,0,0,2,0,1,1,0,0,0,3,4,.667,0.0,.000
Greg Graham,23,70,889,122,305,2,25,92,110,21,86,66,61,4,65,54,338,.400,.080,.836
Josh Grant,26,53,382,59,146,17,61,22,29,27,89,24,18,8,30,62,157,.404,.279,.759
Andrés Guibert,25,5,33,6,20,0,0,3,6,10,16,2,0,1,6,6,15,.300,0.0,.500
Geert Hammink,24,1,3,1,3,0,0,0,0,1,1,1,0,0,0,1,2,.333,0.0,0.0
Anfernee Hardaway,22,82,3015,509,1092,50,187,245,330,192,439,544,190,51,292,205,1313,.466,.267,.742
Lucious Harris,23,77,1165,162,385,7,33,87,119,45,157,106,49,10,78,117,418,.421,.212,.731
Antonio Harvey,23,27,247,29,79,0,0,12,26,26,59,5,8,19,17,39,70,.367,0.0,.462
Scott Haskin,23,27,186,21,45,0,0,13,19,17,55,6,2,15,13,33,55,.467,0.0,.684
Skeeter Henry,26,4,15,1,5,0,2,2,4,0,2,4,0,0,1,1,4,.200,.000,.500
Allan Houston,22,79,1519,272,671,35,117,89,108,19,120,100,34,13,99,165,668,.405,.299,.824
Lindsey Hunter,23,82,2172,335,893,69,207,104,142,47,189,390,121,10,184,174,843,.375,.333,.732
Bobby Hurley,22,19,499,54,146,2,16,24,30,6,34,115,13,1,48,28,134,.370,.125,.800
Stanley Jackson,23,17,92,17,33,1,5,3,3,12,27,16,5,0,10,13,38,.515,.200,1.000
Chris Jent,24,3,78,13,26,4,11,1,2,4,15,7,0,0,5,13,31,.500,.364,.500
Ervin Johnson,26,45,280,44,106,0,0,29,46,48,118,7,10,22,24,45,117,.415,0.0,.630
Popeye Jones,23,81,1773,195,407,0,1,78,107,299,605,99,61,31,94,246,468,.479,.000,.729
Adonis Jordan,23,6,79,6,23,3,10,0,0,3,6,19,0,1,6,6,15,.261,.300,0.0
Reggie Jordan,26,23,259,44,103,2,4,35,51,46,67,26,14,5,14,26,125,.427,.500,.686
Warren Kidd,23,68,884,100,169,0,0,47,86,76,233,19,19,23,44,129,247,.592,0.0,.547
Chris King,24,15,86,19,48,2,7,15,26,5,15,11,4,0,12,12,55,.396,.286,.577
Toni Kukoč*,25,75,1808,313,726,32,118,156,210,98,297,252,81,33,167,122,814,.431,.271,.743
George Lynch,23,71,1762,291,573,0,5,99,166,220,410,96,102,27,87,177,681,.508,.000,.596
Malcolm Mackey,23,22,69,14,37,0,2,4,8,12,24,1,0,3,2,9,32,.378,.000,.500
Gerald Madkins,24,22,149,11,31,5,15,8,10,1,11,19,9,0,13,16,35,.355,.333,.800
Bob Martin,24,53,535,40,88,0,0,31,51,36,117,17,8,33,29,106,111,.455,0.0,.608
Jamal Mashburn,21,79,2896,561,1382,85,299,306,438,107,353,266,89,14,245,205,1513,.406,.284,.699
Darnell Mee,22,38,285,28,88,5,24,12,27,17,35,16,15,13,18,34,73,.318,.208,.444
Chris Mills,24,79,2022,284,677,38,122,137,176,134,401,128,54,50,89,232,743,.419,.311,.778
Darren Morningstar,24,23,367,39,82,0,0,18,30,31,81,15,14,2,19,70,96,.476,0.0,.600
Gheorghe Mureșan,22,54,650,128,235,0,0,48,71,66,192,18,28,48,54,120,304,.545,0.0,.676
Bo Outlaw,22,37,871,98,167,0,2,61,103,81,212,36,36,37,31,94,257,.587,.000,.592
Mike Peplowski,23,55,667,76,141,0,1,24,44,49,169,24,17,25,34,131,176,.539,.000,.545
Richard Petruška,25,22,92,20,46,7,15,6,8,9,31,1,2,3,15,15,53,.435,.467,.750
