Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
LaMelo Ball,PG,22,CHO,22,22,711,183,423,.433,70,197,.355,113,226,.500,.515,90,104,.865,29,84,113,176,40,4,83,79,526,30.0,21.0,61.0
Mo Bamba,C,25,PHI,57,17,740,97,198,.490,25,64,.391,72,134,.537,.553,34,50,.680,77,161,238,41,22,60,39,101,253,8.0,47.0,35.0
Paolo Banchero,PF,21,ORL,80,80,2799,640,1407,.455,119,351,.339,521,1056,.493,.497,405,559,.725,82,472,554,431,71,47,247,153,1804,15.0,47.0,35.0
Desmond Bane,SG,25,MEM,42,42,1443,360,776,.464,137,360,.381,223,416,.536,.552,140,161,.870,36,149,185,230,43,22,112,120,997,26.0,27.0,55.0
Dalano Banton,PG,24,TOT,54,9,1047,202,500,.404,59,199,.296,143,301,.475,.463,94,120,.783,41,137,178,127,33,20,77,64,557,10.902439024390244,26.414634146341463,27.585365853658537
Dominick Barlow,PF,20,SAS,33,1,420,56,113,.496,3,9,.333,53,104,.510,.509,29,42,.690,45,68,113,36,12,14,9,47,144,24.0,22.0,60.0
Harrison Barnes,PF,31,SAC,82,82,2381,347,732,.474,149,385,.387,198,347,.571,.576,157,196,.801,67,182,249,99,54,12,58,98,1000,17.0,46.0,36.0
Scottie Barnes,SG,22,TOR,60,60,2094,447,942,.475,101,296,.341,346,646,.536,.528,196,251,.781,141,353,494,363,75,88,165,118,1191,25.0,25.0,57.0
RJ Barrett,SG,23,TOT,58,58,1838,436,880,.495,90,250,.360,346,630,.549,.547,208,291,.715,53,262,315,193,31,22,126,129,1170,11.341463414634147,25.609756097560975,32.390243902439025
Charles Bassey,C,23,SAS,19,0,205,29,40,.725,0,1,.000,29,39,.744,.725,5,6,.833,23,53,76,21,8,17,15,31,63,24.0,22.0,60.0
Emoni Bates,SF,20,CLE,15,0,133,15,49,.306,10,33,.303,5,16,.313,.408,1,4,.250,1,13,14,10,1,2,8,5,41,13.0,48.0,34.0
Keita Bates-Diop,SF,28,TOT,53,8,665,72,166,.434,21,69,.304,51,97,.526,.497,32,42,.762,31,79,110,38,25,22,15,35,197,8.036585365853659,28.76829268292683,24.231707317073173
Nicolas Batum,PF,35,TOT,60,38,1529,116,256,.453,73,185,.395,43,71,.606,.596,15,21,.714,70,178,248,128,48,38,40,109,320,5.817073170731707,34.53658536585366,25.46341463414634
Darius Bazley,PF,23,TOT,9,0,152,18,30,.600,2,8,.250,16,22,.727,.633,10,12,.833,8,20,28,7,6,7,8,3,48,1.975609756097561,3.98780487804878,5.012195121951219
Bradley Beal,SG,30,PHO,53,53,1767,377,735,.513,101,235,.430,276,500,.552,.582,109,134,.813,54,178,232,265,52,27,131,127,964,9.0,49.0,33.0
Malik Beasley,SG,27,MIL,79,77,2337,320,722,.443,224,542,.413,96,180,.533,.598,25,35,.714,41,249,290,108,59,9,54,158,889,12.0,49.0,33.0
MarJon Beauchamp,SF,23,MIL,48,1,608,81,166,.488,30,75,.400,51,91,.560,.578,19,28,.679,22,77,99,31,13,7,27,54,211,12.0,49.0,33.0
Jules Bernard,SG,24,WAS,19,0,149,29,64,.453,11,29,.379,18,35,.514,.539,5,9,.556,10,16,26,16,3,1,8,14,74,28.0,15.0,67.0
Dāvis Bertāns,PF,31,TOT,43,1,674,92,234,.393,76,200,.380,16,34,.471,.556,30,33,.909,9,52,61,35,26,12,18,56,290,10.609756097560975,17.597560975609756,25.402439024390247
Patrick Beverley,PG,35,TOT,73,13,1462,158,379,.417,61,181,.337,97,198,.490,.497,74,90,.822,49,190,239,212,43,31,65,128,451,8.390243902439025,42.47560975609756,30.524390243902438
Saddiq Bey,SF,24,ATL,63,51,2062,290,697,.416,113,358,.316,177,339,.522,.497,170,203,.837,167,244,411,92,51,11,54,88,863,21.0,36.0,46.0
Goga Bitadze,C,24,ORL,62,33,957,126,209,.603,2,14,.143,124,195,.636,.608,57,87,.655,109,177,286,79,32,72,44,107,311,15.0,47.0,35.0
Onuralp Bitim,SG,24,CHI,23,1,268,32,84,.381,12,44,.273,20,40,.500,.452,4,5,.800,6,26,32,13,3,2,10,24,80,20.0,39.0,43.0
Bismack Biyombo,C,31,TOT,40,27,791,74,131,.565,0,0,0,74,131,.565,.565,26,54,.481,62,147,209,53,11,37,42,89,174,9.75609756097561,16.829268292682926,23.170731707317074
Anthony Black,PG,20,ORL,69,33,1164,115,247,.466,37,94,.394,78,153,.510,.540,49,80,.613,33,106,139,91,35,21,56,110,316,15.0,47.0,35.0
Leaky Black,SF,24,CHO,26,3,284,25,52,.481,9,20,.450,16,32,.500,.567,10,15,.667,9,39,48,24,8,11,6,19,69,30.0,21.0,61.0
Buddy Boeheim,SF,24,DET,10,0,84,9,29,.310,8,25,.320,1,4,.250,.448,8,10,.800,3,7,10,3,0,1,0,5,34,27.0,14.0,68.0
Bogdan Bogdanović,SG,31,ATL,79,33,2401,471,1100,.428,240,641,.374,231,459,.503,.537,151,164,.921,53,219,272,247,96,26,112,179,1333,21.0,36.0,46.0
Bojan Bogdanović,SF-PF,34,TOT,57,27,1478,309,681,.454,133,334,.398,176,347,.507,.551,117,149,.785,22,130,152,97,30,5,101,95,868,10.987804878048781,22.463414634146343,34.53658536585366
Bol Bol,PF,24,PHO,43,0,469,93,151,.616,22,52,.423,71,99,.717,.689,15,19,.789,32,105,137,17,10,25,19,42,223,9.0,49.0,33.0
Marques Bolden,C,25,TOT,11,2,121,17,25,.680,0,1,.000,17,24,.708,.680,3,4,.750,10,24,34,4,3,7,3,10,37,3.585365853658536,3.5,7.5
Devin Booker,PG,27,PHO,68,68,2447,642,1305,.492,152,418,.364,490,887,.552,.550,405,457,.886,56,252,308,472,61,28,178,206,1841,9.0,49.0,33.0
Brandon Boston Jr.,SF,22,LAC,32,0,345,65,161,.404,14,52,.269,51,109,.468,.447,23,33,.697,19,33,52,13,11,8,24,40,167,7.0,51.0,31.0
Chris Boucher,PF,31,TOR,50,0,705,110,217,.507,31,94,.330,79,123,.642,.578,71,92,.772,62,145,207,23,14,24,28,68,322,25.0,25.0,57.0
James Bouknight,SG,23,CHO,14,0,81,18,41,.439,13,30,.433,5,11,.455,.598,1,2,.500,1,8,9,6,1,1,2,3,50,30.0,21.0,61.0
Jamaree Bouyea,PG,24,TOT,9,0,95,10,28,.357,1,9,.111,9,19,.474,.375,0,0,0,3,16,19,11,1,0,9,10,21,2.9999999999999996,2.341463414634146,6.658536585365853
Malaki Branham,PG,20,SAS,75,29,1594,271,628,.432,93,268,.347,178,360,.494,.506,55,63,.873,28,120,148,156,27,8,91,94,690,24.0,22.0,60.0
Christian Braun,SG,22,DEN,82,4,1655,222,483,.460,63,164,.384,159,319,.498,.525,93,134,.694,79,227,306,132,42,35,55,137,600,4.0,57.0,25.0
Mikal Bridges,SF,27,BRK,82,82,2854,564,1294,.436,220,592,.372,344,702,.490,.521,258,317,.814,68,304,372,299,81,30,164,116,1606,22.0,32.0,50.0
Miles Bridges,SF,25,CHO,69,67,2581,559,1210,.462,157,450,.349,402,760,.529,.527,174,211,.825,71,434,505,231,65,33,138,118,1449,30.0,21.0,61.0
Oshae Brissett,SF,25,BOS,55,1,630,68,153,.444,15,55,.273,53,98,.541,.493,50,83,.602,61,99,160,44,19,8,20,54,201,1.0,64.0,18.0
Izaiah Brockington,PG,24,NOP,1,0,3,2,5,.400,0,1,.000,2,4,.500,.400,0,0,0,1,1,2,0,0,0,0,0,4,6.0,49.0,33.0
Malcolm Brogdon,PG,31,POR,39,25,1121,218,496,.440,82,199,.412,136,297,.458,.522,95,116,.819,28,120,148,214,27,8,60,58,613,29.0,21.0,61.0
Armoni Brooks,PG,25,BRK,10,0,104,15,46,.326,11,32,.344,4,14,.286,.446,1,2,.500,7,11,18,5,1,1,3,3,42,22.0,32.0,50.0
Dillon Brooks,SF,28,HOU,72,72,2227,329,768,.428,133,370,.359,196,398,.492,.515,124,147,.844,53,193,246,119,64,10,88,241,915,18.0,41.0,41.0
Bruce Brown,PG-SG,27,TOT,67,44,1866,278,582,.478,53,164,.323,225,418,.538,.523,117,142,.824,53,231,284,192,59,17,86,148,726,14.390243902439025,29.28048780487805,37.71951219512195
Charlie Brown Jr.,SG,26,NYK,8,0,37,2,10,.200,2,7,.286,0,3,.000,.300,0,0,0,1,1,2,0,0,2,2,5,6,5.0,50.0,32.0
Greg Brown III,PF,22,DAL,6,0,40,5,11,.455,1,3,.333,4,8,.500,.500,4,9,.444,3,6,9,4,0,4,4,5,15,14.0,50.0,32.0
Jaylen Brown,SF,27,BOS,70,70,2343,627,1256,.499,145,410,.354,482,846,.570,.557,211,300,.703,84,303,387,249,83,37,166,185,1610,1.0,64.0,18.0
Kendall Brown,SG,20,IND,15,0,63,8,15,.533,0,2,.000,8,13,.615,.533,5,8,.625,3,2,5,5,0,0,2,9,21,10.0,47.0,35.0
Kobe Brown,PF,24,LAC,44,0,394,37,90,.411,14,48,.292,23,42,.548,.489,1,2,.500,20,42,62,25,12,6,9,49,89,7.0,51.0,31.0
Moses Brown,C,24,POR,22,5,200,33,65,.508,0,0,0,33,65,.508,.508,9,31,.290,37,49,86,7,5,7,11,27,75,29.0,21.0,61.0
Troy Brown Jr.,SF,24,TOT,59,15,827,84,226,.372,47,141,.333,37,85,.435,.476,32,37,.865,25,119,144,60,24,3,30,42,247,8.597560975609756,29.02439024390244,29.975609756097562
Jalen Brunson,PG,27,NYK,77,77,2726,790,1648,.479,211,526,.401,579,1122,.516,.543,421,497,.847,43,235,278,519,70,13,186,144,2212,5.0,50.0,32.0
Thomas Bryant,C,26,MIA,38,4,441,86,149,.577,4,22,.182,82,127,.646,.591,41,47,.872,40,101,141,23,10,16,21,46,217,16.0,46.0,36.0
Kobe Bufkin,SG,20,ATL,17,0,196,34,92,.370,9,40,.225,25,52,.481,.418,4,8,.500,6,27,33,27,7,5,10,20,81,21.0,36.0,46.0
Reggie Bullock,SF,32,HOU,44,0,417,34,82,.415,27,67,.403,7,15,.467,.579,1,1,1.000,6,67,73,15,12,5,10,29,96,18.0,41.0,41.0
Alec Burks,SG,32,TOT,66,1,1212,210,569,.369,124,330,.376,86,239,.360,.478,145,167,.868,24,126,150,88,28,12,48,75,689,15.560975609756099,21.365853658536587,44.63414634146341
Jared Butler,SG,23,WAS,40,0,566,98,201,.488,24,78,.308,74,123,.602,.547,31,36,.861,9,49,58,126,29,8,50,58,251,28.0,15.0,67.0
Jimmy Butler,PF,34,MIA,60,60,2042,396,793,.499,60,145,.414,336,648,.519,.537,394,459,.858,105,213,318,298,79,17,102,68,1246,16.0,46.0,36.0
Jamal Cain,PF,24,MIA,26,1,259,34,79,.430,11,31,.355,23,48,.479,.500,18,23,.783,15,22,37,10,10,5,8,22,97,16.0,46.0,36.0
Kentavious Caldwell-Pope,SG,30,DEN,76,76,2402,270,587,.460,125,308,.406,145,279,.520,.566,101,113,.894,31,152,183,183,98,42,75,151,766,4.0,57.0,25.0
Toumani Camara,PF,23,POR,70,49,1739,197,438,.450,58,172,.337,139,266,.523,.516,75,99,.758,139,204,343,87,66,33,84,174,527,29.0,21.0,61.0
Clint Capela,C,29,ATL,73,73,1883,353,618,.571,0,1,.000,353,617,.572,.571,130,206,.631,335,441,776,91,43,106,74,164,836,21.0,36.0,46.0
Jevon Carter,PG,28,CHI,72,0,1004,138,365,.378,77,234,.329,61,131,.466,.484,4,7,.571,11,49,60,94,37,16,36,71,357,20.0,39.0,43.0
Wendell Carter Jr.,C,24,ORL,55,48,1406,223,425,.525,64,171,.374,159,254,.626,.600,93,134,.694,112,269,381,95,35,28,68,121,603,15.0,47.0,35.0
D.J. Carton,SG,23,TOR,4,0,36,3,8,.375,1,4,.250,2,4,.500,.438,4,5,.800,2,2,4,3,1,0,1,3,11,25.0,25.0,57.0
Alex Caruso,SG,29,CHI,71,57,2040,253,541,.468,136,333,.408,117,208,.563,.593,73,96,.760,62,211,273,247,120,70,102,181,715,20.0,39.0,43.0
Colin Castleton,C,23,LAL,16,0,59,9,16,.563,0,0,0,9,16,.563,.563,6,6,1.000,6,6,12,3,2,0,3,11,24,19.0,47.0,35.0
Malcolm Cazalon,SG,22,DET,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,14.0,68.0
Julian Champagnie,SF,22,SAS,74,59,1468,164,402,.408,101,277,.365,63,125,.504,.534,75,92,.815,42,164,206,103,48,42,57,77,504,24.0,22.0,60.0
Justin Champagnie,SF,22,WAS,15,1,235,32,78,.410,13,45,.289,19,33,.576,.494,12,15,.800,19,34,53,19,10,9,10,14,89,28.0,15.0,67.0
Max Christie,SG,20,LAL,67,7,944,103,241,.427,42,118,.356,61,123,.496,.515,36,46,.783,15,127,142,60,20,17,35,57,284,19.0,47.0,35.0
Sidy Cissoko,SF,19,SAS,12,0,141,16,33,.485,1,12,.083,15,21,.714,.500,12,15,.800,8,14,22,10,7,3,3,18,45,24.0,22.0,60.0
Brandon Clarke,PF,27,MEM,6,1,134,33,59,.559,1,6,.167,32,53,.604,.568,1,7,.143,13,19,32,9,5,6,3,8,68,26.0,27.0,55.0
Jordan Clarkson,SG,31,UTA,55,19,1682,337,816,.413,91,309,.294,246,507,.485,.469,177,201,.881,49,139,188,277,35,6,146,81,942,23.0,31.0,51.0
Nic Claxton,C,24,BRK,71,71,2116,366,582,.629,1,5,.200,365,577,.633,.630,108,196,.551,193,513,706,147,46,146,93,175,841,22.0,32.0,50.0
Noah Clowney,PF,19,BRK,23,4,370,50,93,.538,12,33,.364,38,60,.633,.602,21,30,.700,26,55,81,18,8,16,15,25,133,22.0,32.0,50.0
Amir Coffey,SF,26,LAC,70,13,1460,166,352,.472,70,184,.380,96,168,.571,.571,61,71,.859,29,119,148,76,41,14,33,102,463,7.0,51.0,31.0
John Collins,PF,26,UTA,68,66,1901,397,746,.532,86,232,.371,311,514,.605,.590,147,185,.795,157,418,575,77,40,61,98,191,1027,23.0,31.0,51.0
Zach Collins,C,26,SAS,69,29,1526,298,616,.484,58,181,.320,240,435,.552,.531,122,162,.753,118,252,370,194,34,52,132,206,776,24.0,22.0,60.0
Mike Conley,PG,36,MIN,76,76,2193,294,644,.457,179,405,.442,115,239,.481,.595,102,112,.911,37,181,218,449,88,17,102,128,869,3.0,56.0,26.0
Pat Connaughton,SF,31,MIL,76,3,1676,151,347,.435,82,238,.345,69,109,.633,.553,44,58,.759,51,188,239,161,40,19,49,99,428,12.0,49.0,33.0
Bilal Coulibaly,SF,19,WAS,63,15,1715,188,432,.435,64,185,.346,124,247,.502,.509,92,131,.702,56,200,256,110,57,48,87,137,532,28.0,15.0,67.0
Ricky Council IV,SG,22,PHI,32,0,289,54,112,.482,12,32,.375,42,80,.525,.536,53,71,.746,14,32,46,16,8,1,5,17,173,8.0,47.0,35.0
Robert Covington,SF-PF,33,TOT,29,6,488,43,98,.439,19,56,.339,24,42,.571,.536,22,26,.846,31,66,97,24,39,18,11,56,127,2.7926829268292686,16.76829268292683,12.231707317073171
Torrey Craig,SF,33,CHI,53,14,1049,108,251,.430,60,153,.392,48,98,.490,.550,27,36,.750,69,148,217,58,30,21,32,110,303,20.0,39.0,43.0
Jae Crowder,PF,33,MIL,50,25,1156,114,270,.422,58,166,.349,56,104,.538,.530,26,36,.722,31,130,161,66,38,9,23,74,312,12.0,49.0,33.0
Jalen Crutcher,PG,24,NOP,1,0,3,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,6.0,49.0,33.0
Cade Cunningham,PG,22,DET,62,62,2074,524,1167,.449,119,335,.355,405,832,.487,.500,238,274,.869,33,235,268,464,56,22,212,153,1405,27.0,14.0,68.0
Seth Curry,SG,33,TOT,44,4,616,80,204,.392,38,108,.352,42,96,.438,.485,28,31,.903,18,50,68,44,22,6,21,39,226,9.073170731707318,24.0,20.0
Stephen Curry,PG,35,GSW,74,74,2421,650,1445,.450,357,876,.408,293,569,.515,.573,299,324,.923,37,293,330,379,54,28,210,117,1956,11.0,46.0,36.0
Dyson Daniels,PG,20,NOP,61,16,1358,139,311,.447,42,135,.311,97,176,.551,.514,34,53,.642,62,174,236,164,85,25,59,101,354,6.0,49.0,33.0
Anthony Davis,C,30,LAL,76,76,2700,713,1283,.556,29,107,.271,684,1176,.582,.567,421,516,.816,239,722,961,266,91,178,159,177,1876,19.0,47.0,35.0
Johnny Davis,SG,21,WAS,50,6,613,62,154,.403,14,40,.350,48,114,.421,.448,14,24,.583,18,54,72,32,18,10,13,57,152,28.0,15.0,67.0
JD Davison,SG,21,BOS,8,0,39,5,12,.417,3,7,.429,2,5,.400,.542,3,4,.750,2,8,10,10,1,1,2,4,16,1.0,64.0,18.0
Dexter Dennis,SG,24,DAL,4,0,30,10,19,.526,1,8,.125,9,11,.818,.553,1,3,.333,1,8,9,4,0,1,3,1,22,14.0,50.0,32.0
DeMar DeRozan,SF,34,CHI,79,79,2989,650,1355,.480,75,225,.333,575,1130,.509,.507,522,612,.853,43,297,340,421,90,45,135,161,1897,20.0,39.0,43.0
Moussa Diabaté,C,22,LAC,11,0,64,10,19,.526,0,0,0,10,19,.526,.526,9,14,.643,15,9,24,4,5,1,2,4,29,7.0,51.0,31.0
Mamadi Diakite,PF,27,TOT,6,0,24,4,6,.667,0,1,.000,4,5,.800,.667,4,6,.667,1,3,4,2,1,1,1,2,12,1.0609756097560974,2.6341463414634143,3.365853658536585
Hamidou Diallo,SG,25,WAS,2,0,5,1,2,.500,0,0,0,1,2,.500,.500,0,0,0,2,0,2,1,2,0,1,1,2,28.0,15.0,67.0
Gradey Dick,SG,20,TOR,60,17,1268,189,445,.425,88,241,.365,101,204,.495,.524,44,51,.863,27,105,132,68,34,2,50,87,510,25.0,25.0,57.0
Ousmane Dieng,PF,20,OKC,33,0,365,49,116,.422,21,70,.300,28,46,.609,.513,14,16,.875,10,41,51,37,8,5,19,22,133,2.0,57.0,25.0
Spencer Dinwiddie,PG,30,TOT,76,52,2152,251,640,.392,124,368,.337,127,272,.467,.489,169,210,.805,30,175,205,356,51,22,91,138,795,19.365853658536587,34.78048780487805,41.21951219512195
Donte DiVincenzo,SG,27,NYK,81,63,2360,445,1004,.443,283,705,.401,162,299,.542,.584,86,114,.754,63,234,297,216,107,36,113,166,1259,5.0,50.0,32.0
Luka Dončić,PG,24,DAL,70,70,2624,804,1652,.487,284,744,.382,520,908,.573,.573,478,608,.786,59,588,647,686,99,38,282,149,2370,14.0,50.0,32.0
Luguentz Dort,SF,24,OKC,79,79,2246,288,657,.438,156,396,.394,132,261,.506,.557,128,155,.826,74,210,284,113,72,47,74,228,860,2.0,57.0,25.0
Ayo Dosunmu,SG,24,CHI,76,37,2212,360,719,.501,119,295,.403,241,424,.568,.583,85,105,.810,54,162,216,242,68,36,103,166,924,20.0,39.0,43.0
Jeff Dowtin,PG,26,PHI,12,0,142,20,36,.556,9,19,.474,11,17,.647,.681,3,4,.750,3,17,20,27,7,1,5,1,52,8.0,47.0,35.0
Henri Drell,SF,23,CHI,4,0,30,4,10,.400,2,6,.333,2,4,.500,.500,1,2,.500,1,3,4,4,2,1,2,6,11,20.0,39.0,43.0
Andre Drummond,C,30,CHI,79,10,1351,267,480,.556,0,3,.000,267,477,.560,.556,129,218,.592,265,443,708,37,73,48,81,140,663,20.0,39.0,43.0
Chris Duarte,SF,26,SAC,59,11,719,80,210,.381,44,127,.346,36,83,.434,.486,26,33,.788,26,80,106,44,28,8,26,80,230,17.0,46.0,36.0
David Duke Jr.,SG,24,SAS,4,0,51,10,18,.556,3,6,.500,7,12,.583,.639,3,3,1.000,2,8,10,5,2,0,3,4,26,24.0,22.0,60.0
Kris Dunn,PG,29,UTA,66,32,1249,147,313,.470,41,111,.369,106,202,.525,.535,22,32,.688,50,139,189,254,68,28,79,135,357,23.0,31.0,51.0
Kevin Durant,PF,35,PHO,75,75,2791,751,1436,.523,168,407,.413,583,1029,.567,.581,362,423,.856,41,454,495,378,69,91,244,133,2032,9.0,49.0,33.0
Jalen Duren,C,20,DET,61,60,1777,349,564,.619,0,4,.000,349,560,.623,.619,143,181,.790,192,517,709,147,33,47,129,192,841,27.0,14.0,68.0
Tari Eason,PF,22,HOU,22,0,480,88,189,.466,18,50,.360,70,139,.504,.513,21,33,.636,46,107,153,27,31,19,20,51,215,18.0,41.0,41.0
Anthony Edwards,SG,22,MIN,79,78,2770,718,1558,.461,190,532,.357,528,1026,.515,.522,423,506,.836,52,378,430,405,101,42,241,141,2049,3.0,56.0,26.0
Kessler Edwards,SF,23,SAC,54,0,275,34,82,.415,20,52,.385,14,30,.467,.537,5,9,.556,9,33,42,15,10,4,4,26,93,17.0,46.0,36.0
Keon Ellis,SG,24,SAC,57,21,978,107,232,.461,70,168,.417,37,64,.578,.612,26,35,.743,32,92,124,85,51,29,37,112,310,17.0,46.0,36.0
Joel Embiid,C,29,PHI,39,39,1309,450,851,.529,54,139,.388,396,712,.556,.561,399,452,.883,95,335,430,219,46,66,150,112,1353,8.0,47.0,35.0
Drew Eubanks,C,26,PHO,75,6,1169,152,253,.601,3,3,1.000,149,250,.596,.607,72,93,.774,103,219,322,63,27,61,61,115,379,9.0,49.0,33.0
Tosan Evbuomwan,SF,22,TOT,17,8,367,36,71,.507,12,32,.375,24,39,.615,.592,17,25,.680,18,42,60,16,6,5,9,23,101,5.548780487804878,3.536585365853659,13.463414634146343
Dante Exum,PG,28,DAL,55,17,1088,161,302,.533,53,108,.491,108,194,.557,.621,53,68,.779,25,124,149,157,22,5,49,85,428,14.0,50.0,32.0
Bruno Fernando,C,25,ATL,45,2,682,109,187,.583,0,4,.000,109,183,.596,.583,64,96,.667,59,134,193,46,25,28,44,107,282,21.0,36.0,46.0
Dorian Finney-Smith,PF,30,BRK,68,56,1934,215,511,.421,117,336,.348,98,175,.560,.535,33,46,.717,109,208,317,107,56,38,59,150,580,22.0,32.0,50.0
Adam Flagler,SG,24,OKC,2,0,14,1,7,.143,1,6,.167,0,1,.000,.214,0,0,0,0,0,0,4,0,0,0,0,3,2.0,57.0,25.0
Malachi Flynn,PG,25,TOT,69,0,876,136,325,.418,56,169,.331,80,156,.513,.505,52,71,.732,21,93,114,130,38,8,63,66,380,18.20731707317073,22.085365853658537,46.91463414634147
Simone Fontecchio,SF,28,TOT,66,43,1644,252,548,.460,134,334,.401,118,214,.551,.582,54,66,.818,64,182,246,101,44,23,68,110,692,19.29268292682927,21.634146341463413,44.36585365853659
Jordan Ford,PG,25,SAC,6,0,22,4,7,.571,2,3,.667,2,4,.500,.714,2,2,1.000,0,2,2,2,0,0,1,0,12,17.0,46.0,36.0
Trent Forrest,SG,25,ATL,38,0,414,34,90,.378,2,10,.200,32,80,.400,.389,13,17,.765,11,40,51,92,11,3,20,25,83,21.0,36.0,46.0
Evan Fournier,SG,31,TOT,32,0,580,79,221,.357,33,130,.254,46,91,.505,.432,29,36,.806,5,53,58,48,29,7,21,48,220,9.731707317073171,6.780487804878049,25.21951219512195
De'Aaron Fox,PG,26,SAC,74,74,2659,720,1549,.465,214,580,.369,506,969,.522,.534,312,423,.738,67,273,340,418,150,31,194,193,1966,17.0,46.0,36.0
Javon Freeman-Liberty,PG,24,TOR,22,6,403,55,124,.444,10,42,.238,45,82,.549,.484,33,36,.917,16,54,70,40,10,4,25,28,153,25.0,25.0,57.0
Alex Fudge,SF,20,TOT,6,0,40,6,15,.400,1,5,.200,5,10,.500,.433,2,2,1.000,4,1,5,0,3,0,2,2,15,1.2682926829268293,3.51219512195122,2.4878048780487805
