Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Precious Achiuwa,PF-C,24,TOT,74,18,1624,235,469,.501,26,97,.268,209,372,.562,.529,69,112,.616,191,296,487,97,46,68,83,143,565,10.609756097560975,37.5,36.5
Bam Adebayo,C,26,MIA,71,71,2416,530,1017,.521,15,42,.357,515,975,.528,.529,292,387,.755,159,578,737,278,81,66,162,159,1367,16.0,46.0,36.0
Ochai Agbaji,SG,23,TOT,78,28,1641,178,433,.411,62,211,.294,116,222,.523,.483,37,56,.661,74,142,216,83,47,44,64,117,455,22.53658536585366,27.512195121951223,50.48780487804878
Santi Aldama,PF,23,MEM,61,35,1618,247,568,.435,106,304,.349,141,264,.534,.528,54,87,.621,72,280,352,138,43,54,69,89,654,26.0,27.0,55.0
Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,236,538,.439,131,335,.391,105,203,.517,.560,52,65,.800,35,132,167,204,64,42,76,143,655,3.0,56.0,26.0
Grayson Allen,SG,28,PHO,75,74,2513,340,682,.499,205,445,.461,135,237,.570,.649,129,147,.878,48,247,295,227,69,45,95,157,1014,9.0,49.0,33.0
Jarrett Allen,C,25,CLE,77,77,2442,519,819,.634,0,6,.000,519,813,.638,.634,233,314,.742,243,568,811,210,53,81,121,147,1271,13.0,48.0,34.0
Timmy Allen,SF,24,MEM,5,0,125,6,23,.261,0,7,.000,6,16,.375,.261,1,2,.500,4,13,17,5,4,0,2,18,13,26.0,27.0,55.0
Jose Alvarado,PG,25,NOP,56,0,1028,142,345,.412,78,207,.377,64,138,.464,.525,35,52,.673,25,103,128,117,59,15,40,89,397,6.0,49.0,33.0
Kyle Anderson,PF,30,MIN,79,10,1782,199,433,.460,11,48,.229,188,385,.488,.472,97,137,.708,60,213,273,331,71,47,91,128,506,3.0,56.0,26.0
Giannis Antetokounmpo,PF,29,MIL,73,73,2567,837,1369,.611,34,124,.274,803,1245,.645,.624,514,782,.657,196,645,841,476,87,79,250,210,2222,12.0,49.0,33.0
Thanasis Antetokounmpo,PF,31,MIL,34,0,155,16,30,.533,0,1,.000,16,29,.552,.533,0,2,.000,7,6,13,17,7,4,14,24,32,12.0,49.0,33.0
Cole Anthony,PG,23,ORL,81,0,1817,332,763,.435,93,275,.338,239,488,.490,.496,180,218,.826,64,247,311,236,64,37,126,175,937,15.0,47.0,35.0
OG Anunoby,SF,26,TOT,50,50,1702,282,577,.489,102,267,.382,180,310,.581,.577,67,89,.753,47,161,208,107,68,36,81,119,733,9.634146341463415,22.25609756097561,27.743902439024392
Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6,.000,0,6,.000,0,0,0,.000,0,0,0,0,8,8,4,2,0,2,5,0,5.0,50.0,32.0
Deni Avdija,SF,23,WAS,75,75,2257,406,803,.506,88,235,.374,318,568,.560,.560,202,273,.740,84,456,540,286,60,36,160,185,1102,28.0,15.0,67.0
Deandre Ayton,C,25,POR,55,55,1784,427,749,.570,1,10,.100,426,739,.576,.571,65,79,.823,176,433,609,90,56,42,99,109,920,29.0,21.0,61.0
Udoka Azubuike,C,24,PHO,16,0,113,16,23,.696,0,0,0,16,23,.696,.696,3,13,.231,11,21,32,3,1,6,4,17,35,9.0,49.0,33.0
Ibou Badji,C,21,POR,22,1,226,14,22,.636,0,0,0,14,22,.636,.636,6,12,.500,20,31,51,13,3,20,15,46,34,29.0,21.0,61.0
Marvin Bagley III,C,24,TOT,50,25,1053,239,408,.586,9,23,.391,230,385,.597,.597,96,126,.762,130,182,312,55,20,33,59,81,583,16.75609756097561,8.829268292682926,41.170731707317074
Amari Bailey,PG,19,CHO,10,0,65,8,24,.333,1,8,.125,7,16,.438,.354,6,7,.857,6,3,9,7,3,0,4,2,23,30.0,21.0,61.0
Patrick Baldwin Jr.,SF,21,WAS,38,7,493,59,155,.381,31,97,.320,28,58,.483,.481,19,28,.679,17,106,123,29,18,15,19,56,168,28.0,15.0,67.0
