Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Alex Acker,23,5,35,4,16,1,5,0,0,1,5,4,1,0,4,4,9,.250,.200,0.0
Alan Anderson,23,36,564,75,181,24,58,33,41,23,70,32,11,4,32,48,207,.414,.414,.805
Martynas Andriuškevičius,19,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,.000,0.0,0.0
Earl Barron,24,8,45,5,16,0,0,3,4,2,10,0,0,0,5,10,13,.313,0.0,.750
Eddie Basden,22,19,141,15,37,1,7,8,10,7,28,8,9,2,9,17,39,.405,.143,.800
Brandon Bass,20,29,268,28,70,0,0,12,19,18,68,3,3,7,11,18,68,.400,0.0,.632
Esteban Batista,22,57,495,34,80,0,1,33,53,61,144,7,15,11,38,111,101,.425,.000,.623
Andray Blatche,19,29,175,26,67,3,13,10,12,12,38,10,5,7,12,36,65,.388,.231,.833
Andrew Bogut,21,82,2348,323,606,0,3,122,194,189,573,192,49,68,125,259,768,.533,.000,.629
Kevin Burleson,26,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,.250,.185,.941
Andrew Bynum,18,46,338,33,82,0,0,8,27,34,80,9,4,22,17,56,74,.402,0.0,.296
Will Bynum,23,15,162,21,52,2,9,10,16,3,12,19,7,0,14,10,54,.404,.222,.625
José Calderón,24,64,1487,132,312,7,43,78,92,30,141,288,42,4,101,93,349,.423,.163,.848
Travis Diener,23,23,246,29,69,25,57,5,6,4,21,16,7,0,10,22,88,.420,.439,.833
Ike Diogu,22,69,1031,175,334,0,0,136,168,95,229,29,15,30,78,164,486,.524,0.0,.810
Monta Ellis,20,49,886,132,318,28,82,42,59,22,105,78,32,11,58,69,334,.415,.341,.712
Daniel Ewing,22,66,971,97,255,22,78,36,46,23,85,84,37,6,57,86,252,.380,.282,.783
Noel Felix,24,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,.240,.333,.625
Raymond Felton,21,80,2406,345,883,97,271,161,222,77,265,446,102,8,182,181,948,.391,.358,.725
Gerald Fitch,23,18,239,30,89,7,26,17,23,7,30,33,7,5,15,28,84,.337,.269,.739
Sharrod Ford,24,3,13,2,3,0,0,0,0,1,3,0,0,1,2,7,4,.667,0.0,0.0
