Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tony Allen,23,77,1262,184,387,12,31,112,152,85,221,64,76,24,77,156,492,.475,.387,.737
Rafael Araújo,24,59,736,76,175,1,3,43,55,59,185,16,21,8,52,157,196,.434,.333,.782
Trevor Ariza,19,80,1382,172,389,3,13,121,174,89,242,85,70,18,73,150,468,.442,.231,.695
Maurice Baker,25,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,.000,0.0,0.0
Andre Barrett,22,38,483,45,124,14,52,14,19,11,40,69,19,1,27,51,118,.363,.269,.737
Andris Biedriņš,18,30,384,45,78,0,1,19,40,47,118,12,12,24,12,87,109,.577,.000,.475
Tony Bobbitt,25,2,12,2,5,1,2,0,0,0,3,0,0,0,0,1,5,.400,.500,0.0
Matt Bonner,24,82,1553,247,463,39,92,56,71,108,285,48,39,19,40,220,589,.533,.424,.789
Antonio Burks,24,24,219,28,60,3,11,14,19,1,12,28,13,1,12,25,73,.467,.273,.737
Jackie Butler,19,3,5,4,4,0,0,2,2,0,0,0,1,0,1,0,10,1.000,0.0,1.000
Geno Carlisle,28,6,16,2,3,0,0,4,6,1,1,1,0,0,1,1,8,.667,0.0,.667
Lionel Chalmers,24,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,.336,.245,.625
Josh Childress,21,80,2376,302,642,13,56,190,231,195,482,151,74,35,106,184,807,.470,.232,.823
Nick Collison,24,82,1396,190,354,0,3,83,118,156,376,32,34,50,62,252,463,.537,.000,.703
Erik Daniels,22,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,.333,.500,0.0
Carlos Delfino,22,30,459,42,117,9,35,23,40,13,55,38,22,6,23,44,116,.359,.257,.575
Luol Deng,19,61,1663,280,645,31,117,120,162,92,322,135,48,27,118,98,711,.434,.265,.741
Chris Duhon,22,82,2177,172,488,94,265,49,67,23,213,398,82,3,119,205,487,.352,.355,.731
Corsley Edwards,25,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,.323,0.0,.583
John Edwards,23,25,139,11,30,0,0,7,14,8,19,3,3,4,8,12,29,.367,0.0,.500
Andre Emmett,22,8,28,2,6,0,0,3,5,0,2,0,0,0,1,4,7,.333,0.0,.600
Luis Flores,23,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,.483,.500,1.000
Matt Freije,23,23,441,37,127,14,54,5,8,16,61,20,13,2,17,40,93,.291,.259,.625
Ben Gordon,21,82,2002,434,1056,134,331,233,270,55,215,164,53,10,186,224,1235,.411,.405,.863
Devin Harris,21,76,1173,157,366,44,131,78,103,28,102,169,77,19,82,139,436,.429,.336,.757
David Harrison,22,43,760,106,184,0,0,52,91,48,135,13,16,55,53,134,264,.576,0.0,.571
Dwight Howard,19,82,2670,352,677,0,2,277,413,287,823,75,77,136,165,232,981,.520,.000,.671
Kris Humphries,19,67,873,116,287,2,6,44,101,73,197,43,25,18,52,96,278,.404,.333,.436
Andre Iguodala,21,82,2686,269,546,47,142,156,210,89,464,246,138,48,139,204,741,.493,.331,.743
D.J. Mbenga,24,15,58,6,14,0,0,3,4,3,8,0,0,5,5,13,15,.429,0.0,.750
Royal Ivey,23,62,809,85,198,3,9,47,67,19,84,103,39,7,58,140,220,.429,.333,.701
Luke Jackson,23,10,43,10,27,4,6,5,6,2,6,3,0,0,2,4,29,.370,.667,.833
Al Jefferson,20,71,1051,195,369,0,3,85,135,119,312,24,22,55,66,195,475,.528,.000,.630
Horace Jenkins,30,15,104,15,45,0,9,12,13,3,9,9,5,1,7,6,42,.333,.000,.923
Mark Jones,29,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,.290,.000,.500
Mario Kasun,24,45,356,47,98,0,1,24,43,52,128,8,8,13,26,86,118,.480,.000,.558
Viktor Khryapa,22,32,523,54,124,4,11,23,42,28,108,25,20,18,33,80,135,.435,.364,.548
Brandin Knight,23,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.000,0.0,0.0
Nenad Krstić,21,75,1965,281,570,0,2,185,255,161,401,77,32,63,112,280,747,.493,.000,.725
Ibo Kutluay,30,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,.000,0.0,0.0
Shaun Livingston,19,30,814,89,215,0,2,44,59,22,89,151,32,11,75,82,222,.414,.000,.746
Kevin Martin,21,45,455,45,117,5,25,36,55,29,58,22,16,3,24,35,131,.385,.200,.655
Jameer Nelson,22,79,1612,286,628,44,141,73,107,52,193,237,78,3,117,199,689,.455,.312,.682
Andrés Nocioni,25,81,1892,241,601,25,97,170,222,69,386,122,37,34,135,208,677,.401,.258,.766
Emeka Okafor,22,73,2600,448,1003,0,1,209,343,275,795,64,62,125,125,214,1105,.447,.000,.609
Pavel Podkolzin,20,5,10,0,0,0,0,1,2,0,2,0,0,0,2,4,1,0.0,0.0,.500
Peter John Ramos,19,6,20,5,10,0,0,1,2,1,4,0,0,1,3,4,11,.500,0.0,.500
Justin Reed,23,23,121,15,29,0,3,11,15,8,16,10,3,1,5,12,41,.517,.000,.733
Jared Reiner,22,19,132,10,30,0,0,1,4,13,38,1,3,7,9,35,21,.333,0.0,.250
