Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kyle Alexander,23,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,.500,0.0,0.0
Nickeil Alexander-Walker,21,47,591,98,266,46,133,25,37,9,84,89,17,8,54,57,267,.368,.346,.676
RJ Barrett,19,56,1704,292,727,63,197,156,254,50,279,143,55,17,124,122,803,.402,.320,.614
Darius Bazley,19,61,1130,125,317,49,141,43,62,30,246,41,23,41,45,55,342,.394,.348,.694
Goga Bitadze,20,54,471,70,150,8,42,24,33,25,106,23,10,37,28,65,172,.467,.190,.727
Bol Bol,20,7,87,14,28,4,9,8,10,5,19,6,2,6,10,11,40,.500,.444,.800
Marques Bolden,21,1,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0.0,0.0,0.0
Jordan Bone,22,10,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12,.250,.200,0.0
Brian Bowen,21,6,31,3,10,0,2,0,0,1,7,0,0,1,1,3,6,.300,.000,0.0
Ky Bowman,22,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,.417,.308,.829
Jarrell Brantley,23,9,96,10,28,3,13,1,2,2,20,11,3,5,7,7,24,.357,.231,.500
Ignas Brazdeikis,21,9,53,6,22,1,9,4,5,2,5,4,0,1,2,3,17,.273,.111,.800
Oshae Brissett,21,19,135,13,36,3,15,8,10,9,26,7,4,1,7,18,37,.361,.200,.800
Charlie Brown Jr.,22,10,40,6,19,3,9,5,5,2,4,2,2,2,3,3,20,.316,.333,1.000
Moses Brown,20,9,33,4,10,0,0,3,8,3,14,1,1,1,3,7,11,.400,0.0,.375
Devontae Cacok,23,1,9,3,6,0,0,0,0,2,5,1,0,0,0,0,6,.500,0.0,0.0
Vlatko Čančar,22,14,45,6,15,1,6,4,4,5,10,3,1,1,3,7,17,.400,.167,1.000
Zylan Cheatham,24,4,51,6,9,0,1,0,0,3,9,3,1,1,4,10,12,.667,.000,0.0
Brandon Clarke,23,58,1300,296,479,23,64,85,112,92,345,81,32,48,55,100,700,.618,.359,.759
Nic Claxton,20,15,187,27,48,1,7,11,21,19,44,16,1,8,9,14,66,.563,.143,.524
Chris Clemons,22,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,.401,.346,.909
Amir Coffey,22,18,159,23,54,6,19,6,11,4,16,14,5,2,8,20,58,.426,.316,.545
Tyler Cook,22,13,54,8,12,0,0,7,8,6,14,1,3,0,3,5,23,.667,0.0,.875
Jarrett Culver,20,63,1506,230,569,66,221,54,117,70,212,110,57,38,81,125,580,.404,.299,.462
Terence Davis,22,72,1209,199,436,94,242,51,59,50,237,115,39,14,76,124,543,.456,.388,.864
Luguentz Dort,20,36,820,86,218,30,101,42,53,24,81,27,31,4,22,97,244,.394,.297,.792
Sekou Doumbouya,19,38,754,92,236,28,98,31,46,20,118,19,20,8,35,80,243,.390,.286,.674
Carsen Edwards,21,37,351,42,128,24,76,13,19,6,47,24,12,4,15,34,121,.328,.316,.684
Tacko Fall,24,7,33,11,14,0,0,1,3,1,15,1,1,4,3,7,23,.786,0.0,.333
Bruno Fernando,21,56,713,103,199,5,37,29,51,67,198,49,18,17,42,107,240,.518,.135,.569
Michael Frazier,25,13,145,7,29,4,23,9,14,1,10,2,2,0,5,22,27,.241,.174,.643
Wenyen Gabriel,22,30,235,21,48,6,20,15,22,21,52,8,11,7,16,39,63,.438,.300,.682
Daniel Gafford,21,43,609,94,134,0,0,32,60,52,106,21,13,56,29,98,220,.701,0.0,.533
Darius Garland,20,59,1824,280,699,105,296,63,72,27,111,229,42,4,151,92,728,.401,.355,.875
