Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Robert Archibald,22,12,72,6,20,0,0,7,18,6,17,3,0,3,7,9,19,.300,0.0,.389
Maceo Baston,27,16,106,15,25,0,0,10,12,4,23,0,4,11,6,16,40,.600,0.0,.833
Mike Batiste,25,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784
Lonny Baxter,24,55,682,96,206,0,2,70,103,65,165,16,9,22,46,135,262,.466,.000,.680
Carlos Boozer,21,81,2049,331,618,0,1,148,192,202,609,106,59,50,103,224,810,.536,.000,.771
J.R. Bremer,22,64,1503,171,464,101,286,85,111,18,145,164,38,3,59,80,528,.369,.353,.766
Devin Brown,24,10,93,12,35,0,1,6,8,8,18,7,4,1,9,14,30,.343,.000,.750
Pat Burke,29,62,783,113,296,1,7,40,58,57,146,23,19,25,47,99,267,.382,.143,.690
Caron Butler,22,78,2858,429,1032,34,107,309,375,135,397,213,137,31,192,230,1201,.416,.318,.824
Rasual Butler,23,72,1514,207,572,50,171,76,104,29,186,93,21,43,77,105,540,.362,.292,.731
Dan Dickau,24,50,515,70,170,22,61,21,26,9,43,85,14,2,53,66,183,.412,.361,.808
Juan Dixon,24,42,647,104,271,25,84,37,46,13,72,40,26,3,42,54,270,.384,.298,.804
Mike Dunleavy,22,82,1305,168,417,52,150,78,100,66,214,106,53,19,86,120,466,.403,.347,.780
Melvin Ely,24,52,802,92,186,0,0,52,74,64,174,15,10,32,50,95,236,.495,0.0,.703
Reggie Evans,22,67,1365,66,140,0,0,80,154,167,445,34,38,11,52,173,212,.471,0.0,.519
Dan Gadzuric,24,49,760,70,145,0,1,29,56,66,197,9,22,52,27,125,169,.483,.000,.518
Manu Ginóbili*,25,69,1431,174,397,51,148,126,171,47,161,138,96,17,100,170,525,.438,.345,.737
Gordan Giriček,25,76,2148,350,803,85,249,150,183,36,238,137,52,8,145,159,935,.436,.341,.820
Drew Gooden,21,70,1873,355,777,14,48,151,212,163,455,83,53,35,150,172,875,.457,.292,.712
Marcus Haislip,22,39,441,66,153,3,12,26,38,21,53,9,7,18,21,55,161,.431,.250,.684
Adam Harrington,22,19,111,11,37,5,14,3,4,1,8,12,2,1,2,8,30,.297,.357,.750
Junior Harrington,22,82,2003,169,467,7,28,73,112,44,250,277,80,15,157,250,418,.362,.250,.652
Juaquin Hawkins,29,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,.385,.417,.500
Nenê,20,80,2258,321,619,0,3,197,341,208,491,149,127,65,181,295,839,.519,.000,.578
Nate Huffman,27,7,76,9,25,0,0,5,8,9,23,5,1,3,3,13,23,.360,0.0,.625
Ryan Humphrey,23,48,444,35,120,0,0,23,39,34,99,11,9,18,23,75,93,.292,0.0,.590
Casey Jacobsen,21,72,1147,122,327,52,165,72,105,29,83,73,35,6,55,90,368,.373,.315,.686
Marko Jarić,24,66,1379,179,446,53,166,79,105,35,160,193,97,11,103,125,490,.401,.319,.752
Chris Jefferies,22,51,666,75,194,18,54,29,43,16,59,22,19,16,45,56,197,.387,.333,.674
Jared Jeffries,21,20,292,30,63,3,6,16,29,26,58,16,8,5,21,28,79,.476,.500,.552
Ken Johnson,24,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,.405,0.0,.333
Fred Jones,23,19,115,9,24,2,7,3,4,4,9,5,6,1,6,13,23,.375,.286,.750
Sean Lampley,23,35,487,56,129,0,4,57,82,26,83,31,7,3,25,43,169,.434,.000,.695
Tito Maddox,21,9,35,3,12,0,3,5,8,1,7,5,3,1,3,4,11,.250,.000,.625
Roger Mason,22,17,113,11,31,6,18,2,2,2,12,12,4,0,5,20,30,.355,.333,1.000
Yao Ming*,22,82,2382,401,805,1,2,301,371,196,675,137,31,147,173,230,1104,.498,.500,.811
Ronald Murray,23,14,62,11,31,0,5,5,8,0,4,5,4,0,8,0,27,.355,.000,.625
Boštjan Nachbar,22,14,77,11,31,2,10,5,10,3,11,3,2,2,6,13,29,.355,.200,.500
Mehmet Okur,23,72,1366,180,423,38,112,96,131,117,335,71,25,39,66,167,494,.426,.339,.733
Chris Owens,23,1,6,2,3,0,0,0,0,1,1,0,0,0,1,0,4,.667,0.0,0.0
Jannero Pargo,23,34,342,37,93,7,24,4,4,9,37,39,13,2,23,45,85,.398,.292,1.000
Smush Parker,21,66,1103,136,338,38,118,98,118,29,119,162,48,12,133,106,408,.402,.322,.831
Tayshaun Prince,22,42,435,53,118,20,47,11,17,5,45,24,10,14,21,25,137,.449,.426,.647
Igor Rakočević,24,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,.379,.417,.806
Efthimios Rentzias,27,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,.339,.500,.889
Antoine Rigaudeau,31,11,91,8,35,1,5,0,0,4,8,6,3,0,6,11,17,.229,.200,0.0
