Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Derrick Alston,22,64,1032,120,258,0,4,59,120,98,219,33,39,35,53,107,299,.465,.000,.492
Darrell Armstrong,26,3,8,3,8,2,6,2,2,1,1,3,1,0,1,3,10,.375,.333,1.000
Sergei Bazarevich,29,10,74,11,22,1,6,7,9,1,7,14,1,1,7,10,30,.500,.167,.778
Elmer Bennett,24,4,18,6,11,0,2,3,4,0,1,3,4,0,3,3,15,.545,.000,.750
James Blackwell,26,13,80,8,13,0,0,2,3,2,11,11,4,0,5,8,18,.615,0.0,.667
Tim Breaux,24,42,340,45,121,6,25,32,49,16,34,15,11,4,16,25,128,.372,.240,.653
Chris Childs,27,53,1021,106,279,41,125,55,73,14,69,219,42,3,76,116,308,.380,.328,.753
Bill Curley,22,53,595,58,134,0,0,27,36,54,124,25,21,21,25,128,143,.433,0.0,.750
Yinka Dare,22,1,3,0,1,0,0,0,0,0,1,0,0,0,1,2,0,.000,0.0,0.0
Tony Dumas,22,58,613,96,250,22,73,50,77,32,62,57,13,4,50,78,264,.384,.301,.649
Howard Eisley,22,49,552,40,122,9,37,31,40,12,48,95,18,6,50,81,120,.328,.243,.775
Matt Fish,25,26,370,49,103,0,1,25,37,32,84,17,16,7,28,70,123,.476,.000,.676
Brian Grant,22,80,2289,413,809,1,4,231,363,207,598,99,49,116,163,276,1058,.511,.250,.636
Darrin Hancock,23,46,424,68,121,1,3,16,39,14,53,30,19,4,30,48,153,.562,.333,.410
Jerome Harmon,25,10,158,21,53,1,1,3,6,9,23,12,9,0,7,12,46,.396,1.000,.500
Grant Hill*,22,70,2678,508,1064,4,27,374,511,125,445,353,124,62,202,203,1394,.477,.148,.732
Tom Hovasse,28,2,4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,.000,.000,0.0
Juwan Howard,21,65,2348,455,931,0,7,194,292,184,545,165,52,15,166,236,1104,.489,.000,.664
Askia Jones,23,11,139,15,44,2,12,13,16,6,11,16,6,0,9,19,45,.341,.167,.813
Eddie Jones,23,64,1981,342,744,91,246,122,169,79,249,128,131,41,75,175,897,.460,.370,.722
Jason Kidd*,21,79,2668,330,857,70,257,192,275,152,430,607,151,24,250,146,922,.385,.272,.698
