Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Nick Anderson,22,81,1785,372,753,1,17,186,264,107,316,124,69,34,138,140,931,.494,.059,.705
Michael Ansley,22,72,1221,231,465,0,0,164,227,187,362,40,24,17,50,152,626,.497,0.0,.722
B.J. Armstrong,22,81,1291,190,392,3,6,69,78,19,102,199,46,6,83,105,452,.485,.500,.885
Dana Barros,22,81,1630,299,738,95,238,89,110,35,132,205,53,1,123,97,782,.405,.399,.809
Kenny Battle,25,59,729,93,170,1,4,55,82,44,124,38,35,11,32,94,242,.547,.250,.671
Winston Bennett,24,55,990,137,286,0,0,64,96,84,188,54,23,10,62,133,338,.479,0.0,.667
Mookie Blaylock,22,50,1267,212,571,18,80,63,81,42,140,210,82,14,111,110,505,.371,.225,.778
Chucky Brown,21,75,1339,210,447,0,7,125,164,83,231,50,33,26,69,148,545,.470,.000,.762
Raymond Brown,24,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,.286,0.0,.000
Stanley Brundy,22,16,128,15,30,0,0,7,18,15,26,3,6,5,6,24,37,.500,0.0,.389
Torgeir Bryn,25,3,10,0,2,0,0,4,6,0,2,0,2,1,1,5,4,.000,0.0,.667
Steve Bucknall,23,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,.273,.000,.833
Adrian Caldwell,23,51,331,42,76,0,0,13,28,36,109,7,11,18,32,69,97,.553,0.0,.464
Lanard Copeland,24,23,110,31,68,1,5,11,14,4,10,9,1,1,19,12,74,.456,.200,.786
Terry Davis,22,63,884,122,262,0,1,54,87,93,229,25,25,28,68,171,298,.466,.000,.621
Byron Dinkins,22,33,362,44,109,1,9,26,30,13,40,75,19,2,37,30,115,.404,.111,.867
Vlade Divac*,21,82,1611,274,549,0,5,153,216,167,512,75,79,114,110,240,701,.499,.000,.708
Sherman Douglas,23,81,2470,463,938,5,31,224,326,70,206,619,145,10,246,187,1155,.494,.161,.687
Terry Dozier,23,9,92,9,27,0,1,4,8,7,15,3,6,2,7,10,22,.333,.000,.500
Blue Edwards,24,82,1889,286,564,9,30,146,203,69,251,145,76,36,152,280,727,.507,.300,.719
Jay Edwards,21,4,26,3,7,0,2,1,3,1,2,4,1,0,1,4,7,.429,.000,.333
Sean Elliott,21,81,2032,311,647,1,9,187,216,127,297,154,45,14,112,172,810,.481,.111,.866
Pervis Ellison,22,34,866,111,251,0,2,49,78,64,196,65,16,57,62,132,271,.442,.000,.628
Derrick Gervin,26,21,339,93,197,0,3,65,89,29,65,8,20,7,12,47,251,.472,.000,.730
Greg Grant,23,67,678,83,216,3,16,39,59,16,59,168,36,1,77,58,208,.384,.188,.661
Scott Haffner,23,43,559,88,217,3,21,17,25,7,51,80,13,2,33,53,196,.406,.143,.680
Tom Hammonds,22,61,805,129,295,0,1,63,98,61,168,51,11,14,46,98,321,.437,.000,.643
Tim Hardaway*,23,79,2663,464,985,23,84,211,276,57,310,689,165,12,260,232,1162,.471,.274,.764
Mike Higgins,22,11,50,3,8,0,0,8,10,2,4,3,2,2,1,5,14,.375,0.0,.800
Ed Horton,22,45,374,80,162,0,4,42,69,59,108,19,9,5,39,63,202,.494,.000,.609
Byron Irvin,23,50,488,96,203,5,14,61,91,30,74,47,28,1,39,40,258,.473,.357,.670
Jaren Jackson,22,28,160,25,69,0,3,17,21,16,24,13,13,1,18,16,67,.362,.000,.810
Eric Johnson,23,48,272,20,84,1,6,13,17,8,28,64,17,2,26,49,54,.238,.167,.765
Nate Johnston,23,21,87,18,48,1,4,9,13,13,23,1,3,8,6,11,46,.375,.250,.692
Shawn Kemp,20,81,1120,203,424,2,12,117,159,146,346,26,47,70,107,204,525,.479,.167,.736
Stan Kimbrough,23,10,50,7,16,0,0,2,2,4,7,5,4,0,4,4,16,.438,0.0,1.000
Stacey King,23,82,1777,267,530,0,1,194,267,169,384,87,38,58,119,215,728,.504,.000,.727
Frank Kornet,23,57,438,42,114,5,20,24,39,25,71,21,14,3,23,54,113,.368,.250,.615
Jeff Lebo,23,4,32,2,7,0,0,2,2,2,4,3,2,0,1,7,6,.286,0.0,1.000
Tim Legler,23,11,83,11,29,0,1,6,6,4,8,6,2,0,4,12,28,.379,.000,1.000
Gary Leonard,22,22,127,13,31,0,1,6,14,10,27,1,3,9,8,26,32,.419,.000,.429
Clifford Lett,24,4,28,2,8,0,0,0,0,0,0,1,0,0,2,8,4,.250,0.0,0.0
Todd Lichti,23,79,1326,250,514,0,14,130,174,49,151,116,55,13,95,145,630,.486,.000,.747
Roy Marble,23,24,162,16,58,0,2,19,29,15,24,11,7,1,14,16,51,.276,.000,.655
Šarūnas Marčiulionis*,25,75,1695,289,557,10,39,317,403,84,221,121,94,7,137,230,905,.519,.256,.787
Jeff Martin,23,69,1351,170,414,2,15,91,129,78,159,44,41,16,47,97,433,.411,.133,.705
Anthony Mason,23,21,108,14,40,0,0,9,15,11,34,7,2,2,11,20,37,.350,0.0,.600
Bob McCann,25,10,62,7,21,0,0,12,14,4,12,6,2,2,6,7,26,.333,0.0,.857
Mel McCants,22,13,65,8,26,0,0,6,8,1,6,2,3,1,1,11,22,.308,0.0,.750
George McCloud,22,44,413,45,144,13,40,15,19,12,42,45,19,3,36,56,118,.313,.325,.789
Carlton McKinney,25,7,104,8,32,0,1,2,4,4,12,7,6,1,7,15,18,.250,.000,.500
Scott Meents,26,26,148,19,44,0,0,17,23,7,30,7,4,3,9,12,55,.432,0.0,.739
Sam Mitchell,26,80,2414,372,834,0,9,268,349,180,462,89,66,54,96,301,1012,.446,.000,.768
Mike Morrison,22,36,153,23,68,2,7,24,30,7,20,11,2,0,23,20,72,.338,.286,.800
John Morton,22,37,402,48,161,7,30,43,62,7,32,67,18,4,51,30,146,.298,.233,.694
