Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Chuck Aleksinas,25,74,1114,161,337,0,1,55,75,87,270,36,15,15,72,171,377,.478,.000,.733
Ron Anderson,26,36,520,84,195,1,2,41,50,39,88,34,9,7,34,40,210,.431,.500,.820
Ken Bannister,24,75,1404,209,445,0,0,91,192,108,330,39,38,40,141,279,509,.470,0.0,.474
Charles Barkley*,21,82,2347,427,783,1,6,293,400,266,703,155,95,80,209,301,1148,.545,.167,.733
Cory Blackwell,21,60,551,87,237,0,2,28,55,42,96,26,25,3,44,55,202,.367,.000,.509
Sam Bowie,23,76,2216,299,557,0,0,160,225,207,656,215,55,203,172,278,758,.537,0.0,.711
Frank Brickowski,25,78,1115,150,305,0,4,85,127,76,260,100,34,15,100,171,385,.492,.000,.669
Tony Brown,24,82,1586,214,465,0,6,116,171,146,288,159,59,12,116,212,544,.460,.000,.678
Steve Burtt,22,47,418,72,188,0,1,53,77,10,28,20,21,4,33,76,197,.383,.000,.688
Michael Cage,23,75,1610,216,398,0,0,101,137,126,392,51,41,32,81,164,533,.543,0.0,.737
Tony Campbell,22,56,625,130,262,0,1,56,70,41,89,24,28,3,69,107,316,.496,.000,.800
Rick Carlisle,25,38,179,26,67,0,2,15,17,8,21,25,3,0,19,21,67,.388,.000,.882
Antoine Carr,23,62,1195,198,375,2,6,101,128,79,232,80,29,78,108,219,499,.528,.333,.789
Ron Cavenall,25,53,653,28,86,0,0,22,39,53,166,19,12,42,45,123,78,.326,0.0,.564
Steve Colter,22,78,1462,216,477,26,74,98,130,40,150,243,75,9,112,142,556,.453,.351,.754
Devin Durrant,24,59,756,114,274,0,3,72,102,49,124,80,19,10,77,106,300,.416,.000,.706
Kenton Edelin,22,10,143,4,13,0,0,3,8,8,26,10,5,4,3,39,11,.308,0.0,.375
Kenny Fields,22,51,535,84,191,0,0,27,36,41,84,38,9,10,32,84,195,.440,0.0,.750
Vern Fleming,22,80,2486,433,922,0,4,260,339,148,323,247,99,8,197,232,1126,.470,.000,.767
Lancaster Gordon,22,63,682,110,287,2,9,37,49,26,61,88,33,6,69,61,259,.383,.222,.755
Butch Graves,23,4,11,2,6,0,1,1,5,0,2,1,1,0,1,4,5,.333,.000,.200
Stuart Gray,21,52,391,35,92,0,0,32,47,29,123,15,9,14,51,82,102,.380,0.0,.681
Michael Holton,23,74,1761,257,576,14,45,96,118,30,132,198,59,6,123,141,624,.446,.311,.814
Jay Humphries,22,80,2062,279,626,4,20,141,170,32,164,350,107,8,167,209,703,.446,.200,.829
Ralph Jackson,22,1,12,1,3,0,0,0,0,1,1,4,2,0,1,1,2,.333,0.0,0.0
Charles Jones,23,78,1565,236,454,0,4,182,281,139,394,128,45,61,143,149,654,.520,.000,.648
Earl Jones,24,2,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,0.0,0.0
Ozell Jones,24,67,888,106,180,0,1,33,83,65,238,56,30,57,61,139,245,.589,.000,.398
Michael Jordan*,21,82,3144,837,1625,9,52,630,746,167,534,481,196,69,291,285,2313,.515,.173,.845
Jerome Kersey,22,77,958,178,372,0,3,117,181,95,206,63,49,29,66,147,473,.478,.000,.646
Tim McCormick,22,78,1584,269,483,0,1,188,263,146,398,78,18,33,114,207,726,.557,.000,.715
Jay Murphy,22,23,149,8,50,0,1,12,21,6,41,4,1,2,8,21,28,.160,.000,.571
Hakeem Olajuwon*,22,82,2914,677,1258,0,0,338,551,440,974,111,99,220,234,344,1692,.538,0.0,.613
Sam Perkins,23,82,2317,347,736,9,36,200,244,189,605,135,63,63,102,236,903,.471,.250,.820
Jim Petersen,22,60,714,70,144,0,0,50,66,44,147,29,14,32,71,125,190,.486,0.0,.758
Gary Plummer,22,66,702,92,232,1,4,65,92,54,134,26,15,14,50,127,250,.397,.250,.707
