Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Peter Aluma,25,2,5,1,2,0,0,0,0,1,2,0,1,1,2,4,2,.500,0.0,0.0
Toby Bailey,23,27,249,34,86,1,5,9,13,24,54,13,9,2,11,24,78,.395,.200,.692
Mark Baker,29,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,0.0,0.0
Corey Benjamin,20,31,320,44,117,3,14,27,40,15,40,10,11,8,21,46,118,.376,.214,.675
Mike Bibby,20,50,1758,260,605,15,74,127,169,30,136,325,78,5,146,122,662,.430,.203,.751
Earl Boykins,22,22,221,30,79,3,18,2,3,7,17,33,6,0,20,20,65,.380,.167,.667
Gerald Brown,23,33,236,33,89,3,10,11,14,5,22,31,5,1,22,21,80,.371,.300,.786
Cory Carr,23,42,624,71,216,5,30,24,32,8,49,66,21,7,46,66,171,.329,.167,.750
Vince Carter*,22,50,1760,345,766,19,66,204,268,94,283,149,55,77,110,140,913,.450,.288,.761
Keon Clark,23,28,409,36,80,0,1,21,37,36,96,10,10,31,21,52,93,.450,.000,.568
Kornél Dávid,27,50,902,109,243,0,1,90,111,70,173,40,23,17,48,88,308,.449,.000,.811
Ricky Davis,19,46,557,81,200,2,12,45,59,40,84,58,30,7,54,46,209,.405,.167,.763
Michael Dickerson,23,50,1558,215,462,71,164,46,72,26,83,95,27,11,66,90,547,.465,.433,.639
Michael Doleac,21,49,780,125,267,0,0,54,80,66,148,20,19,17,26,117,304,.468,0.0,.675
Bryce Drew,24,34,441,47,129,16,49,8,8,3,32,52,12,4,31,61,118,.364,.327,1.000
Marlon Garnett,23,24,205,15,51,6,23,15,20,3,21,18,5,1,12,18,51,.294,.261,.750
Pat Garrity,22,39,538,85,170,7,18,40,56,26,75,18,8,3,20,62,217,.500,.389,.714
Paul Grant,25,6,13,2,6,0,0,0,0,1,1,0,1,0,2,4,4,.333,0.0,0.0
Matt Harpring,22,50,1114,148,320,10,25,102,143,88,214,45,30,6,73,112,408,.463,.400,.713
Al Harrington,18,21,160,18,56,0,5,9,15,20,39,5,4,2,11,26,45,.321,.000,.600
J.R. Henderson,22,30,331,35,96,2,5,25,45,20,47,22,9,4,18,29,97,.365,.400,.556
Larry Hughes,20,50,988,170,414,8,52,107,151,83,189,77,44,14,68,97,455,.411,.154,.709
Randell Jackson,23,27,271,46,108,1,7,21,32,30,54,8,3,11,26,29,114,.426,.143,.656
Sam Jacobson,23,2,12,3,5,0,1,2,2,0,3,0,0,0,1,2,8,.600,.000,1.000
Jerome James,23,16,42,9,24,0,0,6,12,6,17,1,2,6,9,11,24,.375,0.0,.500
Antawn Jamison,22,47,1058,178,394,3,10,90,153,131,301,34,38,16,68,102,449,.452,.300,.588
Charles Jones,23,29,476,39,123,19,61,11,22,9,42,41,18,5,29,30,108,.317,.311,.500
Damon Jones,22,24,344,43,119,25,62,14,17,6,44,42,13,0,17,23,125,.361,.403,.824
Jonathan Kerner,24,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,.000,0.0,0.0
Gerard King,26,19,63,6,14,0,0,11,18,6,14,4,2,1,4,12,23,.429,0.0,.611
Raef LaFrentz,22,12,387,59,129,12,31,36,48,33,91,8,9,17,9,38,166,.457,.387,.750
Rashard Lewis,19,20,145,19,52,1,6,8,14,13,25,4,8,1,20,19,47,.365,.167,.571
Felipe López,24,47,1218,169,379,12,44,87,135,69,166,62,49,14,82,128,437,.446,.273,.644
Tyronn Lue,21,15,188,28,65,7,16,12,21,2,6,25,5,0,11,28,75,.431,.438,.571
Sean Marks,23,8,28,5,8,0,0,1,2,0,1,0,1,0,3,3,11,.625,0.0,.500
Kelly McCarty,23,2,4,2,3,0,0,0,0,2,3,0,0,0,2,0,4,.667,0.0,0.0
Jelani McCoy,21,26,331,56,76,0,0,21,42,27,79,4,11,20,10,42,133,.737,0.0,.500
Roshown McLeod,23,34,348,62,163,1,10,37,45,12,50,14,2,1,23,24,162,.380,.100,.822
Brad Miller,22,38,469,78,138,1,2,81,102,35,117,22,9,18,32,65,238,.565,.500,.794
Cuttino Mobley,23,49,1456,172,405,53,148,90,110,22,111,121,44,23,79,98,487,.425,.358,.818
Nazr Mohammed,21,26,121,15,42,0,0,12,21,18,37,2,5,4,12,22,42,.357,0.0,.571
Mikki Moore,23,2,6,1,1,0,0,2,2,0,1,0,0,0,0,0,4,1.000,0.0,1.000
Makhtar N'Diaye,25,4,27,1,4,0,0,3,4,3,5,1,0,1,1,9,5,.250,0.0,.750
Tyrone Nesby,23,50,1288,182,405,35,96,104,133,57,175,82,77,20,53,143,503,.449,.365,.782
Rasho Nesterović,22,2,30,3,12,0,0,2,2,3,8,1,0,0,1,5,8,.250,0.0,1.000
Dirk Nowitzki*,20,47,958,136,336,14,68,99,128,41,162,47,29,27,73,105,385,.405,.206,.773
Michael Olowokandi,23,45,1279,172,399,0,0,57,118,120,357,25,27,55,85,137,401,.431,0.0,.483
Andrae Patterson,23,35,284,43,97,0,5,28,36,30,65,15,19,7,22,62,114,.443,.000,.778
Ruben Patterson,23,24,144,21,51,1,6,22,31,17,30,2,5,3,12,16,65,.412,.167,.710
Paul Pierce*,21,48,1632,284,647,84,204,139,195,117,309,115,82,50,113,139,791,.439,.412,.713
Casey Shaw,23,9,14,1,8,0,0,0,0,3,3,0,0,0,2,2,2,.125,0.0,0.0
Jeff Sheppard,24,18,185,15,39,2,7,8,13,6,22,16,3,0,7,12,40,.385,.286,.615
Miles Simon,23,5,19,1,5,0,2,0,0,1,2,0,1,0,3,1,2,.200,.000,0.0
Alvin Sims,24,4,25,4,10,1,1,2,5,3,4,5,2,0,6,2,11,.400,1.000,.400
Brian Skinner,22,21,258,33,71,0,0,20,33,20,53,1,10,13,19,20,86,.465,0.0,.606
Ryan Stack,23,18,199,14,37,0,0,19,20,19,34,5,2,11,9,31,47,.378,0.0,.950
Vladimir Stepania,22,23,313,53,125,0,3,21,40,27,75,12,10,23,32,58,127,.424,.000,.525
Peja Stojaković,21,48,1025,141,373,57,178,63,74,43,143,72,41,7,53,43,402,.378,.320,.851
Bruno Šundov,18,3,11,2,7,0,0,0,0,0,0,1,0,0,1,4,4,.286,0.0,0.0
Robert Traylor,21,49,786,108,201,0,1,43,80,80,182,38,44,44,42,140,259,.537,.000,.538
Bonzi Wells,22,7,35,11,20,1,3,8,18,4,9,3,1,1,6,5,31,.550,.333,.444
Tyson Wheeler,23,1,3,1,1,1,1,1,2,0,0,2,0,0,0,1,4,1.000,1.000,.500
Jahidi White,22,20,191,17,32,0,0,15,35,23,58,1,3,11,16,39,49,.531,0.0,.429
Jason Williams,23,50,1805,231,617,100,323,79,105,14,153,299,95,1,143,91,641,.374,.310,.752
Shammond Williams,23,2,4,0,1,0,0,3,4,0,0,1,0,0,0,0,3,.000,0.0,.750
Trevor Winter,25,1,5,0,0,0,0,0,0,1,3,0,0,0,0,5,0,0.0,0.0,0.0
