Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Timmy Allen,24,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,.261,.000,.500
Ibou Badji,21,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,.636,0.0,.500
Amari Bailey,19,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,.333,.125,.857
Emoni Bates,20,15,133,15,49,10,33,1,4,1,14,10,1,2,8,5,41,.306,.303,.250
Jules Bernard,24,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,.453,.379,.556
Onuralp Bitim,24,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,.381,.273,.800
Anthony Black,20,69,1164,115,247,37,94,49,80,33,139,91,35,21,56,110,316,.466,.394,.613
Leaky Black,24,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,.481,.450,.667
Izaiah Brockington,24,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,0.0
Kobe Brown,24,44,394,37,90,14,48,1,2,20,62,25,12,6,9,49,89,.411,.292,.500
Kobe Bufkin,20,17,196,34,92,9,40,4,8,6,33,27,7,5,10,20,81,.370,.225,.500
Toumani Camara,23,70,1739,197,438,58,172,75,99,139,343,87,66,33,84,174,527,.450,.337,.758
D.J. Carton,23,4,36,3,8,1,4,4,5,2,4,3,1,0,1,3,11,.375,.250,.800
Colin Castleton,23,16,59,9,16,0,0,6,6,6,12,3,2,0,3,11,24,.563,0.0,1.000
Malcolm Cazalon,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Sidy Cissoko,19,12,141,16,33,1,12,12,15,8,22,10,7,3,3,18,45,.485,.083,.800
Noah Clowney,19,23,370,50,93,12,33,21,30,26,81,18,8,16,15,25,133,.538,.364,.700
Bilal Coulibaly,19,63,1715,188,432,64,185,92,131,56,256,110,57,48,87,137,532,.435,.346,.702
Ricky Council IV,22,32,289,54,112,12,32,53,71,14,46,16,8,1,5,17,173,.482,.375,.746
Jalen Crutcher,24,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0
Dexter Dennis,24,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,.526,.125,.333
Gradey Dick,20,60,1268,189,445,88,241,44,51,27,132,68,34,2,50,87,510,.425,.365,.863
Henri Drell,23,4,30,4,10,2,6,1,2,1,4,4,2,1,2,6,11,.400,.333,.500
Tosan Evbuomwan,22,17,367,36,71,12,32,17,25,18,60,16,6,5,9,23,101,.507,.375,.680
Adam Flagler,24,2,14,1,7,1,6,0,0,0,0,4,0,0,0,0,3,.143,.167,0.0
Jordan Ford,25,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,.571,.667,1.000
Javon Freeman-Liberty,24,22,403,55,124,10,42,33,36,16,70,40,10,4,25,28,153,.444,.238,.917
Alex Fudge,20,6,40,6,15,1,5,2,2,4,5,0,3,0,2,2,15,.400,.200,1.000
Andrew Funk,24,5,13,0,4,0,3,0,0,0,0,0,1,1,0,0,0,.000,.000,0.0
Kaiser Gates,27,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,.000,.000,0.0
Keyonte George,20,75,2023,319,815,147,440,189,223,15,211,332,36,7,188,91,974,.391,.334,.848
Collin Gillespie,24,24,225,32,69,15,38,8,12,1,21,27,13,0,14,24,87,.464,.395,.667
Mouhamadou Gueye,25,11,120,11,38,0,3,4,9,12,23,5,3,18,12,15,26,.289,.000,.444
Mouhamed Gueye,21,6,73,8,23,3,9,5,6,10,22,4,5,4,1,13,24,.348,.333,.833
Jordan Hawkins,21,67,1160,174,456,109,298,67,80,29,148,70,19,7,40,72,524,.382,.366,.838
Scoot Henderson,19,62,1765,307,797,87,268,167,204,53,194,336,48,13,212,195,868,.385,.325,.819
Taylor Hendricks,20,40,856,108,240,53,140,23,29,46,185,32,28,30,27,77,292,.450,.379,.793
D'Moi Hodge,25,7,41,5,15,3,12,1,2,0,0,5,1,1,1,4,14,.333,.250,.500
Chet Holmgren,21,82,2413,505,953,129,349,218,275,129,648,200,53,190,131,197,1357,.530,.370,.793
Jalen Hood-Schifino,20,21,109,10,45,2,15,12,20,2,13,8,3,2,9,13,34,.222,.133,.600
Jett Howard,20,18,67,10,30,7,25,2,4,1,7,6,2,2,3,4,29,.333,.280,.500
Matthew Hurt,23,8,113,12,34,5,20,3,3,9,16,4,3,3,2,8,32,.353,.250,1.000
Andre Jackson Jr.,22,57,572,50,100,17,46,8,11,43,113,50,16,6,28,92,125,.500,.370,.727
GG Jackson II,19,48,1233,241,563,102,286,115,153,53,196,59,28,24,65,64,699,.428,.357,.752
Trayce Jackson-Davis,23,68,1130,233,332,0,1,74,132,135,341,82,29,76,49,108,540,.702,.000,.561
Jaime Jaquez Jr.,22,75,2113,341,697,65,202,142,175,82,285,195,77,20,110,167,889,.489,.322,.811
Trey Jemison,24,25,573,75,136,0,0,21,25,64,134,27,12,28,34,69,171,.551,0.0,.840
Keyontae Johnson,23,9,66,5,16,1,3,0,0,4,10,4,1,0,4,5,11,.313,.333,0.0
Colby Jones,21,30,192,28,71,2,22,6,11,17,40,20,7,5,10,29,64,.394,.091,.545
Maxwell Lewis,21,34,103,4,21,1,9,2,3,2,4,6,2,1,10,5,11,.190,.111,.667
E.J. Liddell,23,8,23,1,6,0,5,2,2,0,5,1,2,2,2,2,4,.167,.000,1.000
Dereck Lively II,19,55,1294,221,296,0,2,41,81,135,378,60,36,77,50,144,483,.747,.000,.506
Chris Livingston,20,21,90,11,22,1,5,3,4,3,21,5,2,0,5,15,26,.500,.200,.750
Seth Lundy,23,9,52,4,17,3,13,3,4,1,7,0,0,0,1,6,14,.235,.231,.750
Nathan Mensah,25,25,307,12,28,0,0,9,12,29,65,9,6,14,14,64,33,.429,0.0,.750
Vasilije Micić,30,60,1176,159,370,43,154,61,75,14,88,262,31,7,99,68,422,.430,.279,.813
Brandon Miller,21,74,2383,476,1083,184,493,143,173,60,315,175,66,42,132,184,1279,.440,.373,.827
Jordan Miller,24,8,28,5,9,1,2,2,2,3,5,0,0,0,1,2,13,.556,.500,1.000
Leonard Miller,20,17,52,13,20,2,5,1,2,5,20,8,2,1,1,5,29,.650,.400,.500
Dariq Whitehead,19,2,24,1,5,0,3,1,2,0,4,3,0,1,0,0,3,.200,.000,.500
Taze Moore,25,4,40,8,19,1,7,1,2,4,8,5,2,0,3,4,18,.421,.143,.500
Kris Murray,23,62,1348,145,366,49,183,37,56,85,224,80,53,21,55,92,376,.396,.268,.661
Pete Nance,23,8,27,1,6,1,1,0,2,0,3,0,1,0,1,2,3,.167,1.000,.000
Markquis Nowell,24,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,.000,0.0,1.000
Mãozinha Pereira,23,7,122,18,35,5,13,7,10,11,37,2,6,4,5,10,48,.514,.385,.700
Drew Peterson,24,3,23,4,6,3,5,0,0,0,1,1,2,0,1,1,11,.667,.600,0.0
Filip Petrušev,23,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,.500,0.0,.500
Julian Phillips,20,40,323,32,77,12,38,13,19,12,36,13,7,7,10,40,89,.416,.316,.684
Jalen Pickett,24,27,122,15,35,9,25,3,4,1,14,21,4,0,9,13,42,.429,.360,.750
Brandin Podziemski,20,74,1968,271,597,90,234,50,79,118,427,273,61,14,88,122,682,.454,.385,.633
Craig Porter Jr.,23,51,649,116,228,12,34,41,56,21,109,118,21,15,45,40,285,.509,.353,.732
Olivier-Maxence Prosper,21,40,336,40,104,13,45,28,41,25,79,22,7,4,8,20,121,.385,.289,.683
Duop Reath,27,68,1214,230,499,88,245,69,93,93,250,67,33,38,52,161,617,.461,.359,.742
Rayan Rupert,19,39,633,54,161,28,78,19,25,24,92,62,12,3,31,56,155,.335,.359,.760
Jermaine Samuels,25,14,60,9,14,0,2,2,2,3,13,3,1,2,0,5,20,.643,.000,1.000
Adama Sanogo,21,9,66,14,27,0,0,8,12,19,36,0,1,0,5,5,36,.519,0.0,.667
Gui Santos,21,23,192,28,55,10,27,16,17,17,49,14,4,2,7,23,82,.509,.370,.941
Marcus Sasser,23,71,1351,219,512,90,240,58,66,11,125,236,44,12,90,103,586,.428,.375,.879
Brice Sensabaugh,20,32,584,85,218,34,115,37,41,16,102,55,13,6,47,43,241,.390,.296,.902
Ben Sheppard,22,57,814,90,229,49,156,23,26,15,89,53,33,2,15,88,252,.393,.314,.885
Dmytro Skapintsev,25,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.0,0.0
Jalen Slawson,24,12,37,4,6,0,2,0,0,1,7,2,1,1,2,8,8,.667,.000,0.0
Nick Smith Jr.,19,51,729,113,289,63,146,13,15,18,72,59,10,7,39,55,302,.391,.432,.867
Terquavion Smith,21,16,84,18,46,13,35,3,5,0,4,12,8,0,7,8,52,.391,.371,.600
Pat Spencer,27,6,26,2,4,0,2,0,0,2,4,5,0,0,1,1,4,.500,.000,0.0
Julian Strawther,21,50,545,82,222,41,138,22,31,5,61,47,17,7,23,54,227,.369,.297,.710
Amen Thompson,21,62,1388,239,446,8,58,106,155,148,409,163,78,38,90,141,592,.536,.138,.684
Ausar Thompson,21,63,1583,232,480,21,113,71,119,129,402,120,68,59,84,175,556,.483,.186,.597
Jacob Toppin,23,9,38,5,9,1,4,2,2,3,7,3,0,1,1,3,13,.556,.250,1.000
Oscar Tshiebwe,24,8,42,10,20,0,0,6,8,8,16,2,2,1,0,3,26,.500,0.0,.750
Hunter Tyson,23,18,48,8,20,4,14,0,0,1,9,2,1,0,2,10,20,.400,.286,0.0
Sasha Vezenkov,28,42,511,84,191,45,120,12,15,30,96,19,20,7,12,42,225,.440,.375,.800
Tristan Vukcevic,20,10,153,29,67,10,36,17,22,6,36,13,5,7,10,28,85,.433,.278,.773
Jarace Walker,20,33,340,45,110,22,55,8,9,12,63,40,15,11,17,29,120,.409,.400,.889
Cason Wallace,20,82,1692,217,442,98,234,29,37,52,187,120,76,37,45,129,561,.491,.419,.784
Jordan Walsh,19,9,83,6,15,2,9,1,2,5,20,5,5,1,3,11,15,.400,.222,.500
Victor Wembanyama,20,71,2106,551,1186,128,394,292,367,161,755,274,88,254,260,153,1522,.465,.325,.796
Cam Whitmore,19,47,880,212,467,79,220,76,112,44,180,33,30,17,46,64,579,.454,.359,.679
Malik Williams,25,7,107,9,34,1,5,0,2,15,38,2,3,4,3,15,19,.265,.200,.000
Jalen Wilson,23,43,664,76,179,24,74,38,46,47,131,45,11,4,19,48,214,.425,.324,.826
Isaiah Wong,23,1,4,1,3,0,1,0,0,0,0,0,0,0,0,0,2,.333,.000,0.0
