Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Eric Anderson,22,16,44,5,18,0,0,11,13,6,14,3,3,1,5,14,21,.278,0.0,.846
Anthony Avent,23,82,2285,347,802,0,2,112,172,180,512,91,57,73,140,237,806,.433,.000,.651
Jon Barry,23,47,552,76,206,21,63,33,49,10,43,68,35,3,42,57,206,.369,.333,.673
Tony Bennett,23,75,857,110,260,26,80,30,41,12,63,136,30,0,50,110,276,.423,.325,.732
Alex Blackwell,22,27,109,14,42,0,3,6,8,10,23,7,4,2,5,14,34,.333,.000,.750
Ricky Blanton,26,2,13,3,7,0,0,0,0,2,3,1,2,0,1,1,6,.429,0.0,0.0
Walter Bond,23,74,1578,227,565,7,42,129,167,52,196,122,75,18,112,223,590,.402,.167,.772
Dexter Cambridge,23,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,.484,.000,.687
Doug Christie,22,23,332,45,106,2,12,50,66,24,51,53,22,5,50,53,142,.425,.167,.758
Duane Cooper,23,65,645,62,158,7,30,25,35,13,50,150,18,2,69,66,156,.392,.233,.714
Joe Courtney,23,12,104,13,32,0,0,7,9,4,19,3,5,5,6,17,33,.406,0.0,.778
John Crotty,23,40,243,37,72,2,14,26,38,4,17,55,11,0,30,29,102,.514,.143,.684
Radisav Ćurčić,27,20,166,16,41,0,0,26,36,17,49,12,7,2,8,30,58,.390,0.0,.722
Lloyd Daniels,25,77,1573,285,644,59,177,72,99,86,216,148,38,30,102,144,701,.443,.333,.727
Hubert Davis,22,50,815,110,251,6,19,43,54,13,56,83,22,4,45,71,269,.438,.316,.796
Todd Day,23,71,1931,358,828,54,184,213,297,144,291,117,75,48,118,222,983,.432,.293,.717
Richard Dumas,23,48,1320,302,576,1,3,152,215,100,223,60,85,39,92,127,757,.524,.333,.707
Pat Durham,25,5,78,6,25,0,0,9,12,5,14,4,1,1,7,6,21,.240,0.0,.750
LaPhonso Ellis,22,82,2749,483,958,2,13,237,317,274,744,151,72,111,153,293,1205,.504,.154,.748
Jo Jo English,22,6,31,3,10,0,3,0,2,2,6,1,3,2,4,5,6,.300,.000,.000
Matt Geiger,23,48,554,76,145,0,4,62,92,46,120,14,15,18,36,123,214,.524,.000,.674
Litterial Green,22,52,626,87,198,1,10,60,96,11,34,116,23,4,42,70,235,.439,.100,.625
Tom Gugliotta,23,81,2795,484,1135,38,135,181,281,219,781,306,134,35,230,195,1187,.426,.281,.644
Jay Guidinger,23,32,215,19,55,0,0,13,25,26,64,17,9,10,10,48,51,.345,0.0,.520
Robert Horry,22,79,2330,323,682,12,47,143,200,113,392,191,80,83,156,210,801,.474,.255,.715
Byron Houston,23,79,1274,145,325,2,7,129,194,119,315,69,44,43,87,253,421,.446,.286,.665
Stephen Howard,22,49,260,35,93,0,0,34,53,26,60,10,15,12,23,58,104,.376,0.0,.642
Jim Jackson,22,28,938,184,466,21,73,68,92,42,122,131,40,11,115,80,457,.395,.288,.739
Keith Jennings,24,8,136,25,42,5,9,14,18,2,11,23,4,0,7,18,69,.595,.556,.778
Dave Johnson,22,42,356,57,149,3,14,40,59,18,48,13,8,1,28,23,157,.383,.214,.678
Thomas Jordan,24,4,106,18,41,0,0,8,17,5,19,3,3,5,12,14,44,.439,0.0,.471
Adam Keefe,22,82,1549,188,376,0,1,166,237,171,432,80,57,16,100,195,542,.500,.000,.700
Christian Laettner,23,81,2823,503,1061,4,40,462,553,171,708,223,105,83,275,290,1472,.474,.100,.835
Sam Mack,22,40,267,47,118,3,22,45,58,18,48,15,14,5,22,44,142,.398,.136,.776
Don MacLean,23,62,674,157,361,3,6,90,111,33,122,39,11,4,42,82,407,.435,.500,.811
Marlon Maxey,23,43,520,93,169,0,1,45,70,66,164,12,11,18,38,75,231,.550,.000,.643
Lee Mayberry,22,82,1503,171,375,43,110,39,68,26,118,273,59,7,85,148,424,.456,.391,.574
Oliver Miller,22,56,1069,121,255,0,3,71,100,70,275,118,38,100,108,145,313,.475,.000,.710
Harold Miner,21,73,1383,292,615,3,9,163,214,74,147,73,34,8,92,130,750,.475,.333,.762
Isaiah Morris,23,25,102,26,57,0,0,3,4,6,12,4,3,1,8,14,55,.456,0.0,.750
