Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Lavoy Allen,22,41,624,79,167,0,0,11,14,47,171,34,13,18,20,73,169,.473,0.0,.786
Gustavo Ayón,26,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,.536,.000,.619
Keith Benson,23,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,.000,0.0,0.0
Bismack Biyombo,19,63,1455,129,278,0,0,69,143,113,368,27,20,115,71,145,327,.464,0.0,.483
MarShon Brooks,23,56,1648,274,640,47,150,113,148,70,200,131,52,15,118,116,708,.428,.313,.764
Alec Burks,20,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,.429,.333,.727
Jimmy Butler,22,42,359,32,79,2,11,43,56,23,56,14,11,5,14,20,109,.405,.182,.768
Derrick Byars,27,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,.273,.000,1.000
Norris Cole,23,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,.393,.276,.776
Eric Dawson,27,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,.583,0.0,.500
Justin Dentmon,26,6,91,10,28,2,14,4,6,0,8,10,2,0,7,10,26,.357,.143,.667
Jerome Dyson,24,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,.396,.125,.778
Kenneth Faried,22,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,.586,0.0,.665
Jeff Foote,24,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,.333,0.0,0.0
Courtney Fortson,23,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,.344,.231,.667
Jimmer Fredette,22,61,1135,172,446,78,216,40,48,17,73,108,30,3,67,73,462,.386,.361,.833
Enes Freedom,19,66,874,117,236,0,1,70,105,107,278,8,18,23,54,87,304,.496,.000,.667
Mickell Gladness,25,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,.424,0.0,.500
Andrew Goudelock,23,40,419,68,174,28,75,11,12,5,31,20,4,0,21,32,175,.391,.373,.917
Jordan Hamilton,21,26,258,48,111,17,47,2,5,11,62,20,4,3,16,15,115,.432,.362,.400
Justin Harper,22,14,84,9,31,2,13,0,1,3,12,2,2,3,6,5,20,.290,.154,.000
Josh Harrellson,22,37,540,63,149,20,59,16,26,47,144,11,23,20,20,48,162,.423,.339,.615
Terrel Harris,24,22,318,29,83,8,39,14,21,18,51,26,9,2,25,34,80,.349,.205,.667
Tobias Harris,19,42,479,79,169,6,23,44,54,30,101,22,13,7,31,45,208,.467,.261,.815
Cory Higgins,22,38,423,52,160,4,20,42,60,7,35,36,5,6,39,40,150,.325,.200,.700
Darington Hobson,24,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,.154,.000,0.0
Tyler Honeycutt,21,15,88,8,24,1,3,3,5,3,14,7,4,3,2,3,20,.333,.333,.600
Dennis Horner,23,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,.250,.000,.750
Kyrie Irving,19,51,1558,350,747,73,183,171,196,44,191,275,54,20,160,110,944,.469,.399,.872
Reggie Jackson,21,45,501,51,159,13,62,25,29,14,53,71,25,1,36,31,140,.321,.210,.862
Charles Jenkins,22,51,893,130,291,3,20,34,39,8,68,170,33,6,60,85,297,.447,.150,.872
