Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Santi Aldama,21,32,360,53,132,6,48,20,32,33,87,21,6,10,16,36,132,.402,.125,.625
Jose Alvarado,23,54,834,131,294,32,110,36,53,25,100,152,71,7,40,73,330,.446,.291,.679
Joel Ayayi,21,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,0.0
Dalano Banton,22,64,696,83,202,13,51,26,44,38,124,99,28,10,53,68,205,.411,.255,.591
Cat Barber,27,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,0.0,.000
Scottie Barnes,20,74,2617,459,932,58,193,158,215,195,557,256,80,55,136,192,1134,.492,.301,.735
Paris Bass,26,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000
Charles Bassey,21,23,168,30,47,0,4,9,12,22,62,7,5,17,8,32,69,.638,.000,.750
Leandro Bolmaro,21,35,241,17,54,5,18,11,13,16,43,21,6,0,13,26,50,.315,.278,.846
Brandon Boston Jr.,20,51,760,125,325,34,111,59,72,17,111,51,26,13,31,43,343,.385,.306,.819
James Bouknight,21,31,304,49,141,17,49,27,31,22,52,26,7,1,15,29,142,.348,.347,.871
Chaundee Brown Jr.,23,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,.313,.333,.833
Greg Brown III,20,48,640,81,190,19,61,44,65,38,135,35,26,24,36,90,225,.426,.311,.677
Shaq Buchanan,25,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,0.0
Jared Butler,21,42,360,61,151,28,88,11,16,5,45,63,17,8,33,47,161,.404,.318,.688
Ahmad Caver,25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,0.0,0.0
Justin Champagnie,20,36,281,31,67,10,28,9,9,37,72,11,8,4,8,32,81,.463,.357,1.000
Josh Christopher,20,74,1334,224,500,56,189,83,113,52,186,150,65,13,114,97,587,.448,.296,.735
Sharife Cooper,20,13,39,3,14,1,6,0,0,0,5,5,0,0,5,1,7,.214,.167,0.0
Petr Cornelie,26,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,.333,.125,.750
Jarron Cumberland,24,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,.500,.000,0.0
Cade Cunningham,20,64,2088,429,1031,114,363,142,168,58,354,356,78,43,234,200,1114,.416,.314,.845
Javin DeLaurier,23,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0
Ayo Dosunmu,22,77,2110,278,535,70,186,53,78,27,214,256,60,29,108,182,679,.520,.376,.679
Jeff Dowtin,24,9,108,8,26,1,9,2,2,8,18,10,5,1,5,5,19,.308,.111,1.000
