Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Tariq Abdul-Wahad,23,59,959,144,357,4,19,84,125,44,116,51,35,13,65,81,376,.403,.211,.672
Derek Anderson,23,66,1839,239,586,17,84,275,315,55,187,227,86,13,128,136,770,.408,.202,.873
Chris Anstey,23,41,680,92,231,3,16,53,74,53,157,35,31,27,41,95,240,.398,.188,.716
Drew Barry,24,27,256,18,38,9,21,11,13,5,35,49,10,1,30,28,56,.474,.429,.846
Tony Battie,21,65,1506,234,525,3,14,73,104,138,351,60,54,69,98,199,544,.446,.214,.702
Chauncey Billups*,21,80,2216,280,749,107,325,226,266,62,190,314,107,4,174,172,893,.374,.329,.850
Etdrick Bohannon,24,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,.000,0.0,0.0
Keith Booth,23,6,17,2,6,0,1,6,6,2,4,1,0,0,3,3,10,.333,.000,1.000
Rick Brunson,25,38,622,49,141,22,61,42,62,14,56,100,25,3,52,55,162,.348,.361,.677
Kelvin Cato,23,74,1007,98,229,0,3,86,125,91,252,23,29,94,44,164,282,.428,.000,.688
Keith Closs,21,58,740,93,207,0,0,46,77,63,168,19,12,81,38,73,232,.449,0.0,.597
James Collins,24,23,103,21,55,9,20,8,14,7,14,3,6,3,8,12,59,.382,.450,.571
James Cotton,22,9,33,8,21,0,4,8,9,2,6,0,1,1,6,3,24,.381,.000,.889
Chris Crawford,22,40,256,46,110,1,3,57,68,20,41,9,12,7,18,27,150,.418,.333,.838
Austin Croshere,22,26,243,32,86,4,13,8,14,10,45,8,9,5,13,32,76,.372,.308,.571
William Cunningham,23,7,39,4,9,0,0,0,0,4,10,1,2,0,0,10,8,.444,0.0,0.0
Antonio Daniels,22,74,1956,228,548,11,52,112,170,22,143,334,55,10,164,88,579,.416,.212,.659
Tim Duncan*,21,82,3204,706,1287,0,10,319,482,274,977,224,55,206,279,254,1731,.549,.000,.662
Tony Farmer,28,27,169,17,53,2,9,31,39,16,32,5,10,4,9,23,67,.321,.222,.795
Danny Fortson,21,80,1811,276,611,1,3,263,339,182,448,76,44,30,157,314,816,.452,.333,.776
Adonal Foyle,22,55,656,69,170,0,1,27,62,73,184,14,13,52,50,94,165,.406,.000,.435
Lawrence Funderburke,27,52,1094,191,390,1,7,110,162,80,234,63,19,15,62,56,493,.490,.143,.679
Chris Garner,22,38,293,23,70,4,14,3,7,7,24,45,21,4,25,50,53,.329,.286,.429
Kiwane Lemorris Garris,23,28,225,22,65,5,14,19,25,3,19,28,7,1,15,22,68,.338,.357,.760
Ed Gray,22,30,472,77,202,18,46,55,65,9,45,34,15,11,30,73,227,.381,.391,.846
Derek Grimm,23,9,34,4,14,4,12,2,2,0,4,0,3,1,3,6,14,.286,.333,1.000
Reggie Hanson,29,8,26,3,6,0,0,0,0,3,6,1,2,1,3,8,6,.500,0.0,0.0
Cedric Henderson,22,82,2527,348,725,0,4,136,190,71,325,168,96,45,165,238,832,.480,.000,.716
Jerald Honeycutt,23,38,530,90,221,29,77,36,58,27,93,33,20,6,49,83,245,.407,.377,.621
Troy Hudson,21,8,23,6,14,0,3,0,0,1,2,4,2,0,1,1,12,.429,.000,0.0
Zydrunas Ilgauskas,22,82,2379,454,876,1,4,230,302,279,723,71,52,135,146,288,1139,.518,.250,.762
Bobby Jackson,24,68,2042,310,791,21,81,149,183,78,302,317,105,11,184,160,790,.392,.259,.814
Anthony Johnson,23,77,2266,226,609,42,128,80,110,51,171,329,64,6,120,188,574,.371,.328,.727
Dontae' Jones,22,15,91,19,57,6,23,0,0,3,9,5,2,3,11,12,44,.333,.261,0.0
Brevin Knight,22,80,2483,261,592,0,7,201,251,67,253,656,196,18,194,271,723,.441,.000,.801
Rusty LaRue,24,14,140,20,49,4,16,5,8,1,8,5,3,1,6,12,49,.408,.250,.625
Jason Lawson,23,17,80,9,15,0,0,8,10,8,27,5,4,4,2,14,26,.600,0.0,.800
Michael McDonald,28,1,4,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0.0,0.0,0.0
Tracy McGrady*,18,64,1179,179,398,14,41,79,111,105,269,98,49,61,66,86,451,.450,.341,.712
Ron Mercer,21,80,2662,515,1145,3,28,188,224,109,280,176,125,17,132,213,1221,.450,.107,.839
Marko Milič,20,33,163,39,64,3,6,11,17,10,25,12,10,0,21,17,92,.609,.500,.647
Jeff Nordgaard,24,13,48,5,18,0,0,8,9,4,14,3,2,0,3,7,18,.278,0.0,.889
Charles O'Bannon,22,30,234,26,69,0,3,12,15,14,33,17,9,1,9,15,64,.377,.000,.800
Kevin Ollie,25,35,430,37,98,0,1,49,70,9,39,65,13,0,44,31,123,.378,.000,.700
Anthony Parker,22,37,196,25,63,9,28,13,20,8,26,19,11,3,11,17,72,.397,.321,.650
Scot Pollard,22,33,317,35,70,0,0,19,23,34,74,9,8,10,12,48,89,.500,0.0,.826
Mark Pope,25,28,193,14,41,1,3,10,17,9,26,7,3,6,10,36,39,.341,.333,.588
Rodrick Rhodes,24,58,1070,112,305,2,8,111,180,28,70,110,62,10,97,125,337,.367,.250,.617
Shea Seals,22,4,9,1,8,0,3,2,4,3,4,0,1,0,0,1,4,.125,.000,.500
God Shammgod,21,20,146,19,58,0,2,23,30,2,7,36,7,1,21,27,61,.328,.000,.767
Charles Smith,22,34,292,49,125,15,47,6,11,13,27,21,12,6,27,24,119,.392,.319,.545
Kebu Stewart,24,15,110,12,26,0,0,16,25,9,31,2,5,2,8,13,40,.462,0.0,.640
Michael Stewart,22,81,1761,155,323,0,0,65,142,197,536,61,29,195,85,251,375,.480,0.0,.458
Ed Stokes,26,4,17,1,3,0,0,1,2,1,4,1,1,2,2,4,3,.333,0.0,.500
Johnny Taylor,23,12,108,13,37,1,2,11,16,4,13,1,3,2,8,22,38,.351,.500,.688
Maurice Taylor,21,71,1513,321,675,0,1,173,244,118,296,53,34,40,107,222,815,.476,.000,.709
John Thomas,22,54,535,55,113,0,0,41,54,48,106,17,22,12,46,97,151,.487,0.0,.759
Tim Thomas,20,77,1779,306,684,62,171,171,231,107,288,90,54,17,118,185,845,.447,.363,.740
Keith Van Horn,22,62,2325,446,1047,69,224,258,305,142,408,106,64,25,164,216,1219,.426,.308,.846
Jacque Vaughn,22,45,419,44,122,3,8,48,68,4,38,84,9,1,56,63,139,.361,.375,.706
Eric Washington,23,66,1539,201,498,44,137,65,83,47,127,78,53,25,72,143,511,.404,.321,.783
Bubba Wells,23,39,395,48,116,1,6,31,43,22,68,34,15,4,31,40,128,.414,.167,.721
DeJuan Wheat,24,34,150,20,50,8,17,9,15,3,11,25,6,1,9,12,57,.400,.471,.600
Alvin Williams,23,54,1071,125,282,9,28,65,90,24,81,103,38,3,58,79,324,.443,.321,.722
Brandon Williams,22,9,140,16,50,3,9,2,4,4,15,3,6,3,9,18,37,.320,.333,.500
Travis Williams,28,39,365,56,119,0,1,24,46,53,92,20,18,5,30,55,136,.471,.000,.522
