Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Michael Adams,23,18,139,16,44,0,3,8,12,2,6,22,9,1,11,9,40,.364,.000,.667
John Battle,23,64,639,101,222,0,7,75,103,12,62,74,23,3,47,80,277,.455,.000,.728
Benoit Benjamin,21,79,2088,324,661,1,3,229,307,161,600,79,64,206,145,286,878,.490,.333,.746
Uwe Blab,23,48,409,44,94,0,0,36,67,25,91,17,3,12,28,65,124,.468,0.0,.537
Manute Bol,23,80,2090,128,278,0,1,42,86,123,477,23,28,397,65,255,298,.460,.000,.488
Mike Brittain,22,32,219,22,43,0,0,10,19,10,49,5,3,12,20,54,54,.512,0.0,.526
Terry Catledge,22,64,1092,202,431,0,4,90,139,107,272,21,31,8,69,127,494,.469,.000,.647
Lorenzo Charles,22,36,273,49,88,0,0,24,36,13,39,8,2,6,18,37,122,.557,0.0,.667
Fred Cofield,24,45,469,75,184,3,15,12,20,6,46,82,20,3,49,65,165,.408,.200,.600
David Cooke,22,6,38,2,11,0,0,5,10,5,10,1,4,0,2,5,9,.182,0.0,.500
Tyrone Corbin,23,16,174,27,64,0,1,10,14,11,25,11,11,2,12,21,64,.422,.000,.714
Ron Crevier,27,3,4,0,3,0,0,0,2,1,1,0,0,0,0,2,0,.000,0.0,.000
Jeff Cross,24,21,128,6,24,0,0,14,25,9,30,1,2,3,6,38,26,.250,0.0,.560
Joe Dumars*,22,82,1957,287,597,5,16,190,238,60,119,390,66,11,158,200,769,.481,.313,.798
Patrick Ewing*,23,50,1771,386,814,0,5,226,306,124,451,102,54,103,172,191,998,.474,.000,.739
Georgi Glouchkov,26,49,772,84,209,1,1,70,122,31,163,32,26,25,76,124,239,.402,1.000,.574
A.C. Green,22,82,1542,209,388,1,6,102,167,160,381,54,49,49,99,229,521,.539,.167,.611
Ken Green,26,7,72,13,27,0,0,5,9,12,27,2,4,0,1,8,31,.481,0.0,.556
Kenny Green,21,41,453,83,192,0,1,35,49,27,73,9,5,9,35,53,201,.432,.000,.714
Claude Gregory,27,2,2,1,2,0,0,0,0,2,2,0,1,0,2,1,2,.500,0.0,0.0
Steve Harris,22,57,482,103,233,1,5,50,54,25,57,50,21,4,34,55,257,.442,.200,.926
Jerome Henderson,26,1,3,2,3,0,0,0,0,0,1,0,0,0,0,1,4,.667,0.0,0.0
Carl Henry,25,28,149,31,67,4,10,12,17,8,19,4,5,0,9,11,78,.463,.400,.706
Alfredrick Hughes,23,68,866,152,372,3,17,49,84,49,113,61,26,5,63,79,356,.409,.176,.583
Ken Johnson,23,64,815,113,214,0,0,37,85,90,243,19,13,22,59,147,263,.528,0.0,.435
Yvon Joseph,28,1,5,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0.0,0.0,1.000
Harold Keeling,22,20,75,17,39,0,0,10,14,3,6,10,7,0,7,9,44,.436,0.0,.714
Joe Kleine,24,80,1180,160,344,0,0,94,130,113,373,46,24,34,107,224,414,.465,0.0,.723
Jon Koncak,22,82,1695,263,519,0,1,156,257,171,467,55,37,69,111,296,682,.507,.000,.607
Keith Lee,23,58,1197,177,380,2,9,75,96,116,351,67,29,37,78,204,431,.466,.222,.781
Karl Malone*,22,81,2475,504,1016,0,2,195,405,174,718,236,105,44,279,295,1203,.496,.000,.481
Bill Martin,23,66,691,143,298,0,8,46,54,42,102,52,21,7,58,108,332,.480,.000,.852
Brian Martin,23,8,21,3,7,0,0,0,2,1,4,0,0,1,2,7,6,.429,0.0,.000
Dwayne McClain,22,45,461,69,180,1,9,18,35,14,30,67,38,4,40,61,157,.383,.111,.514
Xavier McDaniel,22,82,2706,576,1176,2,10,250,364,307,655,193,101,37,248,305,1404,.490,.200,.687
Ben McDonald,23,21,266,28,58,0,1,5,8,15,38,9,7,1,10,30,61,.483,.000,.625
Chris McNealy,24,30,627,70,144,0,0,31,47,62,203,41,38,12,35,88,171,.486,0.0,.660
Dirk Minniefield,25,76,1131,167,347,10,37,73,93,43,131,269,65,1,108,165,417,.481,.270,.785
Perry Moss,27,72,1012,116,292,7,32,65,89,34,115,108,56,15,79,132,304,.397,.219,.730
Chris Mullin*,22,55,1391,287,620,5,27,189,211,42,115,105,70,23,75,130,768,.463,.185,.896
Charles Oakley,22,77,1772,281,541,0,3,178,269,255,664,133,68,30,175,250,740,.519,.000,.662
Michael Phelps,24,70,880,117,286,1,12,44,74,29,89,71,45,1,62,86,279,.409,.083,.595
Ed Pinckney,22,80,1602,255,457,0,2,171,254,95,308,90,71,37,148,190,681,.558,.000,.673
Terry Porter,22,79,1214,212,447,13,42,125,155,35,117,198,81,1,106,136,562,.474,.310,.806
Blair Rasmussen,23,48,330,61,150,0,0,31,39,37,97,16,3,10,40,63,153,.407,0.0,.795
Jerry Reynolds,23,55,508,72,162,1,2,58,104,37,80,86,43,19,52,57,203,.444,.500,.558
Derrick Rowland,26,2,9,1,3,0,0,1,2,0,1,1,0,0,0,1,3,.333,0.0,.500
Detlef Schrempf,23,64,969,142,315,3,7,110,152,70,198,88,23,10,84,166,397,.451,.429,.724
Carey Scurry,23,78,1168,142,301,1,11,78,126,97,242,85,78,66,96,171,363,.472,.091,.619
Mike Smrek,23,38,408,46,122,0,2,16,29,46,110,19,6,23,29,95,108,.377,.000,.552
Alex Stivrins,23,3,14,1,4,0,0,1,4,3,3,1,0,0,3,2,3,.250,0.0,.250
Greg Stokes,22,31,350,56,119,0,1,14,21,27,57,17,14,11,19,56,126,.471,.000,.667
Bob Thornton,23,71,1323,125,274,0,0,86,162,113,290,43,30,7,83,209,336,.456,0.0,.531
Wayman Tisdale,21,81,2277,516,1002,0,2,160,234,191,584,79,32,44,188,290,1192,.515,.000,.684
Sedric Toney,23,13,230,28,66,3,10,21,31,3,25,26,6,0,22,24,80,.424,.300,.677
Nick Vanos,22,11,202,23,72,0,0,8,23,21,60,16,2,5,20,34,54,.319,0.0,.348
Sam Vincent,22,57,432,59,162,1,4,65,70,11,48,69,17,4,49,59,184,.364,.250,.929
Spud Webb,22,79,1229,199,412,2,11,216,275,27,123,337,82,5,159,164,616,.483,.182,.785
Bill Wennington,22,56,562,72,153,0,4,45,62,32,132,21,11,22,21,83,189,.471,.000,.726
Gerald Wilkins,22,81,2025,437,934,7,25,132,237,92,208,161,68,9,157,155,1013,.468,.280,.557
Pete Williams,20,53,573,67,111,0,0,17,40,47,146,14,19,23,19,68,151,.604,0.0,.425
Voise Winters,23,4,17,3,13,0,1,0,0,1,3,0,1,0,2,1,6,.231,.000,0.0
